drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
DENOSUMAB	234	54	180	-0.6176900141536936	69040	23.1
VEDOLIZUMAB	233	163	70	0.39570726702128733	50220	70.0
AMIODARONE	228	133	95	0.12254010515063798	30718	58.3
DOXYCYCLINE	223	131	92	0.46240001921180124	72757	58.7
FLUTICASONE	221	74	147	-0.37836920260152607	37089	33.5
DIPHENHYDRAMINE	220	170	50	0.7714551578248031	76296	77.3
WARFARIN	220	125	95	0.03239463101608861	27715	56.8
CISPLATIN	219	167	52	0.4888955366687423	21033	76.3
CALCIUM	219	88	131	-0.25804704704056153	99044	40.2
VALSARTAN	219	108	111	-0.008461746319163627	20964	49.3
SOMATROPIN	218	137	81	0.1737176285027822	64976	62.8
ESCITALOPRAM	217	61	156	-0.518138727055339	27443	28.1
CARBIDOPA;LEVODOPA	217	134	83	0.10129694874735336	38390	61.8
ISOTRETINOIN	217	20	197	-0.7598423331994697	49720	9.2
APREMILAST	214	143	71	0.7935461468581326	144587	66.8
AMOXICILLIN	212	91	121	-0.1255909939651179	27752	42.9
OCTREOTIDE	211	111	100	0.04211702288008817	17394	52.6
ALLOPURINOL	210	123	87	0.12772958549412267	31258	58.6
METRONIDAZOLE	209	50	159	-0.6263302067223834	27946	23.9
BORTEZOMIB	209	157	52	0.5021378175137902	21714	75.1
FLUOXETINE	204	74	130	-0.2914134674325452	23553	36.3
TOPIRAMATE	200	96	104	0.05777390215794007	52159	48.0
IRON	198	57	141	-0.6743083689180343	35539	28.8
CANDESARTAN	198	104	94	0.18861827048899923	67412	52.5
HYDROCODONE;PARACETAMOL	197	149	48	0.4147653821246542	51142	75.6
ALEMTUZUMAB	195	144	51	0.41723373431914806	31912	73.8
MIRTAZAPINE	193	110	83	0.12071267477160935	18909	57.0
VANCOMYCIN	191	146	45	0.48874867534379646	19084	76.4
CODEINE	190	144	46	0.8320399804637116	75127	75.8
DULOXETINE	189	85	104	-0.1575401432676608	31000	45.0
AMITRIPTYLINE	189	102	87	0.08749739857808224	31779	54.0
AZITHROMYCIN	189	77	112	-0.08490625222240777	28480	40.7
MESALAZINE	188	101	87	0.20571792669207445	50575	53.7
CORTISONE	188	86	102	-0.23388007479423892	150522	45.7
METHOTREXATE SODIUM	186	16	170	-0.7377643102534356	20948	8.6
