adverse_event	n_total	n_drugs	n_female	n_male	pct_female
Suicide attempt	105	105	54	51	51.4
Metabolic acidosis	105	105	63	42	60.0
Haemoptysis	105	105	56	49	53.3
Blood creatine phosphokinase increased	105	105	99	6	94.3
Rhinorrhoea	105	105	66	39	62.9
Night sweats	104	104	55	49	52.9
Gastrointestinal haemorrhage	104	104	87	17	83.7
Hepatocellular injury	104	104	79	25	76.0
Ascites	104	104	50	54	48.1
Epistaxis	103	103	64	39	62.1
Respiratory disorder	103	103	61	42	59.2
Acne	103	103	8	95	7.8
Rash erythematous	102	102	42	60	41.2
Toxic epidermal necrolysis	102	102	60	42	58.8
Lymphadenopathy	102	102	28	74	27.5
Ill-defined disorder	101	101	59	42	58.4
Hypothyroidism	101	101	52	49	51.5
Dysphonia	101	101	50	51	49.5
Therapeutic response decreased	100	100	50	50	50.0
Haematochezia	100	100	63	37	63.0
Burning sensation	100	100	38	62	38.0
Lactic acidosis	100	100	61	39	61.0
Acute respiratory distress syndrome	100	100	73	27	73.0
Wrong technique in product usage process	99	99	44	55	44.4
Incorrect route of product administration	99	99	45	54	45.5
Product quality issue	99	99	49	50	49.5
Rash maculo-papular	99	99	58	41	58.6
Nasal congestion	98	98	54	44	55.1
Emotional distress	98	98	87	11	88.8
Feeling hot	98	98	51	47	52.0
Malignant neoplasm progression	98	98	78	20	79.6
Colitis	98	98	72	26	73.5
Cataract	98	98	32	66	32.7
Dyspnoea exertional	98	98	34	64	34.7
Bone pain	97	97	17	80	17.5
Adverse event	97	97	78	19	80.4
Influenza like illness	96	96	37	59	38.5
Hospitalisation	96	96	64	32	66.7
Liver function test increased	96	96	53	43	55.2
Flushing	96	96	32	64	33.3
Oxygen saturation decreased	95	95	55	40	57.9
Disease recurrence	95	95	28	67	29.5
Osteoarthritis	95	95	54	41	56.8
Cardiogenic shock	95	95	52	43	54.7
White blood cell count increased	94	94	77	17	81.9
Infusion related reaction	94	94	63	31	67.0
Hepatic failure	93	93	69	24	74.2
Hepatotoxicity	93	93	63	30	67.7
Suicidal ideation	92	92	38	54	41.3
Impaired healing	92	92	42	50	45.7
Renal disorder	92	92	63	29	68.5
Encephalopathy	92	92	76	16	82.6
Obesity	91	91	64	27	70.3
Hepatic cytolysis	90	90	47	43	52.2
Eczema	89	89	32	57	36.0
Ulcer	89	89	32	57	36.0
Oropharyngeal pain	89	89	24	65	27.0
Nightmare	89	89	18	71	20.2
Injury	89	89	47	42	52.8
Acute respiratory failure	88	88	69	19	78.4
Obstructive airways disorder	88	88	26	62	29.5
Fluid retention	88	88	68	20	77.3
Speech disorder	88	88	32	56	36.4
Arrhythmia	88	88	49	39	55.7
Shock	88	88	62	26	70.5
Dysgeusia	87	87	38	49	43.7
Sleep apnoea syndrome	87	87	49	38	56.3
Cellulitis	87	87	41	46	47.1
Chronic kidney disease	87	87	71	16	81.6
Depressed mood	87	87	32	55	36.8
Cerebral haemorrhage	86	86	76	10	88.4
Incorrect dose administered	86	86	35	51	40.7
Illness	86	86	27	59	31.4
Cerebral infarction	85	85	72	13	84.7
Disorientation	85	85	55	30	64.7
Road traffic accident	84	84	63	21	75.0
Psychotic disorder	84	84	58	26	69.0
Mental status changes	84	84	67	17	79.8
Lethargy	84	84	49	35	58.3
Hyperglycaemia	83	83	58	25	69.9
Epilepsy	83	83	58	25	69.9
Ventricular tachycardia	83	83	63	20	75.9
Skin discolouration	83	83	31	52	37.3
Irritability	83	83	15	68	18.1
Maternal exposure during pregnancy	82	82	31	51	37.8
Liver function test abnormal	82	82	45	37	54.9
White blood cell count decreased	82	82	24	58	29.3
Body temperature increased	81	81	43	38	53.1
Herpes zoster	81	81	22	59	27.2
Respiratory distress	81	81	39	42	48.1
Sleep disorder due to a general medical condition	81	81	31	50	38.3
Full blood count abnormal	80	80	24	56	30.0
Movement disorder	80	80	33	47	41.2
Emotional disorder	79	79	65	14	82.3
Hypercholesterolaemia	79	79	43	36	54.4
Heart rate decreased	79	79	42	37	53.2
Pericarditis	79	79	38	41	48.1
Respiratory arrest	79	79	54	25	68.4
Pancreatitis acute	79	79	49	30	62.0
Neuralgia	79	79	9	70	11.4
Crohn's disease	77	77	57	20	74.0
Aspiration	77	77	61	16	79.2
Agranulocytosis	77	77	54	23	70.1
Injection site pain	76	76	25	51	32.9
Acute myocardial infarction	76	76	62	14	81.6
Circulatory collapse	76	76	51	25	67.1
Accidental overdose	76	76	38	38	50.0
Bacterial infection	76	76	16	60	21.1
Transient ischaemic attack	76	76	35	41	46.1
Pericardial effusion	75	75	40	35	53.3
