drug_name	n_signals	n_female_signals	n_male_signals	pct_female	n_unique_aes	mean_abs_lr	median_abs_lr	max_abs_lr	total_female_reports	total_male_reports	total_reports	report_pct_female
ASFOTASE ALFA	38	3	35	7.895	38	0.910	0.825	1.883	3431	1390	4821	71.168
ALISKIREN	38	19	19	50.000	38	1.225	1.136	2.712	3781	1104	4885	77.400
TOLVAPTAN	38	31	7	81.579	38	0.735	0.679	1.274	1668	1156	2824	59.065
PALBOCICLIB	38	18	20	47.368	38	0.951	0.701	3.111	54408	1769	56177	96.851
GUSELKUMAB	38	11	27	28.947	38	0.767	0.638	1.801	1456	1044	2500	58.240
CRIZOTINIB	38	23	15	60.526	38	0.663	0.624	1.272	1082	844	1926	56.179
GLIMEPIRIDE	38	31	7	81.579	38	0.821	0.675	1.748	2681	1869	4550	58.923
DASABUVIR	37	32	5	86.486	37	0.762	0.705	1.252	1975	1123	3098	63.751
DEXTROMETHORPHAN	37	27	10	72.973	37	0.948	0.865	1.635	2941	1220	4161	70.680
PEGVALIASE	37	0	37	0.000	37	0.790	0.754	1.541	2316	1724	4040	57.327
VASOPRESSIN	37	25	12	67.568	37	1.167	1.021	2.633	1204	2677	3881	31.023
ALIMEMAZINE	37	22	15	59.459	37	0.847	0.805	1.901	2441	1318	3759	64.937
EPLERENONE	37	27	10	72.973	37	0.896	0.773	1.930	923	1826	2749	33.576
CASPOFUNGIN	37	34	3	91.892	37	0.958	0.855	1.825	1146	1101	2247	51.001
DACLATASVIR	37	30	7	81.081	37	0.757	0.694	1.528	1148	1872	3020	38.013
FLUDARABINE PHOSPHATE	37	36	1	97.297	37	0.905	0.790	2.299	880	909	1789	49.189
DOXEPIN	37	11	26	29.730	37	1.051	0.884	2.258	1587	1614	3201	49.578
URSODEOXYCHOLIC ACID	36	13	23	36.111	36	0.808	0.763	1.342	970	906	1876	51.706
AMFETAMINE	36	23	13	63.889	36	0.804	0.692	1.778	1609	1829	3438	46.800
GOSERELIN	36	24	12	66.667	36	1.110	0.785	2.860	2547	2085	4632	54.987
CHLORHEXIDINE	36	22	14	61.111	36	2.161	2.248	3.832	40743	883	41626	97.879
BARICITINIB	36	9	27	25.000	36	0.896	0.849	1.576	1770	1311	3081	57.449
BENZYLPENICILLIN	36	11	25	30.556	36	1.108	1.058	2.384	1679	1064	2743	61.210
AZTREONAM	36	19	17	52.778	36	0.821	0.732	1.662	2018	1103	3121	64.659
RANOLAZINE	36	30	6	83.333	36	0.782	0.727	1.449	1698	2039	3737	45.438
LEVOCETIRIZINE	36	18	18	50.000	36	0.806	0.713	1.368	2946	791	3737	78.833
GALCANEZUMAB	36	2	34	5.556	36	0.823	0.715	1.826	9447	1700	11147	84.749
FLECAINIDE	36	20	16	55.556	36	0.728	0.704	1.282	1682	1104	2786	60.373
OZANIMOD	35	2	33	5.714	35	0.764	0.747	1.535	1678	1105	2783	60.295
OLODATEROL;TIOTROPIUM	35	14	21	40.000	35	0.959	0.795	1.805	1618	1113	2731	59.246
ACETYLCYSTEINE	35	18	17	51.429	35	1.070	0.919	2.963	1565	1838	3403	45.989
METAMFETAMINE	35	28	7	80.000	35	0.878	0.753	1.605	1631	2290	3921	41.597
CAFFEINE	35	28	7	80.000	35	1.371	1.301	2.501	3776	1452	5228	72.226
EPOETIN ALFA	35	18	17	51.429	35	0.766	0.696	1.330	1044	892	1936	53.926
TIPIRACIL;TRIFLURIDINE	35	26	9	74.286	35	0.722	0.665	1.372	1022	1062	2084	49.040
MEMANTINE	35	19	16	54.286	35	0.757	0.673	1.320	1247	801	2048	60.889
TIZANIDINE	35	5	30	14.286	35	0.912	0.768	1.879	1725	737	2462	70.065
VITAMIN B2	34	17	17	50.000	34	1.160	1.085	2.250	2926	947	3873	75.549
AMANTADINE	34	13	21	38.235	34	0.725	0.675	1.190	996	1063	2059	48.373
ROMIPLOSTIM	34	19	15	55.882	34	0.941	0.786	2.260	1259	1165	2424	51.939
CALCIUM;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	34	20	14	58.824	34	0.667	0.586	1.318	2012	2579	4591	43.825
BINIMETINIB	34	18	16	52.941	34	0.723	0.586	1.677	1115	1138	2253	49.490
CABOTEGRAVIR	34	16	18	47.059	34	0.898	0.840	1.456	1067	3682	4749	22.468
AMLODIPINE;VALSARTAN	34	23	11	67.647	34	0.718	0.636	1.393	1483	847	2330	63.648
VIGABATRIN	34	18	16	52.941	34	0.741	0.679	1.350	1563	1679	3242	48.211
BOSUTINIB	34	18	16	52.941	34	0.711	0.678	1.433	1079	1035	2114	51.041
GILTERITINIB	33	28	5	84.848	33	0.818	0.747	1.414	1290	1095	2385	54.088
SUFENTANIL	33	16	17	48.485	33	0.862	0.771	1.611	1358	1161	2519	53.910
TEPROTUMUMAB	33	0	33	0.000	33	0.884	0.798	1.760	2182	1041	3223	67.701
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE\OXYCODONE TEREPHTHALATE	33	26	7	78.788	33	0.724	0.701	1.044	2147	2702	4849	44.277
BENRALIZUMAB	33	11	22	33.333	33	0.763	0.668	1.239	1990	729	2719	73.189
CANNABINOIDS	32	24	8	75.000	32	0.897	0.825	1.421	1226	1838	3064	40.013
RIFAXIMIN	32	25	7	78.125	32	0.715	0.647	1.286	1826	995	2821	64.729
MITOXANTRONE	32	27	5	84.375	32	0.793	0.753	1.746	883	778	1661	53.161
SOFOSBUVIR;VELPATASVIR	32	19	13	59.375	32	0.728	0.676	1.271	1117	1831	2948	37.890
TRETINOIN	32	17	15	53.125	32	1.000	0.845	2.612	2997	819	3816	78.538
IVABRADINE	32	14	18	43.750	32	0.812	0.711	1.916	1787	1329	3116	57.349
PLACEBO, TRIAL	32	26	6	81.250	32	0.830	0.722	1.738	944	793	1737	54.347
BIPERIDEN	32	23	9	71.875	32	0.813	0.805	1.827	997	815	1812	55.022
ACALABRUTINIB	31	27	4	87.097	31	0.690	0.638	1.125	641	740	1381	46.416
VALBENAZINE	31	6	25	19.355	31	0.715	0.657	1.277	1075	637	1712	62.792
BEDAQUILINE	31	26	5	83.871	31	0.746	0.728	1.126	906	884	1790	50.615
ABALOPARATIDE	31	2	29	6.452	31	0.886	0.807	2.354	13107	980	14087	93.043
CEFAZOLIN	31	15	16	48.387	31	0.825	0.676	1.682	1175	1136	2311	50.844
METOPROLOL SUCCINATE	30	13	17	43.333	30	0.734	0.691	1.587	1129	736	1865	60.536
INGENOL	30	4	26	13.333	30	0.790	0.678	1.243	2612	1307	3919	66.650
ACITRETIN	30	9	21	30.000	30	0.992	0.919	1.927	1085	1547	2632	41.223
PROCARBAZINE	30	22	8	73.333	30	0.998	0.885	1.748	1222	871	2093	58.385
SALMETEROL	30	6	24	20.000	30	1.183	1.016	2.526	1300	1183	2483	52.356
FLUVOXAMINE	30	10	20	33.333	30	0.897	0.902	1.538	1093	1032	2125	51.435
SEVOFLURANE	30	15	15	50.000	30	0.907	0.790	1.797	964	1049	2013	47.889
CANDESARTAN;HYDROCHLOROTHIAZIDE	30	13	17	43.333	30	1.128	0.985	2.745	1194	1307	2501	47.741
AMIODARONE HYDROCHLORIDE	30	16	14	53.333	30	0.803	0.734	1.536	724	1168	1892	38.266
ZONISAMIDE	30	20	10	66.667	30	0.692	0.622	1.297	1347	848	2195	61.367
FENTANYL CITRATE	29	21	8	72.414	29	0.718	0.695	1.259	1611	1733	3344	48.176
SIMEPREVIR	29	21	8	72.414	29	0.781	0.698	1.185	2091	2306	4397	47.555
ACYCLOVIR	29	21	8	72.414	29	0.856	0.843	1.327	1307	619	1926	67.861
ATAZANAVIR	29	12	17	41.379	29	1.038	0.891	3.062	1125	2185	3310	33.988
GLECAPREVIR;PIBRENTASVIR	29	11	18	37.931	29	0.693	0.632	1.171	2228	2331	4559	48.870
IDELALISIB	29	23	6	79.310	29	0.794	0.692	1.600	561	707	1268	44.243
TIOGUANINE	29	24	5	82.759	29	0.803	0.754	1.646	729	795	1524	47.835
LERCANIDIPINE	29	18	11	62.069	29	0.861	0.778	1.758	1373	836	2209	62.155
METFORMIN;VILDAGLIPTIN	29	24	5	82.759	29	0.754	0.651	1.303	1501	752	2253	66.622
BENSERAZIDE;LEVODOPA	29	21	8	72.414	29	1.017	1.062	1.524	968	658	1626	59.533
MESNA	29	15	14	51.724	29	0.945	0.940	1.827	839	999	1838	45.647
SCOPOLAMINE	28	11	17	39.286	28	1.046	0.902	2.196	1598	680	2278	70.149
DOBUTAMINE	28	10	18	35.714	28	1.440	1.400	3.290	675	2971	3646	18.513
LITHIUM CARBONATE	28	18	10	64.286	28	0.886	0.845	1.880	912	699	1611	56.611
FOSCARNET	28	22	6	78.571	28	0.971	0.937	1.916	857	1220	2077	41.261
DESLORATADINE	28	14	14	50.000	28	0.861	0.818	1.450	1347	671	2018	66.749
VOXELOTOR	28	7	21	25.000	28	0.713	0.664	1.239	1082	831	1913	56.560
MODAFINIL	28	2	26	7.143	28	0.774	0.701	1.388	843	717	1560	54.038
ISATUXIMAB	28	19	9	67.857	28	0.836	0.718	1.904	805	882	1687	47.718
PHENOXYMETHYLPENICILLIN	28	2	26	7.143	28	0.895	0.733	1.867	791	879	1670	47.365
GADOBUTROL	28	2	26	7.143	28	0.781	0.674	1.422	1668	1019	2687	62.077
ALECTINIB	28	15	13	53.571	28	0.726	0.694	1.206	1124	685	1809	62.134
KETOCONAZOLE	28	4	24	14.286	28	0.873	0.800	2.121	1211	1065	2276	53.207
ELEXACAFTOR;IVACAFTOR;TEZACAFTOR	27	9	18	33.333	27	0.698	0.669	1.149	1036	851	1887	54.902
ESKETAMINE	27	9	18	33.333	27	0.710	0.650	1.318	914	585	1499	60.974
SODIUM CITRATE	27	1	26	3.704	27	1.504	1.228	3.859	4119	3300	7419	55.520
NUSINERSEN	27	10	17	37.037	27	0.758	0.692	1.197	1245	1219	2464	50.528
FLUPENTIXOL	27	19	8	70.370	27	1.711	1.705	3.234	4577	1994	6571	69.655
EPTINEZUMAB	27	0	27	0.000	27	1.190	1.048	2.356	3415	779	4194	81.426
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA	27	14	13	51.852	27	0.731	0.643	1.718	2181	1897	4078	53.482
DESMOPRESSIN	27	7	20	25.926	27	0.950	0.863	1.902	731	959	1690	43.254
FENFLURAMINE	27	18	9	66.667	27	0.735	0.664	1.321	672	626	1298	51.772
BRIVARACETAM	27	10	17	37.037	27	0.722	0.628	1.935	1056	735	1791	58.961
SOTROVIMAB	26	0	26	0.000	26	0.833	0.747	1.369	843	715	1558	54.108
INCLISIRAN	26	9	17	34.615	26	0.726	0.704	1.156	903	619	1522	59.330
OXYGEN	26	21	5	80.769	26	0.831	0.813	1.277	1129	605	1734	65.110
BICTEGRAVIR;EMTRICITABINE;TENOFOVIR	26	15	11	57.692	26	0.897	0.753	2.000	539	1387	1926	27.985
TIGECYCLINE	26	22	4	84.615	26	0.833	0.733	1.421	680	674	1354	50.222
MONTELUKAST SODIUM	26	9	17	34.615	26	0.946	0.874	1.856	1045	649	1694	61.688
RASAGILINE	26	16	10	61.538	26	0.768	0.733	1.289	630	820	1450	43.448
ROSUVASTATIN CALCIUM	26	12	14	46.154	26	0.970	0.830	2.072	1060	702	1762	60.159
VITAMIN A	26	3	23	11.538	26	1.476	1.152	3.976	1944	1598	3542	54.884
BISOPROLOL FUMARATE	26	11	15	42.308	26	0.657	0.608	1.417	632	660	1292	48.916
MACROGOL;POTASSIUM;SODIUM CHLORIDE;SODIUM SULFATE;VITAMIN C	26	4	22	15.385	26	0.736	0.673	1.245	830	545	1375	60.364
CARBIDOPA;ENTACAPONE;LEVODOPA	26	16	10	61.538	26	0.787	0.690	1.328	852	806	1658	51.387
BUMETANIDE	26	12	14	46.154	26	0.780	0.690	1.612	803	814	1617	49.660
LORMETAZEPAM	25	15	10	60.000	25	0.874	0.822	2.020	1464	805	2269	64.522
PARICALCITOL	25	22	3	88.000	25	0.705	0.673	1.058	751	816	1567	47.926
IMATINIB MESYLATE	25	21	4	84.000	25	0.835	0.685	1.775	811	552	1363	59.501
STAVUDINE	25	17	8	68.000	25	0.944	0.920	1.806	795	1228	2023	39.298
LINACLOTIDE	25	9	16	36.000	25	0.695	0.630	1.372	1555	687	2242	69.358
GLIBENCLAMIDE	25	14	11	56.000	25	0.911	0.830	1.934	691	612	1303	53.031
ENCORAFENIB	25	18	7	72.000	25	0.833	0.809	1.666	727	602	1329	54.703
VILDAGLIPTIN	25	17	8	68.000	25	0.862	0.853	1.552	954	833	1787	53.386
PERAMPANEL	25	10	15	40.000	25	0.872	0.813	1.710	810	801	1611	50.279
ZINC	25	17	8	68.000	25	0.881	0.930	1.497	2786	515	3301	84.399
DIROXIMEL FUMARATE	25	0	25	0.000	25	0.868	0.737	1.722	2782	919	3701	75.169
OXYMETAZOLINE	25	6	19	24.000	25	0.905	0.797	1.823	1649	632	2281	72.293
CALCIUM;VITAMIN D, UNSPECIFIED	25	2	23	8.000	25	1.415	1.382	2.740	742	722	1464	50.683
FLUINDIONE	24	23	1	95.833	24	0.873	0.769	2.554	1051	1037	2088	50.335
IOPROMIDE	24	7	17	29.167	24	0.657	0.613	1.164	721	654	1375	52.436
GALANTAMINE	24	4	20	16.667	24	1.011	0.856	3.067	1234	401	1635	75.474
HYDROCHLOROTHIAZIDE;LOSARTAN	24	16	8	66.667	24	0.867	0.813	1.799	1357	524	1881	72.142
HYDROCHLOROTHIAZIDE;LISINOPRIL	24	19	5	79.167	24	0.770	0.707	1.501	1063	960	2023	52.546
AFATINIB	24	14	10	58.333	24	0.656	0.643	0.865	1291	577	1868	69.111
TEMSIROLIMUS	24	23	1	95.833	24	0.789	0.742	1.227	536	630	1166	45.969
CALCIUM CARBONATE	24	2	22	8.333	24	1.058	1.084	1.649	693	447	1140	60.789
CANNABIDIOL	24	13	11	54.167	24	0.705	0.619	1.266	768	831	1599	48.030
SOTALOL	24	14	10	58.333	24	0.919	0.810	1.724	700	591	1291	54.222
SERTRALINE HYDROCHLORIDE	24	9	15	37.500	24	1.011	0.896	2.138	627	689	1316	47.644
DORNASE ALFA	24	8	16	33.333	24	0.861	0.788	2.013	852	698	1550	54.968
HERBALS, UNSPECIFIED	24	6	18	25.000	24	1.501	1.494	2.943	876	1178	2054	42.648
CHLORPHENAMINE	24	6	18	25.000	24	1.017	0.849	1.961	578	857	1435	40.279
FONDAPARINUX	24	14	10	58.333	24	0.814	0.705	2.304	800	574	1374	58.224
IVACAFTOR;LUMACAFTOR	24	3	21	12.500	24	0.773	0.760	1.069	633	645	1278	49.531
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	24	16	8	66.667	24	0.999	0.797	2.895	1796	2596	4392	40.893
METOPROLOL TARTRATE	24	8	16	33.333	24	0.775	0.676	1.386	594	464	1058	56.144
CARISOPRODOL	23	6	17	26.087	23	0.730	0.648	1.132	1132	685	1817	62.300
HYDROXYCHLOROQUINE DIPHOSPHATE	23	2	21	8.696	23	1.138	0.888	2.055	2119	454	2573	82.355
ERTAPENEM	23	6	17	26.087	23	1.070	0.866	2.327	2071	980	3051	67.879
ALENDRONIC ACID;VITAMIN D3	23	1	22	4.348	23	1.977	2.120	4.076	6919	1044	7963	86.889
LEVOFOLINIC ACID	23	14	9	60.870	23	0.774	0.703	1.317	486	833	1319	36.846
FOSAPREPITANT	23	18	5	78.261	23	1.193	1.149	2.107	2347	434	2781	84.394
FREMANEZUMAB	23	2	21	8.696	23	0.854	0.754	1.968	3655	563	4218	86.652
PHENPROCOUMON	23	18	5	78.261	23	0.968	0.885	2.122	839	676	1515	55.380
ILOPROST	23	18	5	78.261	23	0.674	0.594	1.128	1956	519	2475	79.030
PERFLUTREN	23	3	20	13.043	23	0.807	0.760	1.353	1254	1155	2409	52.055
ENFORTUMAB VEDOTIN	23	17	6	73.913	23	0.700	0.659	1.113	500	1247	1747	28.620
WATER	23	6	17	26.087	23	0.879	0.766	1.874	596	504	1100	54.182
BUDESONIDE;FORMOTEROL;GLYCOPYRRONIUM	23	16	7	69.565	23	0.705	0.630	1.609	731	411	1142	64.011
GEMCITABINE HYDROCHLORIDE	23	16	7	69.565	23	0.780	0.690	1.998	756	610	1366	55.344
LIOTHYRONINE	23	3	20	13.043	23	1.380	1.324	2.420	1608	333	1941	82.844
AMPICILLIN	23	9	14	39.130	23	0.925	0.884	2.144	1043	678	1721	60.604
CEFOTAXIME	23	18	5	78.261	23	1.017	0.912	2.089	659	619	1278	51.565
BUPROPION;NALTREXONE	23	0	23	0.000	23	0.872	0.819	1.508	2289	483	2772	82.576
BAMLANIVIMAB	22	8	14	36.364	22	0.663	0.621	0.925	894	1055	1949	45.870
LABETALOL	22	4	18	18.182	22	1.402	1.192	5.679	2484	1230	3714	66.882
EMTRICITABINE	22	14	8	63.636	22	1.108	0.867	3.947	611	940	1551	39.394
BENDAMUSTINE HYDROCHLORIDE	22	20	2	90.909	22	0.872	0.824	1.339	477	589	1066	44.747
VITAMIN B1	22	17	5	77.273	22	1.208	1.153	2.030	2023	681	2704	74.815
DOFETILIDE	22	12	10	54.545	22	0.731	0.704	1.369	971	899	1870	51.925
BIMEKIZUMAB	22	7	15	31.818	22	0.679	0.620	1.324	1011	561	1572	64.313
LEUCOVORIN	22	8	14	36.364	22	0.758	0.705	1.248	519	786	1305	39.770
DACTINOMYCIN	22	9	13	40.909	22	0.833	0.733	1.633	908	593	1501	60.493
LUMATEPERONE	22	3	19	13.636	22	0.732	0.683	1.253	943	635	1578	59.759
DIMENHYDRINATE	22	12	10	54.545	22	1.417	1.114	2.736	3291	783	4074	80.781
CHLORMETHINE	22	3	19	13.636	22	0.692	0.631	0.966	624	768	1392	44.828
TRALOKINUMAB	22	1	21	4.545	22	0.817	0.714	1.415	1095	856	1951	56.125
BROLUCIZUMAB	22	9	13	40.909	22	0.690	0.652	1.285	897	626	1523	58.897
PATIROMER	22	16	6	72.727	22	0.744	0.712	1.450	800	665	1465	54.608
TAFAMIDIS	22	19	3	86.364	22	0.730	0.664	1.729	424	1224	1648	25.728
LORLATINIB	22	8	14	36.364	22	0.653	0.555	1.151	620	528	1148	54.007
GADOTERIC ACID	22	4	18	18.182	22	0.687	0.649	0.994	1612	794	2406	66.999
REPAGLINIDE	22	15	7	68.182	22	0.777	0.790	1.388	897	849	1746	51.375
BENZATROPINE	22	11	11	50.000	22	0.861	0.730	2.010	553	774	1327	41.673
EPCORITAMAB	22	18	4	81.818	22	0.835	0.655	2.010	1002	1217	2219	45.155
ALBUMIN	22	10	12	45.455	22	0.887	0.810	1.438	559	853	1412	39.589
CLOPIDOGREL BISULFATE	22	19	3	86.364	22	0.818	0.743	1.858	514	502	1016	50.591
BCG VACCINE	22	21	1	95.455	22	1.004	0.835	2.322	440	1261	1701	25.867
PAROXETINE HYDROCHLORIDE	22	5	17	22.727	22	0.764	0.732	1.115	829	558	1387	59.769
BELIMUMAB	22	2	20	9.091	22	1.279	1.059	2.759	5391	568	5959	90.468
ALPHA-1-ANTITRYPSIN	22	3	19	13.636	22	0.696	0.701	0.923	630	534	1164	54.124
NITROGLYCERIN	22	6	16	27.273	22	0.997	0.878	2.192	1044	580	1624	64.286
VOCLOSPORIN	22	3	19	13.636	22	0.781	0.658	1.825	2311	501	2812	82.183
SODIUM PICOSULFATE	22	7	15	31.818	22	2.141	1.950	4.281	1336	2209	3545	37.687
ENTECAVIR	21	18	3	85.714	21	0.876	0.805	1.401	427	585	1012	42.194
ENTACAPONE	21	16	5	76.190	21	0.979	0.788	2.296	829	592	1421	58.339
CILASTATIN;IMIPENEM	21	17	4	80.952	21	0.807	0.730	1.401	514	548	1062	48.399
FESOTERODINE	21	5	16	23.810	21	0.762	0.714	1.290	766	507	1273	60.173
IODIXANOL	21	5	16	23.810	21	0.682	0.676	0.925	456	617	1073	42.498
NALOXONE	21	19	2	90.476	21	0.800	0.747	1.336	618	500	1118	55.277
PIROXICAM	21	17	4	80.952	21	0.969	0.931	1.427	2036	352	2388	85.260
PROCHLORPERAZINE	21	10	11	47.619	21	0.929	0.872	1.683	2139	450	2589	82.619
CETIRIZINE;PSEUDOEPHEDRINE	21	12	9	57.143	21	1.919	1.828	3.404	17438	380	17818	97.867
ROCURONIUM	21	9	12	42.857	21	0.868	0.732	2.049	672	725	1397	48.103
TRANEXAMIC ACID	21	8	13	38.095	21	0.904	0.909	1.754	652	588	1240	52.581
DEXTROMETHORPHAN;QUINIDINE	21	3	18	14.286	21	0.742	0.671	1.193	2259	1177	3436	65.745
IOHEXOL	21	3	18	14.286	21	0.703	0.608	1.197	729	742	1471	49.558
ISOSORBIDE DINITRATE	21	14	7	66.667	21	0.828	0.810	1.577	2310	1724	4034	57.263
TREOSULFAN	21	18	3	85.714	21	0.927	0.780	2.569	559	622	1181	47.333
FLUVASTATIN	21	9	12	42.857	21	0.862	0.799	1.785	551	798	1349	40.845
CABOTEGRAVIR;RILPIVIRINE	21	10	11	47.619	21	0.717	0.655	1.156	556	1511	2067	26.899
TREMELIMUMAB	21	18	3	85.714	21	0.987	0.827	2.281	506	738	1244	40.675
RUPATADINE	20	4	16	20.000	20	1.942	1.748	4.124	1493	1151	2644	56.467
NYSTATIN	20	7	13	35.000	20	0.960	0.810	2.090	768	382	1150	66.783
PHENYLEPHRINE	20	9	11	45.000	20	1.143	0.900	2.488	3311	405	3716	89.101
BELATACEPT	20	19	1	95.000	20	0.999	0.883	2.416	573	614	1187	48.273
TENOFOVIR DISOPROXIL FUMARATE	20	10	10	50.000	20	0.851	0.706	2.183	530	925	1455	36.426
POTASSIUM CHLORIDE	20	5	15	25.000	20	0.781	0.728	1.467	532	412	944	56.356
METFORMIN;ROSIGLITAZONE	20	20	0	100.000	20	0.693	0.648	1.047	2151	3000	5151	41.759
MACROGOL;POTASSIUM;SODIUM BICARBONATE;SODIUM CHLORIDE	20	10	10	50.000	20	1.015	1.010	1.666	997	488	1485	67.138
LIFITEGRAST	20	2	18	10.000	20	0.924	0.829	2.191	3460	1058	4518	76.583
INOTERSEN	20	20	0	100.000	20	0.775	0.661	1.454	491	356	847	57.969
LARONIDASE	20	7	13	35.000	20	0.749	0.690	1.374	477	475	952	50.105
IVERMECTIN	20	4	16	20.000	20	0.821	0.751	1.592	734	565	1299	56.505
ETORICOXIB	20	5	15	25.000	20	0.886	0.779	1.694	540	447	987	54.711
HYDROMORPHONE HYDROCHLORIDE	20	10	10	50.000	20	0.810	0.762	1.221	1099	512	1611	68.218
SAPROPTERIN	20	0	20	0.000	20	0.750	0.705	1.710	696	603	1299	53.580
ICATIBANT	20	1	19	5.000	20	0.775	0.720	1.374	2523	830	3353	75.246
TETRABENAZINE	20	5	15	25.000	20	0.674	0.646	1.058	1161	935	2096	55.391
INOTUZUMAB	20	15	5	75.000	20	0.730	0.718	0.975	500	696	1196	41.806
BRIMONIDINE;TIMOLOL	20	0	20	0.000	20	0.705	0.674	1.087	701	535	1236	56.715
GUAIFENESIN	20	7	13	35.000	20	0.820	0.806	1.266	798	401	1199	66.555
CENEGERMIN	20	0	20	0.000	20	0.683	0.616	1.150	2599	1130	3729	69.697
ERGOCALCIFEROL	20	3	17	15.000	20	0.991	0.837	1.975	1088	311	1399	77.770
VISMODEGIB	20	13	7	65.000	20	0.800	0.679	2.275	1797	2609	4406	40.785
ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL	20	2	18	10.000	20	0.690	0.674	1.286	1117	461	1578	70.786
CAPTOPRIL	20	4	16	20.000	20	0.959	0.895	2.062	486	390	876	55.479
CASIRIVIMAB;IMDEMIVAB	20	8	12	40.000	20	0.823	0.827	1.229	804	561	1365	58.901
WARFARIN SODIUM	20	15	5	75.000	20	0.741	0.703	1.126	964	650	1614	59.727
TRASTUZUMAB DERUXTECAN	20	5	15	25.000	20	0.945	0.915	1.926	4727	1053	5780	81.782
COBIMETINIB	20	10	10	50.000	20	0.712	0.638	1.131	441	404	845	52.189
ADAPALENE	20	5	15	25.000	20	0.662	0.587	1.034	43742	14733	58475	74.805
ELOSULFASE ALFA	20	2	18	10.000	20	0.652	0.584	0.996	672	593	1265	53.123
AVELUMAB	19	14	5	73.684	19	0.680	0.646	1.091	263	566	829	31.725
VITAMIN K	19	1	18	5.263	19	1.727	1.850	3.129	273	2344	2617	10.432
TOPOTECAN	19	12	7	63.158	19	0.914	0.851	1.803	1311	828	2139	61.290
DECITABINE	19	15	4	78.947	19	0.733	0.727	1.122	490	623	1113	44.025
NORDAZEPAM	19	16	3	84.211	19	0.936	0.831	2.121	642	1239	1881	34.131
HYDROCHLOROTHIAZIDE;OLMESARTAN	19	1	18	5.263	19	0.800	0.761	1.710	717	532	1249	57.406
ATROPINE	19	10	9	52.632	19	0.920	0.856	1.565	1210	647	1857	65.159
ALUMINIUM;MAGNESIUM	19	3	16	15.789	19	1.417	1.261	2.547	431	1107	1538	28.023
MIANSERIN	19	8	11	42.105	19	0.986	0.876	1.629	663	574	1237	53.597
IMIPENEM	19	13	6	68.421	19	0.737	0.687	1.503	391	521	912	42.873
SUCRALFATE	19	9	10	47.368	19	0.906	0.781	1.733	1735	414	2149	80.735
FOSFOMYCIN	19	0	19	0.000	19	0.963	0.842	1.699	535	536	1071	49.953
GUANFACINE	19	13	6	68.421	19	0.857	0.752	1.670	728	1023	1751	41.576
SODIUM BICARBONATE;SODIUM CHLORIDE	19	1	18	5.263	19	2.263	2.083	4.205	1683	1040	2723	61.807
ALENDRONATE SODIUM	19	7	12	36.842	19	1.102	0.837	2.151	6173	280	6453	95.661
RIPRETINIB	19	6	13	31.579	19	0.799	0.652	2.583	852	1032	1884	45.223
DAPSONE	19	4	15	21.053	19	0.900	0.796	1.985	909	689	1598	56.884
ALGLUCOSIDASE ALFA	19	6	13	31.579	19	0.763	0.707	1.195	503	573	1076	46.747
CLOFARABINE	18	12	6	66.667	18	0.926	0.860	1.559	411	517	928	44.289
REGADENOSON	18	7	11	38.889	18	0.721	0.707	1.108	853	649	1502	56.791
SALICYLIC ACID	18	11	7	61.111	18	0.938	0.847	2.037	1495	563	2058	72.643
MIDOSTAURIN	18	9	9	50.000	18	0.804	0.583	1.805	590	1003	1593	37.037
DELAMANID	18	15	3	83.333	18	0.842	0.816	1.280	501	380	881	56.867
URAPIDIL	18	12	6	66.667	18	0.821	0.616	1.760	482	460	942	51.168
VITAMIN B7	18	0	18	0.000	18	1.966	2.072	3.019	287	1146	1433	20.028
TEICOPLANIN	18	15	3	83.333	18	0.780	0.773	1.143	498	498	996	50.000
SAXAGLIPTIN	18	12	6	66.667	18	0.726	0.658	1.243	483	373	856	56.425
TELOTRISTAT	18	2	16	11.111	18	0.626	0.578	0.831	684	668	1352	50.592
AMLODIPINE;HYDROCHLOROTHIAZIDE;VALSARTAN	18	10	8	55.556	18	0.665	0.621	1.095	691	343	1034	66.828
SUVOREXANT	18	3	15	16.667	18	0.753	0.712	1.140	384	311	695	55.252
ADEFOVIR	18	16	2	88.889	18	0.988	0.893	2.161	471	1042	1513	31.130
IVACAFTOR	18	6	12	33.333	18	0.718	0.647	1.154	598	514	1112	53.777
VALPROATE SODIUM	18	12	6	66.667	18	0.725	0.644	1.428	372	354	726	51.240
MICAFUNGIN	18	17	1	94.444	18	0.987	1.048	1.845	382	474	856	44.626
CLOTRIMAZOLE	18	6	12	33.333	18	1.625	1.301	3.825	2298	843	3141	73.161
ESTRADIOL	18	0	18	0.000	18	2.805	3.149	5.865	5246	506	5752	91.203
PROPYLENE GLYCOL	17	0	17	0.000	17	1.339	1.103	2.995	1190	955	2145	55.478
VILAZODONE	17	6	11	35.294	17	0.743	0.619	1.691	1139	520	1659	68.656
TRASTUZUMAB EMTANSINE	17	0	17	0.000	17	1.694	1.398	3.939	3971	305	4276	92.867
ROFLUMILAST	17	14	3	82.353	17	0.872	0.769	1.781	799	308	1107	72.177
