drug_name	n_signals	n_female_signals	n_male_signals	pct_female	n_unique_aes	mean_abs_lr	median_abs_lr	max_abs_lr	total_female_reports	total_male_reports	total_reports	report_pct_female
FUMARIC ACID	139	20	119	14.388	139	0.858	0.712	3.107	34572	12085	46657	74.098
FLUCONAZOLE	138	90	48	65.217	138	1.036	0.819	2.769	16325	5535	21860	74.680
ASPIRIN	137	113	24	82.482	137	0.828	0.714	2.562	8298	5225	13523	61.362
RISANKIZUMAB	137	41	96	29.927	137	0.712	0.653	1.725	6403	5031	11434	56.000
MAGNESIUM	136	68	68	50.000	136	1.414	1.226	3.649	28959	8299	37258	77.726
OCRELIZUMAB	136	39	97	28.676	136	0.763	0.712	1.500	16747	5904	22651	73.935
ATENOLOL	136	90	46	66.176	136	0.882	0.741	2.903	12861	4586	17447	73.715
TICAGRELOR	136	108	28	79.412	136	0.794	0.746	1.535	5763	8219	13982	41.217
ECULIZUMAB	136	48	88	35.294	136	0.782	0.692	2.955	5915	4764	10679	55.389
PIPERACILLIN;TAZOBACTAM	136	117	19	86.029	136	0.889	0.749	2.581	6028	5406	11434	52.720
MELPHALAN	134	113	21	84.328	134	0.916	0.807	2.284	5145	5505	10650	48.310
POTASSIUM	134	62	72	46.269	134	1.166	0.984	3.151	10684	8052	18736	57.024
IRINOTECAN	134	90	44	67.164	134	0.856	0.733	1.856	5885	7272	13157	44.729
PEMETREXED	133	104	29	78.195	133	0.859	0.788	1.815	5784	6284	12068	47.928
NILOTINIB	132	103	29	78.030	132	0.720	0.657	1.526	5426	4663	10089	53.781
EVOLOCUMAB	131	25	106	19.084	131	0.776	0.666	2.721	37530	23623	61153	61.371
ACICLOVIR	131	88	43	67.176	131	0.891	0.782	2.669	7055	4330	11385	61.968
LOSARTAN	130	64	66	49.231	130	0.830	0.742	2.322	8919	4244	13163	67.758
BETAMETHASONE	130	46	84	35.385	130	1.256	1.005	3.542	15809	9903	25712	61.485
IPRATROPIUM	129	59	70	45.736	129	1.175	0.907	3.371	11712	8258	19970	58.648
POMALIDOMIDE	128	73	55	57.031	128	0.725	0.652	1.440	7062	7768	14830	47.620
PROPOFOL	128	72	56	56.250	128	0.837	0.768	1.959	5617	4958	10575	53.116
RUXOLITINIB	127	89	38	70.079	127	0.748	0.669	1.957	4685	4624	9309	50.328
AMBRISENTAN	125	41	84	32.800	125	0.710	0.646	1.739	17516	5650	23166	75.611
EPINEPHRINE	125	51	74	40.800	125	1.025	0.882	3.637	8510	7829	16339	52.084
MINOXIDIL	125	55	70	44.000	125	1.177	1.017	6.448	38747	29152	67899	57.066
LINEZOLID	124	100	24	80.645	124	0.834	0.795	1.714	5846	5494	11340	51.552
BOTULINUM TOXIN	124	54	70	43.548	124	1.036	0.853	4.360	43162	5376	48538	88.924
PROPRANOLOL	123	34	89	27.642	123	0.953	0.801	2.773	8728	5519	14247	61.262
PEGINTERFERON ALFA-2A	123	63	60	51.220	123	0.785	0.690	3.785	7767	8651	16418	47.308
PERINDOPRIL	123	84	39	68.293	123	1.043	0.810	2.880	9144	5420	14564	62.785
CICLESONIDE	123	43	80	34.959	123	1.103	0.993	3.314	12676	10957	23633	53.637
PEGASPARGASE	122	96	26	78.689	122	0.856	0.782	2.099	5004	5529	10533	47.508
GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	122	70	52	57.377	122	0.797	0.740	2.519	11511	13279	24790	46.434
SUNITINIB	122	80	42	65.574	122	0.738	0.642	1.615	4790	7758	12548	38.173
LAMIVUDINE	120	86	34	71.667	120	1.036	0.921	2.810	6731	9475	16206	41.534
MOMETASONE	119	56	63	47.059	119	1.100	0.894	2.650	11972	4233	16205	73.878
MEROPENEM	119	103	16	86.555	119	0.827	0.766	1.761	4411	4237	8648	51.006
FORMOTEROL;MOMETASONE	118	17	101	14.407	118	1.218	1.055	3.523	13045	13426	26471	49.280
LIDOCAINE	118	23	95	19.492	118	0.931	0.840	2.227	5140	5198	10338	49.719
NICOTINE	117	29	88	24.786	117	0.824	0.751	2.634	8983	5343	14326	62.704
MACROGOL	117	23	94	19.658	117	1.129	0.914	3.357	6995	8126	15121	46.260
TORASEMIDE	116	58	58	50.000	116	0.963	0.862	1.868	5574	6099	11673	47.751
GLATIRAMER	114	13	101	11.404	114	0.740	0.688	1.669	26744	6639	33383	80.113
TENOFOVIR	114	73	41	64.035	114	0.967	0.896	2.416	5626	12221	17847	31.524
BENDAMUSTINE	113	93	20	82.301	113	0.870	0.772	2.686	5055	5601	10656	47.438
CABOZANTINIB	112	75	37	66.964	112	0.798	0.727	2.045	3350	6865	10215	32.795
UNSPECIFIED	112	60	52	53.571	112	0.820	0.700	2.301	5448	6061	11509	47.337
CARVEDILOL	112	59	53	52.679	112	0.808	0.700	1.565	3453	4404	7857	43.948
CLONIDINE	111	67	44	60.360	111	1.143	1.027	3.162	16825	5118	21943	76.676
AZACITIDINE	111	88	23	79.279	111	0.808	0.734	1.963	3870	5141	9011	42.948
LOPERAMIDE	111	53	58	47.748	111	0.993	0.857	2.656	10137	4281	14418	70.308
FAMPRIDINE	110	12	98	10.909	110	0.833	0.747	2.914	19967	8907	28874	69.152
OXCARBAZEPINE	108	51	57	47.222	108	0.821	0.765	2.328	5797	3965	9762	59.383
DARATUMUMAB	108	83	25	76.852	108	0.787	0.715	1.762	4539	5011	9550	47.529
MIDAZOLAM	107	67	40	62.617	107	0.911	0.785	2.706	6036	4100	10136	59.550
METHADONE	107	79	28	73.832	107	0.847	0.755	2.356	12007	13854	25861	46.429
PAMIDRONIC ACID	107	50	57	46.729	107	0.761	0.686	2.381	4868	2545	7413	65.668
BUSULFAN	106	88	18	83.019	106	0.959	0.773	2.138	4145	4923	9068	45.710
ENOXAPARIN	105	55	50	52.381	105	0.795	0.698	2.170	4414	3414	7828	56.387
ATOMOXETINE	105	72	33	68.571	105	1.506	1.158	3.959	24119	5592	29711	81.179
AMPHOTERICIN B	105	87	18	82.857	105	0.937	0.845	2.467	3937	4189	8126	48.449
PEGFILGRASTIM	104	48	56	46.154	104	0.831	0.690	2.998	20396	10047	30443	66.997
BOSENTAN	104	35	69	33.654	104	0.813	0.717	1.946	7676	3011	10687	71.826
NINTEDANIB	103	78	25	75.728	103	0.754	0.673	1.503	5525	5855	11380	48.550
PAZOPANIB	103	48	55	46.602	103	0.786	0.660	2.034	3180	4845	8025	39.626
SARILUMAB	103	60	43	58.252	103	1.294	1.158	2.948	70127	3326	73453	95.472
VALACICLOVIR	103	63	40	61.165	103	0.846	0.770	1.950	6148	3466	9614	63.948
RITONAVIR	102	43	59	42.157	102	0.872	0.776	1.814	4342	6231	10573	41.067
DAUNORUBICIN	102	74	28	72.549	102	0.884	0.828	1.929	3871	4291	8162	47.427
DARBEPOETIN ALFA	102	45	57	44.118	102	1.046	0.811	3.448	3959	8093	12052	32.849
TRASTUZUMAB	101	31	70	30.693	101	1.325	1.101	5.865	35045	3799	38844	90.220
