adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Influenza	118	118	48	70	40.678	0.862	0.753	3.636	15618
Neck pain	118	118	57	61	48.305	1.010	0.844	2.768	29518
Inappropriate schedule of product administration	118	118	34	84	28.814	0.905	0.789	3.034	20096
Hot flush	117	117	95	22	81.197	0.922	0.839	2.796	22954
Drug dependence	117	117	88	29	75.214	1.062	0.909	2.604	35001
Rectal haemorrhage	117	117	93	24	79.487	1.224	0.986	3.195	22356
Liver injury	116	116	77	39	66.379	1.435	0.939	3.971	58803
Chronic obstructive pulmonary disease	116	116	37	79	31.897	1.153	0.933	3.123	16628
Eosinophilia	116	116	68	48	58.621	0.914	0.824	2.729	16033
Arthritis	115	115	50	65	43.478	1.048	0.920	2.477	29453
Deep vein thrombosis	113	113	36	77	31.858	1.000	0.793	3.634	17768
Eye pain	112	112	38	74	33.929	0.841	0.734	2.216	12625
Agitation	112	112	84	28	75.000	0.878	0.784	2.591	13054
Pneumonia aspiration	112	112	87	25	77.679	1.061	0.806	3.656	12765
Wound	111	111	45	66	40.541	1.593	1.161	4.402	101425
Cardiac disorder	110	110	73	37	66.364	0.923	0.727	2.938	15296
Blood glucose increased	110	110	60	50	54.545	0.804	0.678	1.993	19264
Hypoglycaemia	110	110	89	21	80.909	0.798	0.722	2.764	13272
Musculoskeletal pain	110	110	67	43	60.909	1.160	0.909	3.363	52308
Stomatitis	110	110	62	48	56.364	1.311	0.999	3.611	80098
Fungal infection	110	110	21	89	19.091	0.996	0.899	2.911	16818
Tinnitus	109	109	37	72	33.945	0.886	0.718	3.587	14595
Pancreatitis	109	109	79	30	72.477	0.907	0.833	1.984	14879
Blood pressure decreased	109	109	68	41	62.385	0.807	0.749	2.720	9389
Psoriasis	109	109	82	27	75.229	1.211	1.028	3.261	48376
Neuropathy peripheral	109	109	71	38	65.138	0.875	0.783	1.974	15090
Dry skin	108	108	24	84	22.222	0.842	0.748	1.801	38401
Swelling face	108	108	43	65	39.815	0.934	0.846	2.253	18170
No adverse event	108	108	34	74	31.481	0.865	0.742	3.145	20058
Cognitive disorder	108	108	62	46	57.407	1.085	0.893	3.397	16558
Dysarthria	107	107	60	47	56.075	0.873	0.755	2.185	13740
Osteoporosis	107	107	84	23	78.505	1.222	1.118	2.874	44676
Leukopenia	107	107	54	53	50.467	0.890	0.764	2.515	13721
Amnesia	107	107	69	38	64.486	1.089	0.818	2.922	28133
Rheumatoid arthritis	107	107	60	47	56.075	1.344	1.097	3.902	139498
Dysuria	107	107	73	34	68.224	0.833	0.731	1.704	10073
Hepatitis	107	107	82	25	76.636	1.071	0.847	2.873	22607
Drug reaction with eosinophilia and systemic symptoms	107	107	73	34	68.224	0.837	0.764	1.672	16415
Gait inability	107	107	59	48	55.140	1.225	0.880	3.496	52408
Cholestasis	106	106	82	24	77.358	0.836	0.727	1.635	9322
Cardiac failure congestive	106	106	78	28	73.585	1.005	0.803	3.601	25099
Pulmonary fibrosis	106	106	60	46	56.604	1.449	1.226	3.998	45733
Metabolic acidosis	105	105	63	42	60.000	0.824	0.718	1.809	8909
Suicide attempt	105	105	54	51	51.429	0.941	0.793	2.932	15576
Haemoptysis	105	105	56	49	53.333	1.110	0.868	4.413	13001
Blood creatine phosphokinase increased	105	105	99	6	94.286	0.948	0.841	2.613	8298
Rhinorrhoea	105	105	66	39	62.857	0.931	0.807	2.819	18971
Hepatocellular injury	104	104	79	25	75.962	0.834	0.757	2.079	8931
Ascites	104	104	50	54	48.077	1.337	0.930	3.461	14777
Gastrointestinal haemorrhage	104	104	87	17	83.654	0.829	0.750	2.085	17156
Night sweats	104	104	55	49	52.885	1.395	1.005	3.452	45474
Epistaxis	103	103	64	39	62.136	0.885	0.764	3.220	15173
Acne	103	103	8	95	7.767	1.054	0.909	3.887	16507
Respiratory disorder	103	103	61	42	59.223	1.107	0.955	2.793	23183
Toxic epidermal necrolysis	102	102	60	42	58.824	1.021	0.872	2.405	9408
Rash erythematous	102	102	42	60	41.176	0.952	0.786	3.048	15513
Lymphadenopathy	102	102	28	74	27.451	0.867	0.724	2.224	12513
Dysphonia	101	101	50	51	49.505	1.035	0.838	3.548	18138
Ill-defined disorder	101	101	59	42	58.416	1.288	1.049	4.168	72219
Hypothyroidism	101	101	52	49	51.485	1.228	0.975	3.816	16321
Therapeutic response decreased	100	100	50	50	50.000	0.835	0.772	2.245	22165
Burning sensation	100	100	38	62	38.000	0.896	0.761	2.274	15756
Acute respiratory distress syndrome	100	100	73	27	73.000	0.861	0.797	2.251	7573
Lactic acidosis	100	100	61	39	61.000	0.918	0.827	1.938	8654
Haematochezia	100	100	63	37	63.000	1.166	0.873	3.222	14618
Incorrect route of product administration	99	99	45	54	45.455	1.344	1.225	3.035	18082
Wrong technique in product usage process	99	99	44	55	44.444	0.870	0.715	2.786	17883
Rash maculo-papular	99	99	58	41	58.586	0.856	0.773	2.270	8334
Product quality issue	99	99	49	50	49.495	1.059	0.859	2.820	36315
Dyspnoea exertional	98	98	34	64	34.694	1.047	0.900	4.162	15004
Nasal congestion	98	98	54	44	55.102	0.887	0.762	3.276	15586
Emotional distress	98	98	87	11	88.776	1.077	0.955	2.967	20454
Colitis	98	98	72	26	73.469	0.958	0.755	2.982	13077
Cataract	98	98	32	66	32.653	0.911	0.771	2.318	12225
Feeling hot	98	98	51	47	52.041	0.853	0.757	2.530	14492
Malignant neoplasm progression	98	98	78	20	79.592	0.846	0.741	2.449	48457
Bone pain	97	97	17	80	17.526	0.827	0.723	2.811	13382
Adverse event	97	97	78	19	80.412	1.197	1.016	2.786	31986
Flushing	96	96	32	64	33.333	0.774	0.688	1.733	14232
Hospitalisation	96	96	64	32	66.667	0.826	0.727	2.102	10627
Influenza like illness	96	96	37	59	38.542	0.834	0.729	2.128	24614
Liver function test increased	96	96	53	43	55.208	1.116	0.939	2.824	29912
Cardiogenic shock	95	95	52	43	54.737	1.172	1.013	3.049	11778
Oxygen saturation decreased	95	95	55	40	57.895	0.838	0.717	2.021	9806
Disease recurrence	95	95	28	67	29.474	0.849	0.683	2.337	9291
Osteoarthritis	95	95	54	41	56.842	1.191	0.970	3.306	52931
White blood cell count increased	94	94	77	17	81.915	1.005	0.974	2.037	13210
Infusion related reaction	94	94	63	31	67.021	1.810	1.542	5.496	133819
Hepatic failure	93	93	69	24	74.194	0.824	0.766	1.683	8076
Hepatotoxicity	93	93	63	30	67.742	0.939	0.772	2.961	10067
Renal disorder	92	92	63	29	68.478	0.930	0.715	2.641	11168
Encephalopathy	92	92	76	16	82.609	0.933	0.839	1.959	8768
Impaired healing	92	92	42	50	45.652	1.514	1.057	4.808	81351
Suicidal ideation	92	92	38	54	41.304	0.882	0.735	2.254	12740
Obesity	91	91	64	27	70.330	1.787	1.538	4.335	37403
Abdominal pain lower	91	91	2	89	2.198	1.016	0.955	2.077	7614
Hepatic cytolysis	90	90	47	43	52.222	0.897	0.811	1.768	8174
Oropharyngeal pain	89	89	24	65	26.966	0.842	0.765	2.493	10910
Eczema	89	89	32	57	35.955	0.930	0.796	4.015	11356
Ulcer	89	89	32	57	35.955	1.121	0.962	2.984	13196
Nightmare	89	89	18	71	20.225	1.290	0.996	3.794	15141
Injury	89	89	47	42	52.809	1.536	0.944	4.234	53984
