adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Lymphocytosis	3	3	2	1	66.667	0.607	0.573	0.705	212
Haemophilus infection	3	3	2	1	66.667	0.926	0.886	1.206	123
Urinary bladder haemorrhage	3	3	3	0	100.000	1.053	0.698	1.880	172
Opiates positive	3	3	3	0	100.000	1.042	1.041	1.257	107
Age-related macular degeneration	3	3	1	2	33.333	1.176	0.997	1.536	253
Mean cell haemoglobin concentration decreased	3	3	1	2	33.333	0.584	0.596	0.627	117
Dilated cardiomyopathy	3	3	3	0	100.000	1.712	2.047	2.174	158
Spina bifida	3	3	2	1	66.667	0.688	0.731	0.832	392
Maternal exposure timing unspecified	3	3	0	3	0.000	2.016	2.077	3.227	533
Reaction to excipient	3	3	0	3	0.000	0.970	0.826	1.346	255
Immune-mediated adrenal insufficiency	3	3	3	0	100.000	1.459	1.549	1.690	515
Maternal exposure during breast feeding	3	3	0	3	0.000	2.164	2.310	2.590	258
Administration site extravasation	3	3	2	1	66.667	0.601	0.574	0.693	131
Blood potassium abnormal	3	3	1	2	33.333	0.619	0.565	0.770	160
Optic neuropathy	3	3	1	2	33.333	0.739	0.659	0.952	161
Dementia with Lewy bodies	3	3	3	0	100.000	0.803	0.572	1.294	379
Hypovitaminosis	3	3	0	3	0.000	0.772	0.720	0.991	77
Mantle cell lymphoma	3	3	2	1	66.667	0.769	0.862	0.919	418
Administration site pain	3	3	0	3	0.000	0.752	0.709	0.977	116
Agraphia	3	3	0	3	0.000	0.898	1.072	1.103	320
Dieulafoy's vascular malformation	3	3	3	0	100.000	0.724	0.548	1.097	160
Malignant pleural effusion	3	3	2	1	66.667	0.834	0.763	1.038	153
Bone abscess	3	3	2	1	66.667	0.649	0.611	0.761	121
Lower respiratory tract infection bacterial	3	3	1	2	33.333	0.784	0.624	1.146	86
Injection site atrophy	3	3	1	2	33.333	1.310	1.516	1.883	361
Hypoparathyroidism	3	3	0	3	0.000	0.742	0.788	0.889	185
Wrist deformity	3	3	0	3	0.000	1.104	1.133	1.607	397
Sleep talking	3	3	2	1	66.667	0.727	0.626	0.940	262
Myeloid leukaemia	3	3	3	0	100.000	1.470	1.718	1.788	117
Product used for unknown indication	3	3	1	2	33.333	1.423	1.571	2.090	138
Renal tubular dysfunction	3	3	3	0	100.000	1.102	1.070	1.367	132
Human herpesvirus 6 infection reactivation	3	3	3	0	100.000	0.874	0.903	0.950	114
Myelitis	3	3	1	2	33.333	0.851	0.778	1.101	164
Troponin I increased	3	3	3	0	100.000	1.810	1.750	2.058	158
Transformation to acute myeloid leukaemia	3	3	3	0	100.000	0.888	0.801	1.145	195
Neuroendocrine carcinoma of the skin	3	3	3	0	100.000	0.763	0.678	1.073	170
Chorea	3	3	2	1	66.667	1.433	1.648	1.737	120
Human ehrlichiosis	3	3	2	1	66.667	0.655	0.592	0.848	187
Mycobacterium haemophilum infection	3	3	1	2	33.333	0.733	0.531	1.165	206
Choroiditis	3	3	1	2	33.333	0.996	0.901	1.259	214
Renin increased	3	3	2	1	66.667	0.632	0.584	0.738	109
Troponin T increased	3	3	2	1	66.667	1.085	0.969	1.758	113
Small intestinal resection	3	3	2	1	66.667	0.848	0.871	1.133	180
Myasthenia gravis crisis	3	3	1	2	33.333	0.680	0.703	0.783	157
Tuberculoma of central nervous system	3	3	3	0	100.000	0.830	0.610	1.363	207
Cardiac ablation	3	3	2	1	66.667	0.751	0.727	0.982	113
Chronic graft versus host disease oral	3	3	3	0	100.000	0.760	0.550	1.184	100
Carcinoembryonic antigen increased	3	3	0	3	0.000	0.852	0.910	0.921	195
Chronic inflammatory demyelinating polyradiculoneuropathy	3	3	2	1	66.667	0.772	0.801	0.845	108
Hirsutism	3	3	0	3	0.000	1.332	1.063	1.928	132
Chronic myeloid leukaemia recurrent	3	3	3	0	100.000	1.008	0.753	1.549	272
Chronic myeloid leukaemia transformation	3	3	3	0	100.000	0.691	0.684	0.757	301
Carbon dioxide decreased	3	3	1	2	33.333	1.054	0.922	1.702	115
Chronic spontaneous urticaria	3	3	1	2	33.333	0.635	0.632	0.710	688
Abdominal wall haematoma	3	3	3	0	100.000	0.925	0.994	1.216	526
Neutrophil percentage increased	3	3	3	0	100.000	0.555	0.550	0.612	317
Cardioversion	3	3	3	0	100.000	0.696	0.591	0.953	156
Small intestinal haemorrhage	3	3	3	0	100.000	0.650	0.715	0.723	379
Abdominal lymphadenopathy	3	3	2	1	66.667	0.686	0.613	0.837	101
Traumatic haematoma	3	3	3	0	100.000	1.203	1.262	1.373	143
Cauda equina syndrome	3	3	1	2	33.333	1.012	1.204	1.237	132
Yellow skin	3	3	2	1	66.667	0.852	0.877	0.900	94
Necrotising retinitis	3	3	3	0	100.000	1.184	1.074	1.548	168
Central venous catheterisation	3	3	1	2	33.333	1.061	0.979	1.430	222
Renal haemangioma	3	3	0	3	0.000	1.112	1.210	1.522	985
Cerebellar ataxia	3	3	2	1	66.667	0.619	0.661	0.694	143
Catheter site pruritus	3	3	0	3	0.000	0.686	0.567	0.968	321
Nasal operation	3	3	1	2	33.333	0.694	0.667	0.759	120
Nasal mucosal disorder	3	3	0	3	0.000	0.658	0.599	0.810	98
Neonatal hypoacusis	3	3	3	0	100.000	0.638	0.575	0.777	176
Nasal discharge discolouration	3	3	0	3	0.000	0.557	0.515	0.647	320
Catheter site erythema	3	3	0	3	0.000	0.617	0.566	0.766	288
Cerebral fungal infection	3	3	3	0	100.000	0.953	0.783	1.348	128
Catheter site discharge	3	3	0	3	0.000	0.777	0.769	0.837	167
Chemotherapy	3	3	2	1	66.667	0.880	0.810	1.218	90
Nail pitting	3	3	0	3	0.000	0.674	0.616	0.873	164
Renal infarct	3	3	3	0	100.000	1.309	0.801	2.409	103
Catheter placement	3	3	3	0	100.000	0.710	0.671	0.935	342
Nail growth abnormal	3	3	1	2	33.333	0.813	0.738	1.151	138
Catheter management	3	3	0	3	0.000	0.762	0.726	0.893	219
Cerebrospinal fluid leakage	3	3	1	2	33.333	1.132	0.749	2.064	143
Cartilage injury	3	3	0	3	0.000	0.892	0.692	1.480	709
Nephrocalcinosis	3	3	1	2	33.333	1.177	0.797	2.039	150
Myopericarditis	3	3	2	1	66.667	0.901	0.828	1.307	142
Myopathy toxic	3	3	2	1	66.667	0.673	0.634	0.763	108
Hyperaesthesia teeth	3	3	0	3	0.000	1.033	0.965	1.362	84
Change of bowel habit	3	3	0	3	0.000	1.120	1.181	1.605	131
Chapped lips	3	3	1	2	33.333	0.840	0.955	0.962	514
Muscle discomfort	3	3	0	3	0.000	0.914	0.840	1.198	113
Abscess jaw	3	3	0	3	0.000	1.035	0.942	1.318	354
Cleft lip	3	3	0	3	0.000	0.624	0.597	0.748	181
Metastases to spleen	3	3	2	1	66.667	0.784	0.677	1.082	91
Milk-alkali syndrome	3	3	1	2	33.333	1.204	1.358	1.525	358
Red blood cell transfusion	3	3	3	0	100.000	0.773	0.821	0.946	77
Contraindicated product prescribed	3	3	0	3	0.000	1.045	1.212	1.306	145
Middle ear effusion	3	3	0	3	0.000	1.195	1.232	1.700	89
Contrast media deposition	3	3	2	1	66.667	0.714	0.734	0.827	141
Hypochromic anaemia	3	3	2	1	66.667	0.786	0.648	1.161	162
Acute graft versus host disease in liver	3	3	2	1	66.667	0.632	0.608	0.708	235
Breath odour	3	3	1	2	33.333	0.898	0.998	1.038	102
Microalbuminuria	3	3	2	1	66.667	0.635	0.567	0.772	156
Corneal disorder	3	3	0	3	0.000	0.719	0.740	0.773	100
Hypoglycaemia neonatal	3	3	2	1	66.667	0.821	0.811	0.960	243
Hypoglycaemic coma	3	3	3	0	100.000	0.829	0.672	1.301	146
Drug clearance decreased	3	3	1	2	33.333	1.114	1.053	1.315	385
Tinea pedis	3	3	2	1	66.667	0.705	0.780	0.830	84
Tonsillar disorder	3	3	1	2	33.333	0.635	0.570	0.804	202
Occult blood positive	3	3	1	2	33.333	0.651	0.658	0.756	189
Corynebacterium infection	3	3	2	1	66.667	0.820	0.554	1.406	138
Counterfeit product administered	3	3	1	2	33.333	0.991	0.741	1.592	486
Breast cancer	3	3	1	2	33.333	0.841	0.708	1.238	2903
Thyroid neoplasm	3	3	0	3	0.000	1.072	1.095	1.211	155
Metastases to bone marrow	3	3	3	0	100.000	0.856	0.998	1.029	120
Ocular hypertension	3	3	1	2	33.333	0.558	0.583	0.587	171
Metastases to adrenals	3	3	3	0	100.000	1.326	1.274	1.624	94
Retinal disorder	3	3	0	3	0.000	0.661	0.670	0.747	117
Ocular icterus	3	3	0	3	0.000	0.638	0.644	0.698	144
Product lot number issue	3	3	1	2	33.333	0.876	0.893	1.052	137
Crystal nephropathy	3	3	2	1	66.667	0.910	0.755	1.234	154
Metabolic alkalosis	3	3	0	3	0.000	0.898	0.601	1.549	136
Brugada syndrome	3	3	2	1	66.667	1.081	1.320	1.417	154
Conjunctival haemorrhage	3	3	2	1	66.667	0.703	0.566	1.014	138
Calcium deficiency	3	3	0	3	0.000	1.150	1.179	1.539	109
Complex partial seizures	3	3	0	3	0.000	0.920	0.915	1.051	96
Cluster headache	3	3	0	3	0.000	1.037	0.696	1.826	154
Coagulation time prolonged	3	3	3	0	100.000	0.870	0.801	1.059	150
Respiratory alkalosis	3	3	2	1	66.667	0.816	0.811	1.082	188
Herpes simplex oesophagitis	3	3	3	0	100.000	0.895	0.596	1.538	95
Herpes simplex encephalitis	3	3	2	1	66.667	1.157	1.158	1.377	119
Toxic anterior segment syndrome	3	3	1	2	33.333	0.822	0.812	0.919	187
Colon operation	3	3	0	3	0.000	0.815	0.792	0.893	190
Mucosal toxicity	3	3	2	1	66.667	0.583	0.538	0.685	115
Hepatosplenic T-cell lymphoma	3	3	1	2	33.333	1.390	1.299	2.246	181
Tumour hyperprogression	3	3	3	0	100.000	0.847	0.809	1.171	151
COVID-19 immunisation	3	3	0	3	0.000	0.683	0.688	0.708	251
Colostomy	3	3	1	2	33.333	0.981	1.006	1.178	101
Tumour pain	3	3	2	1	66.667	0.871	0.912	0.914	97
Tumour pseudoprogression	3	3	3	0	100.000	1.039	1.055	1.169	360
Tonsillar hypertrophy	3	3	1	2	33.333	0.740	0.560	1.107	267
Acquired haemophilia	3	3	3	0	100.000	1.254	1.209	1.347	222
Non-cardiogenic pulmonary oedema	3	3	1	2	33.333	0.715	0.601	0.973	376
Morganella infection	3	3	3	0	100.000	0.808	0.611	1.248	94
Morbid thoughts	3	3	0	3	0.000	0.913	0.867	1.163	99
Acrochordon	3	3	0	3	0.000	0.791	0.860	0.929	79
Compulsive shopping	3	3	2	1	66.667	1.059	0.798	1.629	190
Concomitant disease progression	3	3	2	1	66.667	0.941	0.809	1.378	157
Monocyte count decreased	3	3	1	2	33.333	0.867	0.985	0.996	142
Non-small cell lung cancer metastatic	3	3	1	2	33.333	0.573	0.568	0.606	91
Congenital aplasia	3	3	3	0	100.000	0.988	0.959	1.121	88
Hepatitis C virus test positive	3	3	3	0	100.000	0.688	0.730	0.760	196
Burkitt's lymphoma	3	3	2	1	66.667	1.105	1.158	1.371	158
Congenital hydronephrosis	3	3	3	0	100.000	1.500	1.450	2.344	116
Coronary artery thrombosis	3	3	3	0	100.000	0.996	0.973	1.066	166
Haemochromatosis	3	3	3	0	100.000	0.556	0.546	0.594	119
Immune-mediated hypophysitis	3	3	3	0	100.000	1.261	1.504	1.657	314
Periarthritis	3	3	0	3	0.000	1.144	1.343	1.571	134
Incorrect product formulation administered	3	3	0	3	0.000	0.721	0.758	0.803	228
Anastomotic leak	3	3	2	1	66.667	1.278	1.564	1.672	173
Ewing's sarcoma	3	3	3	0	100.000	0.830	0.878	0.900	80
Pulmonary cavitation	3	3	2	1	66.667	0.736	0.714	0.984	124
Periodontal disease	3	3	1	2	33.333	0.861	0.814	1.049	259
Angiocentric lymphoma	3	3	2	1	66.667	0.575	0.546	0.632	123
Exfoliative rash	3	3	3	0	100.000	0.771	0.751	1.029	138
Exophthalmos	3	3	0	3	0.000	0.680	0.644	0.789	89
Superior vena cava syndrome	3	3	3	0	100.000	0.762	0.779	0.888	83
Exposed bone in jaw	3	3	0	3	0.000	1.008	1.123	1.289	1808
Superinfection	3	3	2	1	66.667	0.919	0.672	1.510	164
Atypical haemolytic uraemic syndrome	3	3	2	1	66.667	0.706	0.757	0.786	258
Superficial injury of eye	3	3	1	2	33.333	1.046	1.154	1.158	250
Gastrointestinal tube insertion	3	3	2	1	66.667	0.638	0.582	0.772	121
Increased viscosity of bronchial secretion	3	3	1	2	33.333	0.773	0.773	1.040	126
Gastrointestinal tract irritation	3	3	0	3	0.000	0.998	1.025	1.278	145
Volvulus	3	3	1	2	33.333	0.673	0.706	0.743	235
Infantile spasms	3	3	1	2	33.333	0.966	0.647	1.695	193
Polysubstance dependence	3	3	3	0	100.000	1.271	1.074	1.733	121
Sudden unexplained death in epilepsy	3	3	2	1	66.667	0.790	0.778	0.854	247
Infected cyst	3	3	0	3	0.000	0.893	0.850	1.274	128
Intra-abdominal haemorrhage	3	3	3	0	100.000	0.891	0.951	1.023	78
Infected skin ulcer	3	3	0	3	0.000	0.661	0.636	0.776	123
Suspected COVID-19	3	3	1	2	33.333	0.724	0.716	0.806	134
Joint crepitation	3	3	1	2	33.333	0.928	0.771	1.365	579
Educational problem	3	3	1	2	33.333	0.606	0.603	0.651	234
Joint destruction	3	3	3	0	100.000	1.232	1.163	1.462	1152
Weight gain poor	3	3	2	1	66.667	1.090	0.993	1.635	189
Large intestinal obstruction	3	3	1	2	33.333	0.913	0.915	1.240	95
Large intestinal haemorrhage	3	3	2	1	66.667	0.576	0.538	0.654	116
Amphetamines positive	3	3	3	0	100.000	0.675	0.678	0.753	122
Endocarditis bacterial	3	3	1	2	33.333	0.863	0.912	1.151	89
Amyloid related imaging abnormality-oedema/effusion	3	3	1	2	33.333	0.700	0.524	1.075	310
Splenic rupture	3	3	3	0	100.000	0.823	0.705	1.064	273
Gingival recession	3	3	0	3	0.000	1.176	0.978	1.630	118
Amyotrophic lateral sclerosis	3	3	3	0	100.000	0.755	0.817	0.823	150
Klebsiella test positive	3	3	3	0	100.000	0.949	0.990	1.112	113
Anaesthetic complication	3	3	1	2	33.333	0.837	0.756	1.144	161
Enterocutaneous fistula	3	3	2	1	66.667	1.027	1.150	1.325	231
Vascular purpura	3	3	2	1	66.667	0.620	0.615	0.657	103
Genital rash	3	3	3	0	100.000	0.715	0.729	0.773	121
Suspiciousness	3	3	2	1	66.667	0.633	0.641	0.689	115
Genital pain	3	3	1	2	33.333	0.914	0.794	1.264	91
Jugular vein thrombosis	3	3	2	1	66.667	0.943	0.644	1.542	139
Psychotic behaviour	3	3	3	0	100.000	0.956	0.959	1.393	128
Epicondylitis	3	3	2	1	66.667	0.787	0.676	1.164	390
Perfume sensitivity	3	3	0	3	0.000	1.396	1.247	1.795	279
Seborrhoeic dermatitis	3	3	2	1	66.667	0.660	0.578	0.898	162
Episcleritis	3	3	0	3	0.000	0.983	0.763	1.608	170
Seborrhoeic keratosis	3	3	0	3	0.000	0.919	0.935	1.129	130
Eye allergy	3	3	0	3	0.000	0.751	0.744	1.007	310
Polyomavirus test positive	3	3	3	0	100.000	0.862	0.629	1.454	101
Gastrointestinal obstruction	3	3	0	3	0.000	0.652	0.603	0.795	87
Intestinal pseudo-obstruction	3	3	3	0	100.000	1.290	1.175	1.698	87
Application site reaction	3	3	0	3	0.000	1.025	1.084	1.244	241
Philadelphia positive chronic myeloid leukaemia	3	3	2	1	66.667	0.909	0.969	1.206	114
Foetal anticonvulsant syndrome	3	3	3	0	100.000	0.720	0.742	0.887	119
Strabismus	3	3	0	3	0.000	0.627	0.632	0.716	268
Anti-neutrophil cytoplasmic antibody positive vasculitis	3	3	0	3	0.000	1.018	0.820	1.709	242
Injection site scab	3	3	0	3	0.000	0.902	0.835	1.185	155
Pneumonia influenzal	3	3	3	0	100.000	0.662	0.649	0.810	168
Physical assault	3	3	3	0	100.000	0.726	0.744	0.913	87
Pulmonary sarcoidosis	3	3	1	2	33.333	0.531	0.525	0.546	170
Anticonvulsant drug level increased	3	3	3	0	100.000	0.793	0.781	0.915	264
Piloerection	3	3	0	3	0.000	0.708	0.789	0.802	100
Application site burn	3	3	0	3	0.000	1.139	1.186	1.719	386
Appendicitis perforated	3	3	0	3	0.000	0.807	0.886	0.956	105
Gastric bypass	3	3	0	3	0.000	0.708	0.585	0.965	254
Pulmonary mycosis	3	3	2	1	66.667	0.792	0.761	0.917	136
Fulminant type 1 diabetes mellitus	3	3	3	0	100.000	1.087	1.014	1.424	364
Aortitis	3	3	2	1	66.667	0.652	0.649	0.706	249
Inhibitory drug interaction	3	3	2	1	66.667	0.899	0.885	1.085	99
Pleural fibrosis	3	3	2	1	66.667	0.820	0.698	1.121	213
Gait spastic	3	3	1	2	33.333	1.541	1.119	2.881	209
Gambling	3	3	2	1	66.667	0.766	0.725	0.963	440
Steroid withdrawal syndrome	3	3	3	0	100.000	0.827	0.798	0.961	479
Injection site cellulitis	3	3	0	3	0.000	0.819	0.857	0.876	263
Application site scab	3	3	2	1	66.667	0.920	0.969	1.137	478
Application site urticaria	3	3	0	3	0.000	0.572	0.555	0.657	130
Instillation site pain	3	3	0	3	0.000	0.750	0.716	0.847	214
Ventilation perfusion mismatch	3	3	0	3	0.000	0.953	0.970	1.298	102
Gastrointestinal injury	3	3	1	2	33.333	0.719	0.677	0.851	941
Gastrointestinal hypomotility	3	3	2	1	66.667	0.691	0.717	0.779	180
Substance abuser	3	3	2	1	66.667	1.327	1.357	1.807	103
Eyelids pruritus	3	3	0	3	0.000	1.190	1.270	1.439	824
Animal scratch	3	3	1	2	33.333	0.979	0.959	1.027	137
Facet joint syndrome	3	3	1	2	33.333	2.637	2.723	2.807	1440
Intervertebral disc operation	3	3	0	3	0.000	0.759	0.758	0.871	88
Ankle deformity	3	3	0	3	0.000	1.268	1.069	1.709	125
Faecal incontinence	3	3	0	3	0.000	0.719	0.721	0.743	175
Inflammatory pain	3	3	0	3	0.000	1.202	1.437	1.524	158
International normalised ratio abnormal	3	3	3	0	100.000	0.694	0.729	0.832	278
Focal dyscognitive seizures	3	3	3	0	100.000	0.635	0.603	0.721	409
Subcutaneous emphysema	3	3	2	1	66.667	0.728	0.753	0.888	117
Personal relationship issue	3	3	2	1	66.667	0.815	0.775	1.061	302
Intercepted product administration error	3	3	1	2	33.333	0.987	0.788	1.612	305
Infrequent bowel movements	3	3	2	1	66.667	0.938	0.984	1.164	141
Arterial thrombosis	3	3	3	0	100.000	0.890	0.881	1.227	108
Arterial disorder	3	3	2	1	66.667	0.597	0.585	0.678	86
Anorgasmia	3	3	2	1	66.667	0.654	0.561	0.862	481
Intentional device use issue	3	3	0	3	0.000	1.437	1.384	1.609	118
Pneumonia respiratory syncytial viral	3	3	1	2	33.333	0.862	0.910	1.018	116
Flat affect	3	3	3	0	100.000	0.557	0.556	0.597	173
Radiation oesophagitis	3	3	1	2	33.333	1.006	0.947	1.453	116
Infusion site haemorrhage	3	3	1	2	33.333	0.867	0.894	0.986	134
Drug monitoring procedure not performed	3	3	1	2	33.333	0.742	0.666	0.893	171
Immunosuppressant drug level decreased	3	3	3	0	100.000	0.745	0.729	0.933	594
Groin abscess	3	3	1	2	33.333	0.635	0.616	0.748	124
Bile duct stenosis	3	3	1	2	33.333	0.653	0.627	0.787	111
Left ventricular dilatation	3	3	1	2	33.333	0.707	0.607	0.986	117
Vanishing bile duct syndrome	3	3	2	1	66.667	0.818	0.633	1.291	124
Blast crisis in myelogenous leukaemia	3	3	3	0	100.000	1.057	0.851	1.775	167
Temporomandibular joint syndrome	3	3	0	3	0.000	1.158	1.411	1.416	234
Dry age-related macular degeneration	3	3	0	3	0.000	1.575	1.622	1.853	133
Biliary dilatation	3	3	0	3	0.000	0.583	0.533	0.690	96
Glucocorticoid deficiency	3	3	3	0	100.000	0.951	0.742	1.599	156
Glucose urine present	3	3	3	0	100.000	0.816	0.762	1.012	213
Biliary obstruction	3	3	2	1	66.667	1.217	0.912	1.920	165
Spine malformation	3	3	2	1	66.667	0.661	0.671	0.719	74
Lip disorder	3	3	0	3	0.000	0.821	0.840	1.006	111
Bilirubin conjugated increased	3	3	3	0	100.000	0.727	0.781	0.854	101
Precancerous skin lesion	3	3	1	2	33.333	0.572	0.595	0.603	394
Drug effect delayed	3	3	0	3	0.000	0.751	0.676	1.008	170
Birth mark	3	3	2	1	66.667	0.776	0.633	1.068	89
Bladder transitional cell carcinoma	3	3	1	2	33.333	0.891	0.848	1.111	211
Libido increased	3	3	3	0	100.000	1.041	1.168	1.433	155
Limb mass	3	3	1	2	33.333	0.644	0.614	0.777	207
Alveolar proteinosis	3	3	2	1	66.667	0.774	0.810	0.977	269
Immune-mediated thyroiditis	3	3	3	0	100.000	0.914	0.868	1.294	336
Radioisotope scan abnormal	3	3	3	0	100.000	0.677	0.740	0.761	166
Radiotherapy	3	3	3	0	100.000	1.110	1.196	1.270	399
Sarcoma	3	3	3	0	100.000	0.581	0.567	0.647	140
Drug titration error	3	3	0	3	0.000	0.982	0.852	1.254	283
Pancreatic neuroendocrine tumour	3	3	2	1	66.667	1.172	1.316	1.327	178
Bladder pain	3	3	1	2	33.333	0.598	0.613	0.661	154
Pancreatic neoplasm	3	3	1	2	33.333	0.738	0.745	0.900	125
Bladder dilatation	3	3	3	0	100.000	0.841	0.864	1.158	115
Weight loss poor	3	3	0	3	0.000	0.733	0.689	0.886	196
Immune-mediated pneumonitis	3	3	3	0	100.000	1.085	1.033	1.344	206
Splenic abscess	3	3	3	0	100.000	1.336	1.040	1.933	95
Impetigo	3	3	2	1	66.667	0.719	0.719	0.801	166
Lipids increased	3	3	1	2	33.333	0.823	0.897	1.011	208
Liquid product physical issue	3	3	2	1	66.667	0.671	0.575	0.930	139
Sciatic nerve injury	3	3	0	3	0.000	0.649	0.708	0.724	93
Abscess intestinal	2	2	0	2	0.000	0.859	0.859	0.935	75
Allergy to chemicals	2	2	0	2	0.000	0.740	0.740	0.799	144
Tumour associated fever	2	2	2	0	100.000	0.884	0.884	0.920	99
Nicotine dependence	2	2	0	2	0.000	1.100	1.100	1.627	70
Pituitary tumour	2	2	1	1	50.000	0.996	0.996	1.230	48
Reading disorder	2	2	1	1	50.000	0.617	0.617	0.717	105
Pressure of speech	2	2	1	1	50.000	0.888	0.888	0.908	55
Painful defaecation	2	2	0	2	0.000	0.585	0.585	0.665	140
Abscess oral	2	2	0	2	0.000	0.939	0.939	1.177	79
Tumour flare	2	2	2	0	100.000	1.107	1.107	1.169	48
Negative symptoms in schizophrenia	2	2	2	0	100.000	1.734	1.734	2.306	50
Procedural vomiting	2	2	0	2	0.000	0.782	0.782	0.913	95
Persistent depressive disorder	2	2	0	2	0.000	0.655	0.655	0.662	55
Antithrombin III decreased	2	2	2	0	100.000	0.872	0.872	0.940	45
Osteonecrosis of external auditory canal	2	2	0	2	0.000	2.437	2.437	2.744	65
Persistent foetal circulation	2	2	0	2	0.000	0.572	0.572	0.607	51
Blood parathyroid hormone increased	2	2	0	2	0.000	0.750	0.750	0.813	521
Urinary occult blood positive	2	2	2	0	100.000	1.006	1.006	1.071	144
Blast cells present	2	2	2	0	100.000	0.780	0.780	0.934	58
Palmoplantar pustulosis	2	2	0	2	0.000	0.834	0.834	1.095	128
Pertussis	2	2	0	2	0.000	0.649	0.649	0.690	56
Abdominal wall abscess	2	2	0	2	0.000	0.638	0.638	0.771	90
Reactive gastropathy	2	2	0	2	0.000	1.101	1.101	1.226	60
Trichodysplasia spinulosa	2	2	2	0	100.000	0.739	0.739	0.763	378
Arnold-Chiari malformation	2	2	0	2	0.000	0.631	0.631	0.750	82
Urinary sediment present	2	2	2	0	100.000	1.408	1.408	2.067	265
Acanthamoeba infection	2	2	2	0	100.000	0.763	0.763	0.787	91
Calculus bladder	2	2	1	1	50.000	0.627	0.627	0.686	124
Prostate cancer	2	2	2	0	100.000	0.909	0.909	1.170	56732
Blood calcium abnormal	2	2	0	2	0.000	0.698	0.698	0.855	212
Vocal cord dysfunction	2	2	0	2	0.000	1.702	1.702	2.246	82
Alternaria infection	2	2	1	1	50.000	0.854	0.854	1.180	206
Osteochondrosis	2	2	0	2	0.000	1.184	1.184	1.205	154
Acetonaemia	2	2	1	1	50.000	0.959	0.959	0.974	57
Vocal cord disorder	2	2	1	1	50.000	0.863	0.863	1.052	94
Central nervous system fungal infection	2	2	2	0	100.000	0.822	0.822	1.104	88
Nocturnal dyspnoea	2	2	1	1	50.000	0.602	0.602	0.679	79
Venous injury	2	2	0	2	0.000	1.252	1.252	1.650	174
Alpha 1 foetoprotein increased	2	2	2	0	100.000	1.105	1.105	1.631	171
Proteus infection	2	2	2	0	100.000	1.270	1.270	1.608	118
Pulpitis dental	2	2	0	2	0.000	0.744	0.744	0.794	115
Calcineurin inhibitor induced pain syndrome	2	2	1	1	50.000	1.148	1.148	1.537	97
Cellulitis orbital	2	2	0	2	0.000	1.047	1.047	1.246	55
Blood product transfusion dependent	2	2	2	0	100.000	0.730	0.730	0.788	98
Pleocytosis	2	2	2	0	100.000	0.721	0.721	0.746	57
Peritoneal disorder	2	2	0	2	0.000	0.602	0.602	0.688	161
Peritoneal effluent abnormal	2	2	2	0	100.000	0.633	0.633	0.685	172
Wrong schedule	2	2	0	2	0.000	0.857	0.857	1.079	50
Oxygen supplementation	2	2	0	2	0.000	0.685	0.685	0.841	170
Aspartate aminotransferase abnormal	2	2	1	1	50.000	0.609	0.609	0.629	53
Needle fatigue	2	2	0	2	0.000	2.560	2.560	2.914	277
Catheter site swelling	2	2	2	0	100.000	0.761	0.761	0.776	301
Calcinosis	2	2	0	2	0.000	0.832	0.832	1.009	228
Allergy test negative	2	2	0	2	0.000	0.820	0.820	0.964	48
Anion gap	2	2	0	2	0.000	0.849	0.849	0.872	113
Arthroscopy	2	2	0	2	0.000	0.981	0.981	1.001	153
Nikolsky's sign	2	2	0	2	0.000	0.830	0.830	0.997	58
Urine ketone body present	2	2	2	0	100.000	0.898	0.898	0.979	254
Protein urine	2	2	1	1	50.000	0.876	0.876	0.977	55
Renal aplasia	2	2	2	0	100.000	1.313	1.313	2.012	44
Cardiac discomfort	2	2	0	2	0.000	1.197	1.197	1.493	59
Primary amyloidosis	2	2	2	0	100.000	1.081	1.081	1.275	130
Plasmacytoma	2	2	1	1	50.000	0.770	0.770	0.845	370
Cardiorenal syndrome	2	2	2	0	100.000	0.910	0.910	1.010	65
Application site papules	2	2	1	1	50.000	1.264	1.264	1.936	261
Vertebral osteophyte	2	2	0	2	0.000	0.849	0.849	1.050	164
Procedural nausea	2	2	0	2	0.000	1.066	1.066	1.154	109
Renal cancer stage IV	2	2	2	0	100.000	0.784	0.784	0.870	129
Application site hypersensitivity	2	2	0	2	0.000	0.547	0.547	0.588	106
Blood immunoglobulin M increased	2	2	1	1	50.000	0.690	0.690	0.765	97
Blood immunoglobulin G increased	2	2	1	1	50.000	0.625	0.625	0.744	84
Blood alkaline phosphatase decreased	2	2	1	1	50.000	0.659	0.659	0.762	145
Antibody test positive	2	2	2	0	100.000	0.650	0.650	0.677	273
Antidepressant drug level increased	2	2	0	2	0.000	0.640	0.640	0.757	97
Trichotillomania	2	2	0	2	0.000	0.630	0.630	0.728	63
Application site erosion	2	2	1	1	50.000	0.779	0.779	0.966	129
Pulmonary nocardiosis	2	2	2	0	100.000	0.585	0.585	0.642	110
Anticoagulation drug level increased	2	2	2	0	100.000	0.819	0.819	1.038	84
Blood growth hormone decreased	2	2	2	0	100.000	0.681	0.681	0.804	100
Pneumonia adenoviral	2	2	2	0	100.000	0.909	0.909	0.967	65
Carpal tunnel decompression	2	2	0	2	0.000	0.687	0.687	0.726	157
