drug_name	adverse_event	direction	log_ratio	n_female	n_male	total_reports
PHENCYCLIDINE	Cardio-respiratory arrest	female_higher	1.03881615864747	12	10	22
BENZODIAZEPINES, UNSPECIFIED	Completed suicide	female_higher	1.0364989388831178	271	118	389
ANDEXANET ALFA	Death	female_higher	1.0364901535521756	44	40	84
CLONAZEPAM	Accidental death	male_higher	-1.0352581306824908	11	46	57
MANNITOL	Death	male_higher	-1.026577323648323	11	69	80
AMIODARONE	Cardio-respiratory arrest	female_higher	1.0264048340721807	138	109	247
CERITINIB, TRIAL	Death	female_higher	1.0263980554579548	19	11	30
SIMEPREVIR	Death	female_higher	1.024511073171578	35	30	65
CAPIVASERTIB	Death	male_higher	-1.0244071996952935	186	19	205
FOLIC ACID	Completed suicide	male_higher	-1.0196297970510888	34	30	64
FUMARIC ACID	Completed suicide	male_higher	-1.0188684313753626	22	19	41
CYAMEMAZINE	Cardio-respiratory arrest	female_higher	1.017385314459912	61	35	96
BISACODYL	Death	male_higher	-1.0159412449210157	42	95	137
METHOCARBAMOL	Cardio-respiratory arrest	female_higher	1.0157486602196002	52	11	63
OXYBATE SODIUM	Completed suicide	male_higher	-1.014103679917397	24	30	54
OXYBUTYNIN CHLORIDE	Completed suicide	male_higher	-1.0121222341564335	32	43	75
BUTALBITAL	Completed suicide	female_higher	1.007390794053304	123	20	143
"DIANEAL LOW CALCIUM PD SOLUTION WITH 2.5% DEXTROSE ""BAXTER"	Death	female_higher	1.0061156490646979	12	11	23
BACLOFEN	Cardio-respiratory arrest	female_higher	0.9964226444098869	152	82	234
SACITUZUMAB GOVITECAN	Death	female_higher	0.9936133784268257	574	32	606
CARIPRAZINE	Completed suicide	male_higher	-0.9935132835344307	24	40	64
ALUMINIUM;MAGNESIUM	Death	male_higher	-0.9931660351336784	10	45	55
TROPATEPINE	Cardio-respiratory arrest	female_higher	0.9928929647850939	22	17	39
LIDOCAINE	Completed suicide	male_higher	-0.9915364225973524	27	47	74
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE	Death	female_higher	0.99065058150718	332	355	687
PREDNISOLONE	Sudden death	female_higher	0.9905995580219413	13	12	25
COCAINE	Completed suicide	female_higher	0.9894974998602213	512	490	1002
FLUOXETINE	Cardio-respiratory arrest	female_higher	0.9887588211681448	418	113	531
CISPLATIN	Sudden death	female_higher	0.9862328377400693	13	18	31
TENECTEPLASE	Death	female_higher	0.9861442641004046	33	31	64
IMATINIB	Sudden death	female_higher	0.9855630836125553	36	38	74
MELATONIN	Completed suicide	female_higher	0.9848833333007154	181	66	247
DOBUTAMINE	Death	male_higher	-0.9847503611699503	13	81	94
AMFETAMINE	Completed suicide	female_higher	0.9840818648077811	419	276	695
OXYCODONE;PARACETAMOL	Cardio-respiratory arrest	female_higher	0.9820664309407168	230	144	374
FLUTICASONE;VILANTEROL	Death	male_higher	-0.981963025841697	80	208	288
HYDROCODONE;PARACETAMOL	Completed suicide	female_higher	0.9813102321543097	2792	1504	4296
OXYCODONE HYDROCHLORIDE	Accidental death	female_higher	0.9807983036165959	21	15	36
IRON	Completed suicide	female_higher	0.9798180447449933	138	22	160
PERPHENAZINE	Completed suicide	male_higher	-0.9728978962267218	17	43	60
CYCLOPHOSPHAMIDE	Sudden cardiac death	female_higher	0.9687505158194143	12	11	23
BENZODIAZEPINES, UNSPECIFIED	Death	female_higher	0.9683122676201452	80	44	124
SILDENAFIL	Sudden death	female_higher	0.9680886348672768	16	33	49
FACTOR VIII	Death	female_higher	0.9640482000984202	16	190	206
ALIMEMAZINE	Cardio-respiratory arrest	female_higher	0.9623592758135344	70	31	101
ARIPIPRAZOLE	Fear of death	male_higher	-0.9612828102919269	16	22	38
SEVOFLURANE	Cardio-respiratory arrest	female_higher	0.9587607295852476	37	20	57
IRBESARTAN	Death	female_higher	0.9521831589640131	36	19	55
CLOBAZAM	Completed suicide	female_higher	0.9518326048288343	49	21	70
CARGLUMIC ACID	Death	female_higher	0.9477116596046087	15	10	25
AXICABTAGENE CILOLEUCEL	Cardio-respiratory arrest	female_higher	0.9468528106657775	13	12	25
CLONIDINE	Cardio-respiratory arrest	female_higher	0.9468408411921019	96	37	133
EZETIMIBE;SIMVASTATIN	Death	female_higher	0.9429351288829555	17	12	29
APROTININ	Death	female_higher	0.9418492309540376	10	17	27
CETUXIMAB	Cardio-respiratory arrest	male_higher	-0.9407313589062047	10	80	90
ABACAVIR	Death	male_higher	-0.9399041137613232	15	87	102
SUXAMETHONIUM	Cardio-respiratory arrest	male_higher	-0.9369414816515498	10	26	36
BISOPROLOL	Sudden death	female_higher	0.934270185378377	28	28	56
TADALAFIL	Completed suicide	male_higher	-0.928829803862323	17	61	78
DARBEPOETIN ALFA	Sudden death	female_higher	0.927885137176604	11	13	24
LEVAMISOLE	Death	female_higher	0.9278088696759725	16	23	39
DINUTUXIMAB	Death	female_higher	0.9265205076173979	14	15	29
CALCIUM;GLUCOSE;HYDROCHLORIC ACID;MAGNESIUM;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM LACTATE	Death	female_higher	0.9259997909034143	21	28	49
DIAMORPHINE	Cardio-respiratory arrest	female_higher	0.923658700012274	223	310	533
LEFLUNOMIDE	Death	male_higher	-0.92271155155583	156	134	290
BENZATROPINE	Completed suicide	female_higher	0.9221776864219029	154	95	249
QUETIAPINE	Near death experience	male_higher	-0.918103620634342	11	18	29
PARICALCITOL	Sudden death	female_higher	0.917622773674319	18	24	42
EZETIMIBE	Death	female_higher	0.9174788836717742	30	20	50
POMALIDOMIDE, TRIAL	Death	female_higher	0.9170781358494725	23	23	46
DAUNORUBICIN	Death	female_higher	0.9170766067227657	61	51	112
AMPHETAMINE SULFATE	Completed suicide	female_higher	0.9168100085518276	38	39	77
PRUCALOPRIDE	Death	male_higher	-0.9152296776368604	10	12	22
ALENDRONIC ACID	Death	male_higher	-0.9136735774199217	175	59	234
ELRANATAMAB	Death	female_higher	0.9130993987722841	37	30	67
TRIMETHOPRIM	Death	male_higher	-0.9116544727978564	14	23	37
DOCETAXEL	Sudden death	male_higher	-0.9110012528405138	14	25	39
HYDROMORPHONE	Cardio-respiratory arrest	female_higher	0.9105486023313216	111	72	183
ICODEXTRIN	Death	female_higher	0.9098050419569472	40	48	88
DIANEAL PD-2, PERITONEAL DIALYSIS SOLUTION WITH 1.5% DEXTROSE ^BAXTER^	Death	female_higher	0.9090651932747376	13	16	29
IPRATROPIUM	Death	male_higher	-0.9074737091647305	46	130	176
METOPROLOL TARTRATE	Death	female_higher	0.9071941655279692	45	23	68
VITAMIN K	Death	male_higher	-0.9064070179225245	14	101	115
VILDAGLIPTIN	Death	female_higher	0.9033513649225386	23	17	40
ASPARAGINASE	Death	female_higher	0.9030532197288029	30	30	60
RANITIDINE HYDROCHLORIDE	Death	female_higher	0.9013006287583569	28	22	50
DABIGATRAN	Sudden death	female_higher	0.89952937705453	29	34	63
LORMETAZEPAM	Completed suicide	male_higher	-0.8932506113793447	12	22	34
PRAMIPEXOLE	Completed suicide	female_higher	0.8921318146891781	61	23	84
VINCRISTINE	Cardio-respiratory arrest	female_higher	0.8912472371905888	30	24	54
LOW CALCIUM PERITONEAL DIALYSIS SOLUTION	Death	female_higher	0.8895653599905871	80	47	127
FLUOXETINE	Accidental death	female_higher	0.8893833643164926	29	13	42
PREDNISONE	Cell death	female_higher	0.8850670974529018	25	11	36
DOXORUBICIN	Sudden death	female_higher	0.883982703128521	14	12	26
BENZODIAZEPINES, UNSPECIFIED	Cardio-respiratory arrest	female_higher	0.8807423115432447	89	45	134
HYDROCODONE;PARACETAMOL	Near death experience	male_higher	-0.8804632718842538	24	60	84
PROPOFOL	Death	female_higher	0.8793518141473391	81	55	136
SPIRONOLACTONE	Completed suicide	female_higher	0.8781966375791997	114	46	160
TRIHEPTANOIN	Death	female_higher	0.8769102164058808	13	10	23
DEFIBROTIDE	Death	female_higher	0.8768508823847024	119	144	263
ADALIMUMAB	Fear of death	male_higher	-0.8757586004303916	14	11	25
OXYCODONE	Accidental death	female_higher	0.8756184407449938	38	44	82
PAROXETINE	Sudden death	female_higher	0.8744967282112286	24	15	39
PROPRANOLOL HYDROCHLORIDE	Cardio-respiratory arrest	female_higher	0.8733448918503872	45	16	61
DIPHENHYDRAMINE;PARACETAMOL	Cardio-respiratory arrest	male_higher	-0.8699852798479193	18	30	48
NETUPITANT;PALONOSETRON	Death	male_higher	-0.8696788190502078	23	42	65
DOXORUBICIN HYDROCHLORIDE	Death	female_higher	0.8684999012578635	45	29	74
CEFTAROLINE	Death	female_higher	0.8684286336118134	17	21	38
ESKETAMINE	Completed suicide	male_higher	-0.867980037813058	83	116	199
BORTEZOMIB	Sudden cardiac death	female_higher	0.8672076054862272	10	16	26
FLUCONAZOLE	Cardio-respiratory arrest	female_higher	0.8666944261652128	23	11	34
HYDROCODONE	Cardio-respiratory arrest	female_higher	0.865008128274718	134	83	217
NAPROXEN	Cardio-respiratory arrest	male_higher	-0.864292439334198	66	105	171
ISONIAZID	Death	female_higher	0.8634261202813585	46	36	82
