drug_name	adverse_event	direction	log_ratio	n_female	n_male	total_reports
ETRAVIRINE	Death	male_higher	-0.5229940288551694	11	62	73
VINCRISTINE SULFATE	Death	female_higher	0.5227622961550178	39	54	93
TARLATAMAB	Death	male_higher	-0.5218484904803725	10	36	46
CICLOSPORIN	Cardio-respiratory arrest	female_higher	0.5193253595977475	24	15	39
NITROGLYCERIN	Death	female_higher	0.5188589483326158	20	13	33
OXYBUTYNIN	Death	male_higher	-0.5180894180566431	25	11	36
DECITABINE	Death	female_higher	0.5179475053982345	45	63	108
DACLATASVIR	Death	female_higher	0.5167139718248754	40	66	106
CEFOTAXIME	Death	female_higher	0.5162319107646067	12	17	29
VISMODEGIB	Death	female_higher	0.5141353484637967	249	407	656
PATISIRAN	Death	female_higher	0.5141076484965488	12	24	36
UNSPECIFIED INGREDIENT	Cardio-respiratory arrest	female_higher	0.5128890673192572	56	34	90
CEMIPLIMAB	Death	female_higher	0.5108258143827459	30	50	80
AFLIBERCEPT	Death	female_higher	0.509745326675149	543	564	1107
DOXAZOSIN	Death	male_higher	-0.5086132744180557	19	87	106
DAPAGLIFLOZIN;METFORMIN	Death	female_higher	0.5077626603348036	49	62	111
ROSUVASTATIN	Completed suicide	female_higher	0.5063119037960198	136	85	221
DUPILUMAB	Near death experience	male_higher	-0.5050622597373751	11	11	22
ATORVASTATIN CALCIUM	Completed suicide	male_higher	-0.5047437840753992	37	54	91
IMATINIB	Cardio-respiratory arrest	female_higher	0.5042895718978933	43	44	87
BENZTROPINE MESYLATE	Completed suicide	female_higher	0.504125692528878	20	16	36
BEDAQUILINE	Death	female_higher	0.5041111228102794	82	117	199
AXITINIB	Death	female_higher	0.5035257064785952	643	1676	2319
PHENOBARBITAL	Death	female_higher	0.5032328708871251	57	54	111
CARVEDILOL	Cardio-respiratory arrest	male_higher	-0.5031010219924872	29	80	109
