drug_name	adverse_event	direction	log_ratio	ror_female	ror_male	n_female	n_male	total_reports
OXYCODONE	Abdominal pain	female_higher	0.938826524422975	0.9439116489095775	0.36915109991378725	827	310	1137
GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	Peritoneal dialysis complication	female_higher	0.9387425749058478	2235.6900196100564	874.421581540284	2380	3092	5472
TOCILIZUMAB	Musculoskeletal pain	female_higher	0.9382679307006205	11.542536621394024	4.516652478842761	2282	172	2454
NAPROXEN	Vomiting	female_higher	0.9381221214815523	3.9280912481514556	1.5373059462656986	3133	391	3524
TOCILIZUMAB	Drug intolerance	female_higher	0.9380486875349239	29.835955589492738	11.67751901887309	9347	749	10096
MINOCYCLINE	Off label use	female_higher	0.9376914419928569	5.780822866111819	2.263369415760831	1047	198	1245
ACETYLSALICYLIC ACID	Pain	female_higher	0.9374145200013153	0.9672994967294424	0.3788323068019805	1213	383	1596
APREMILAST	Asthenia	female_higher	0.9366897073092489	0.8283604609400418	0.32465357528898303	1337	265	1602
HYDROCORTISONE	Pyrexia	female_higher	0.9363770543512491	7.991611584534633	3.133076362511456	1567	378	1945
LEFLUNOMIDE	Contraindicated product administered	female_higher	0.9362117432031951	236.90089500860586	92.8913142687286	8664	607	9271
ADALIMUMAB	Liver function test increased	female_higher	0.9360773058369477	3.695538821183443	1.4492541754417154	1608	275	1883
PANTOPRAZOLE	Product use in unapproved indication	female_higher	0.9359350212471875	2.353815580109733	0.9232111011324908	1013	288	1301
TOCILIZUMAB	Gait inability	female_higher	0.9356812710673292	12.591819338781038	4.940003665499068	1726	144	1870
CETIRIZINE	Diarrhoea	female_higher	0.9352502193042931	2.7310069695240107	1.071886494652175	2199	251	2450
ADALIMUMAB	Type 2 diabetes mellitus	female_higher	0.9347634923007345	4.871783880799199	1.9130458881078924	2894	308	3202
INTERFERON BETA-1A	Multiple sclerosis relapse	male_higher	-0.9346201538786731	22.911908043241095	58.33935632277858	6588	1740	8328
CARBIDOPA;LEVODOPA	Hyperkinesia	female_higher	0.9341256056945682	935.5023815653965	367.5862870488679	510	552	1062
METHOTREXATE	Musculoskeletal pain	female_higher	0.9340435123421784	7.853247955496334	3.08602447896448	2846	376	3222
CERTOLIZUMAB	Joint swelling	female_higher	0.933341662845834	13.586477966671433	5.3427118873084085	6998	385	7383
MONTELUKAST	Pneumonia	female_higher	0.9333067086744223	6.708314016655003	2.6380524760346864	1537	397	1934
