drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
CETIRIZINE	Gastrointestinal disorder	3.923	2104	11	20.477	0.405	female_higher	3.923
CORTISONE	Infusion related reaction	3.918	3093	10	214.773	4.268	female_higher	3.918
ENZALUTAMIDE	Product use issue	3.916	24	69	6.935	0.138	female_higher	3.916
PARACETAMOL	Impaired healing	3.914	2582	18	23.794	0.475	female_higher	3.914
LEVOTHYROXINE	Neurological symptom	-3.914	10	88	0.901	45.168	male_higher	3.914
RANITIDINE	Prescribed overdose	3.912	356	10	2.501	0.050	female_higher	3.912
FELODIPINE	Systemic lupus erythematosus	-3.909	22	76	9.487	473.020	male_higher	3.909
LETROZOLE	Anal incontinence	-3.904	20	10	1.290	64.007	male_higher	3.904
OXYCODONE	Hypercholesterolaemia	3.904	788	16	29.380	0.592	female_higher	3.904
RITUXIMAB	Peripheral venous disease	3.902	1086	10	76.874	1.553	female_higher	3.902
OXYCODONE;PARACETAMOL	Rheumatoid arthritis	3.902	1421	10	5.679	0.115	female_higher	3.902
SODIUM AUROTHIOMALATE	Red blood cell sedimentation rate abnormal	-3.899	30	63	50.533	2494.926	male_higher	3.899
SULFASALAZINE	Discomfort	3.897	3849	13	45.477	0.923	female_higher	3.897
INTRAUTERINE CONTRACEPTIVE DEVICE;LEVONORGESTREL	Premature baby	-3.894	37	19	0.487	23.943	male_higher	3.894
CEFTRIAXONE	Stress	-3.894	10	232	0.227	11.137	male_higher	3.894
MOXIFLOXACIN	Nodule	-3.887	12	201	1.749	85.316	male_higher	3.887
DESOXIMETASONE	Acne	-3.887	19	20	0.402	19.592	male_higher	3.887
RISPERIDONE	Injury	-3.884	29	2359	0.481	23.380	male_higher	3.884
MEBEVERINE	Systemic lupus erythematosus	-3.883	23	74	62.724	3045.992	male_higher	3.883
HYDROCORTISONE	Psoriatic arthropathy	3.882	1627	14	56.498	1.165	female_higher	3.882
METHYLPREDNISOLONE	Psoriatic arthropathy	3.881	1016	12	14.076	0.290	female_higher	3.881
FLUTICASONE;SALMETEROL	Nodule	-3.876	17	245	0.661	31.887	male_higher	3.876
FINASTERIDE	Product use issue	3.873	44	34	12.020	0.250	female_higher	3.873
