kg_node_id,kg_drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc,source
DRUG:MEPROBAMATE,MEPROBAMATE,CHEMBL979,N05BC51,"meprobamate, combinations",N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BC,Carbamates,ChEMBL_36
DRUG:MEPROBAMATE,MEPROBAMATE,CHEMBL979,N05CX01,"meprobamate, combinations",N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CX,"Hypnotics and sedatives in combination, excl. barbiturates",ChEMBL_36
DRUG:MEPROBAMATE,MEPROBAMATE,CHEMBL979,N05BC01,meprobamate,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BC,Carbamates,ChEMBL_36
DRUG:MEPYRAMINE,MEPYRAMINE,,D04AA02,mepyramine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AA,Antihistamines for topical use,WHO_ATC
DRUG:MEPYRAMINE,MEPYRAMINE,,R06AC01,mepyramine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AC,Substituted ethylene diamines,WHO_ATC
DRUG:MEPYRAMINE,MEPYRAMINE,,R06AC01,mepyramine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AC,Substituted ethylene diamines,WHO_ATC
DRUG:MERCAPTAMINE,MERCAPTAMINE,,S01XA21,mercaptamine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS,S01XA,Other ophthalmologicals,WHO_ATC
DRUG:MERCAPTAMINE,MERCAPTAMINE,,A16AA04,mercaptamine,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AA,Amino acids and derivatives,WHO_ATC
DRUG:MERCAPTOPURINE,MERCAPTOPURINE,CHEMBL1200751,L01BB02,mercaptopurine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,Purine analogues,ChEMBL_36
DRUG:MEROPENEM,MEROPENEM,CHEMBL127,J01DH02,meropenem,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01D,OTHER BETA-LACTAM ANTIBACTERIALS,J01DH,Carbapenems,ChEMBL_36
DRUG:MESALAMINE,MESALAMINE,CHEMBL704,A07EC02,mesalazine,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,A07EC,Aminosalicylic acid and similar agents,ChEMBL_36
DRUG:MESALAZINE,MESALAZINE,,A07EC02,mesalazine,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,A07EC,Aminosalicylic acid and similar agents,WHO_ATC
DRUG:MESALAZINE,MESALAZINE,,A07EC02,mesalazine,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,A07EC,Aminosalicylic acid and similar agents,WHO_ATC
DRUG:MESNA,MESNA,CHEMBL975,R05CB05,mesna,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,ChEMBL_36
DRUG:MESNA,MESNA,CHEMBL975,V03AF01,mesna,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AF,Detoxifying agents for antineoplastic treatment,ChEMBL_36
DRUG:MESTEROLONE,MESTEROLONE,CHEMBL258918,G03BB01,mesterolone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03B,ANDROGENS,G03BB,5-androstanon (3) derivatives,ChEMBL_36
DRUG:MESUXIMIDE,MESUXIMIDE,,N03AD03,mesuximide,N,NERVOUS SYSTEM,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AD,Succinimide derivatives,WHO_ATC
DRUG:METAMFETAMINE,METAMFETAMINE,,N06BA03,metamfetamine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA,Centrally acting sympathomimetics,WHO_ATC
DRUG:METANDIENONE,METANDIENONE,,A14AA03,metandienone,A,ALIMENTARY TRACT AND METABOLISM,A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A14A,ANABOLIC STEROIDS,A14AA,Androstan derivatives,WHO_ATC
DRUG:METANDIENONE,METANDIENONE,,D11AE01,metandienone,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AE,Androgens for topical use,WHO_ATC
DRUG:METARAMINOL,METARAMINOL,CHEMBL1201319,C01CA09,metaraminol,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,ChEMBL_36
DRUG:METENOLONE,METENOLONE,,A14AA04,metenolone,A,ALIMENTARY TRACT AND METABOLISM,A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A14A,ANABOLIC STEROIDS,A14AA,Androstan derivatives,WHO_ATC
