id,name,soc
AE:Increased upper airway secretion,Increased upper airway secretion,Unclassified
AE:Muscle spasms,Muscle spasms,Musculoskeletal and connective tissue disorders
AE:Pneumothorax,Pneumothorax,"Respiratory, thoracic and mediastinal disorders"
AE:Sensation of foreign body,Sensation of foreign body,Unclassified
AE:Alanine aminotransferase increased,Alanine aminotransferase increased,Investigations
AE:Anaphylactic reaction,Anaphylactic reaction,Unclassified
AE:Arthralgia,Arthralgia,Musculoskeletal and connective tissue disorders
AE:Arthritis,Arthritis,Musculoskeletal and connective tissue disorders
AE:Arthropathy,Arthropathy,Unclassified
AE:Blood alkaline phosphatase increased,Blood alkaline phosphatase increased,Investigations
AE:Blood glucose increased,Blood glucose increased,Investigations
AE:Blood immunoglobulin A decreased,Blood immunoglobulin A decreased,Immune system disorders
AE:Blood immunoglobulin G increased,Blood immunoglobulin G increased,Immune system disorders
AE:Blood immunoglobulin M increased,Blood immunoglobulin M increased,Immune system disorders
AE:Blood pressure increased,Blood pressure increased,Investigations
AE:Bronchitis,Bronchitis,Infections and infestations
AE:C-reactive protein abnormal,C-reactive protein abnormal,Investigations
AE:C-reactive protein increased,C-reactive protein increased,Investigations
AE:Cataract,Cataract,Eye disorders
AE:Cataract operation,Cataract operation,Eye disorders
AE:Colitis microscopic,Colitis microscopic,Gastrointestinal disorders
AE:Contraindicated product administered,Contraindicated product administered,Unclassified
AE:Cystitis,Cystitis,Infections and infestations
AE:Diarrhoea,Diarrhoea,Gastrointestinal disorders
AE:Diverticulitis,Diverticulitis,Unclassified
AE:Drug resistance,Drug resistance,Unclassified
AE:Eye disorder,Eye disorder,Eye disorders
AE:Gamma-glutamyltransferase increased,Gamma-glutamyltransferase increased,Investigations
AE:Glaucoma,Glaucoma,Eye disorders
AE:Hepatic enzyme abnormal,Hepatic enzyme abnormal,Hepatobiliary disorders
AE:Hernia,Hernia,General disorders and administration site conditions
AE:Herpes zoster,Herpes zoster,Infections and infestations
AE:Hypoaesthesia,Hypoaesthesia,Unclassified
AE:Immunodeficiency,Immunodeficiency,Unclassified
AE:Insomnia,Insomnia,Psychiatric disorders
AE:Joint swelling,Joint swelling,Musculoskeletal and connective tissue disorders
AE:Mobility decreased,Mobility decreased,Investigations
AE:Multiple allergies,Multiple allergies,Unclassified
AE:Multiple fractures,Multiple fractures,Unclassified
AE:Musculoskeletal pain,Musculoskeletal pain,Musculoskeletal and connective tissue disorders
AE:Myelosuppression,Myelosuppression,Unclassified
AE:Peripheral swelling,Peripheral swelling,General disorders and administration site conditions
AE:Platelet count decreased,Platelet count decreased,Blood and lymphatic system disorders
AE:Prescribed underdose,Prescribed underdose,General disorders and administration site conditions
AE:Product use issue,Product use issue,Unclassified
AE:Psoriatic arthropathy,Psoriatic arthropathy,Unclassified
AE:Rash,Rash,Skin and subcutaneous tissue disorders
AE:Red blood cell sedimentation rate increased,Red blood cell sedimentation rate increased,Blood and lymphatic system disorders
AE:Rheumatic disorder,Rheumatic disorder,Musculoskeletal and connective tissue disorders
AE:Rheumatoid arthritis,Rheumatoid arthritis,Musculoskeletal and connective tissue disorders
AE:Sciatica,Sciatica,Nervous system disorders
AE:Sinusitis,Sinusitis,Infections and infestations
AE:Skin reaction,Skin reaction,Skin and subcutaneous tissue disorders
AE:Synovitis,Synovitis,Musculoskeletal and connective tissue disorders
AE:Therapeutic product effect decreased,Therapeutic product effect decreased,Investigations
AE:Treatment failure,Treatment failure,General disorders and administration site conditions
AE:Weight increased,Weight increased,Investigations
AE:White blood cell count decreased,White blood cell count decreased,Blood and lymphatic system disorders
AE:Activated partial thromboplastin time prolonged,Activated partial thromboplastin time prolonged,Unclassified
AE:Gout,Gout,Metabolism and nutrition disorders
AE:Hypertension,Hypertension,Vascular disorders
AE:Troponin increased,Troponin increased,Cardiac disorders
AE:Asthenia,Asthenia,General disorders and administration site conditions
AE:Back pain,Back pain,Musculoskeletal and connective tissue disorders
AE:COVID-19,COVID-19,Infections and infestations
AE:Chest pain,Chest pain,General disorders and administration site conditions
AE:Contusion,Contusion,"Injury, poisoning and procedural complications"
AE:Decreased appetite,Decreased appetite,Metabolism and nutrition disorders
AE:Dizziness,Dizziness,Nervous system disorders
AE:Fall,Fall,Unclassified
AE:Fatigue,Fatigue,General disorders and administration site conditions
AE:Illness,Illness,Unclassified
AE:Inappropriate schedule of product administration,Inappropriate schedule of product administration,Unclassified
AE:Influenza,Influenza,Infections and infestations
AE:Insurance issue,Insurance issue,Unclassified
AE:Oropharyngeal pain,Oropharyngeal pain,"Respiratory, thoracic and mediastinal disorders"
AE:Oxygen saturation abnormal,Oxygen saturation abnormal,Investigations
AE:Pneumonia,Pneumonia,Infections and infestations
AE:Poor venous access,Poor venous access,Vascular disorders
AE:Product dose omission issue,Product dose omission issue,Unclassified
AE:Respiratory tract congestion,Respiratory tract congestion,"Respiratory, thoracic and mediastinal disorders"
AE:Respiratory tract infection,Respiratory tract infection,Infections and infestations
AE:Seasonal allergy,Seasonal allergy,Unclassified
AE:Upper respiratory tract infection,Upper respiratory tract infection,Infections and infestations
AE:Urinary tract infection,Urinary tract infection,Renal and urinary disorders
AE:Confusional state,Confusional state,Psychiatric disorders
AE:Disorientation,Disorientation,Psychiatric disorders
AE:Euphoric mood,Euphoric mood,Psychiatric disorders
AE:Feeling abnormal,Feeling abnormal,Investigations
AE:Hallucination,Hallucination,Psychiatric disorders
AE:Heart rate increased,Heart rate increased,Cardiac disorders
AE:Loss of consciousness,Loss of consciousness,Nervous system disorders
AE:Overdose,Overdose,"Injury, poisoning and procedural complications"
AE:Palpitations,Palpitations,Unclassified
AE:Panic attack,Panic attack,Psychiatric disorders
AE:Paranoia,Paranoia,Unclassified
AE:Psychotic disorder,Psychotic disorder,Psychiatric disorders
AE:Seizure,Seizure,Nervous system disorders
AE:Speech disorder,Speech disorder,Nervous system disorders
AE:Substance use,Substance use,Unclassified
AE:Toxicity to various agents,Toxicity to various agents,"Injury, poisoning and procedural complications"
AE:Tremor,Tremor,Nervous system disorders
AE:Mydriasis,Mydriasis,Eye disorders
AE:Depression,Depression,Psychiatric disorders
AE:Urinary retention,Urinary retention,Renal and urinary disorders
AE:Withdrawal syndrome,Withdrawal syndrome,Psychiatric disorders
AE:Abdominal pain upper,Abdominal pain upper,Gastrointestinal disorders
AE:Abnormal dreams,Abnormal dreams,Unclassified
AE:Abortion spontaneous,Abortion spontaneous,Unclassified
AE:Acute hepatic failure,Acute hepatic failure,Hepatobiliary disorders
AE:Acute kidney injury,Acute kidney injury,Renal and urinary disorders
AE:Acute myocardial infarction,Acute myocardial infarction,Cardiac disorders
AE:Adverse event,Adverse event,General disorders and administration site conditions
AE:Agranulocytosis,Agranulocytosis,Unclassified
AE:Amenorrhoea,Amenorrhoea,Reproductive system and breast disorders
AE:Aspartate aminotransferase increased,Aspartate aminotransferase increased,Investigations
AE:Ataxia,Ataxia,Nervous system disorders
AE:Atrioventricular septal defect,Atrioventricular septal defect,Cardiac disorders
AE:Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,Psychiatric disorders
AE:Blood HIV RNA increased,Blood HIV RNA increased,Infections and infestations
AE:Blood creatinine increased,Blood creatinine increased,Investigations
AE:Blood lactic acid increased,Blood lactic acid increased,Investigations
AE:Blood triglycerides increased,Blood triglycerides increased,Investigations
AE:Brain injury,Brain injury,"Injury, poisoning and procedural complications"
AE:Brain oedema,Brain oedema,General disorders and administration site conditions
AE:Bursitis,Bursitis,Musculoskeletal and connective tissue disorders
AE:CD4 lymphocytes decreased,CD4 lymphocytes decreased,Investigations
AE:CSF HIV escape syndrome,CSF HIV escape syndrome,Infections and infestations
AE:Cachexia,Cachexia,Metabolism and nutrition disorders
AE:Caesarean section,Caesarean section,"Pregnancy, puerperium and perinatal conditions"
AE:Cardiac failure,Cardiac failure,Cardiac disorders
AE:Central nervous system lesion,Central nervous system lesion,Nervous system disorders
AE:Cerebral disorder,Cerebral disorder,Nervous system disorders
AE:Chills,Chills,General disorders and administration site conditions
AE:Chronic kidney disease,Chronic kidney disease,Renal and urinary disorders
AE:Clostridium difficile colitis,Clostridium difficile colitis,Gastrointestinal disorders
AE:Coeliac disease,Coeliac disease,Gastrointestinal disorders
AE:Cognitive disorder,Cognitive disorder,Nervous system disorders
