drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc
METHANDROSTENOLONE,CHEMBL1418176,D11AE01,metandienone,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AE,Androgens for topical use
METHANDROSTENOLONE,CHEMBL1418176,A14AA03,metandienone,A,ALIMENTARY TRACT AND METABOLISM,A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A14A,ANABOLIC STEROIDS,A14AA,Androstan derivatives
METHANTHELINE,CHEMBL1201264,A03AB07,methantheline,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds"
METHAPYRILENE,CHEMBL1411979,R06AC05,methapyrilene,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AC,Substituted ethylene diamines
METHAQUALONE,CHEMBL282052,N05CM01,methaqualone,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CM,Other hypnotics and sedatives
METHAQUALONE,CHEMBL282052,N05CX02,"methaqualone, combinations",N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CX,"Hypnotics and sedatives in combination, excl. barbiturates"
METHARBITAL,CHEMBL450,N03AA30,metharbital,N,NERVOUS SYSTEM,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AA,Barbiturates and derivatives
METHAZOLAMIDE,CHEMBL19,S01EC05,methazolamide,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EC,Carbonic anhydrase inhibitors
METHDILAZINE,CHEMBL1200959,R06AD04,methdilazine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AD,Phenothiazine derivatives
METHENAMINE,CHEMBL1201270,J01XX05,methenamine,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01X,OTHER ANTIBACTERIALS,J01XX,Other antibacterials
METHENOLONE ACETATE,CHEMBL2106880,A14AA04,metenolone,A,ALIMENTARY TRACT AND METABOLISM,A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A14A,ANABOLIC STEROIDS,A14AA,Androstan derivatives
METHICILLIN,CHEMBL575,J01CF03,meticillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CF,Beta-lactamase resistant penicillins
METHIMAZOLE,CHEMBL1515,H03BB52,"thiamazole, combinations",H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BB,Sulfur-containing imidazole derivatives
METHIMAZOLE,CHEMBL1515,H03BB02,thiamazole,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BB,Sulfur-containing imidazole derivatives
METHIODAL,CHEMBL2110978,V08AA09,methiodal,V,VARIOUS,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media"
METHIONINE,CHEMBL42336,V03AB26,methionine,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes
METHISAZONE,CHEMBL1512080,J05AA01,metisazone,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AA,Thiosemicarbazones
METHIXENE,CHEMBL1201342,N04AA03,metixene,N,NERVOUS SYSTEM,N04,ANTI-PARKINSON DRUGS,N04A,ANTICHOLINERGIC AGENTS,N04AA,Tertiary amines
METHOCARBAMOL,CHEMBL1201117,M03BA53,"methocarbamol, combinations excl. psycholeptics",M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA,Carbamic acid esters
METHOCARBAMOL,CHEMBL1201117,M03BA03,methocarbamol,M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA,Carbamic acid esters
METHOCARBAMOL,CHEMBL1201117,M03BA73,"methocarbamol, combinations with psycholeptics",M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA,Carbamic acid esters
METHOHEXITAL,CHEMBL7413,N01AF01,methohexital,N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AF,"Barbiturates, plain"
METHOHEXITAL,CHEMBL7413,N05CA15,methohexital,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, plain"
METHOSERPIDINE,CHEMBL3989541,C02AA06,methoserpidine,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids
METHOTREXATE,CHEMBL34259,L04AX03,methotrexate,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AX,Other immunosuppressants
METHOTREXATE,CHEMBL34259,L01BA01,methotrexate,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BA,Folic acid analogues
METHOXAMINE,CHEMBL524,C01CA10,methoxamine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents
METHOXSALEN,CHEMBL416,D05BA02,methoxsalen,D,DERMATOLOGICALS,D05,ANTIPSORIATICS,D05B,ANTIPSORIATICS FOR SYSTEMIC USE,D05BA,Psoralens for systemic use
METHOXSALEN,CHEMBL416,D05AD02,methoxsalen,D,DERMATOLOGICALS,D05,ANTIPSORIATICS,D05A,ANTIPSORIATICS FOR TOPICAL USE,D05AD,Psoralens for topical use
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,CHEMBL3707314,B03XA03,methoxy polyethylene glycol-epoetin beta,B,BLOOD AND BLOOD FORMING ORGANS,B03,ANTIANEMIC PREPARATIONS,B03X,OTHER ANTIANEMIC PREPARATIONS,B03XA,Other antianemic preparations
METHOXYFLURANE,CHEMBL1341,N02BG09,methoxyflurane,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BG,Other analgesics and antipyretics
METHOXYPHENAMINE,CHEMBL2010507,R03CB02,methoxyphenamine,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C,ADRENERGICS FOR SYSTEMIC USE,R03CB,Non-selective beta-adrenoreceptor agonists
METHSCOPOLAMINE,CHEMBL376897,A03BB03,methylscopolamine,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03B,"BELLADONNA AND DERIVATIVES, PLAIN",A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
METHSCOPOLAMINE,CHEMBL376897,S01FA03,methylscopolamine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01F,MYDRIATICS AND CYCLOPLEGICS,S01FA,Anticholinergics
METHSUXIMIDE,CHEMBL697,N03AD03,mesuximide,N,NERVOUS SYSTEM,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AD,Succinimide derivatives
METHYCLOTHIAZIDE,CHEMBL1577,C03AA08,methyclothiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
METHYL AMINOLEVULINATE,CHEMBL1096562,L01XD03,methyl aminolevulinate,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XD,Sensitizers used in photodynamic/radiation therapy
METHYLATROPINE,CHEMBL1187724,A03BB02,methylatropine,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03B,"BELLADONNA AND DERIVATIVES, PLAIN",A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
METHYLCELLULOSE,CHEMBL2109198,A06AC06,methylcellulose,A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AC,Bulk-forming laxatives
METHYLDOPA,CHEMBL459,C02AB01,methyldopa (levorotatory),C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AB,Methyldopa
METHYLDOPA (RACEMIC),CHEMBL718,C02AB02,methyldopa (racemic),C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AB,Methyldopa
METHYLENE BLUE ANHYDROUS,CHEMBL405110,V04CG05,methylthioninium chloride,V,VARIOUS,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS,V04CG,Tests for gastric secretion
METHYLENE BLUE ANHYDROUS,CHEMBL405110,V03AB17,methylthioninium chloride,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes
METHYLERGONOVINE,CHEMBL1201356,G02AB01,methylergometrine,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS,G02A,UTEROTONICS,G02AB,Ergot alkaloids
METHYLMETHIONINE SULFONIUM CHLORIDE,CHEMBL1797128,A02BX04,methiosulfonium chloride,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
METHYLNALTREXONE BROMIDE,CHEMBL1201770,A06AH01,methylnaltrexone bromide,A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AH,Peripheral opioid receptor antagonists
METHYLPHENIDATE,CHEMBL796,N06BA04,methylphenidate,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA,Centrally acting sympathomimetics
METHYLPREDNISOLONE,CHEMBL650,H02BX01,"methylprednisolone, combinations",H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02B,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",H02BX,"Corticosteroids for systemic use, combinations"
METHYLPREDNISOLONE,CHEMBL650,D07AA01,methylprednisolone,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROIDS, PLAIN",D07AA,"Corticosteroids, weak (group I)"
METHYLPREDNISOLONE,CHEMBL650,D10AA02,methylprednisolone,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AA,"Corticosteroids, combinations for treatment of acne"
METHYLPREDNISOLONE,CHEMBL650,H02AB04,methylprednisolone,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids
METHYLPREDNISOLONE ACEPONATE,CHEMBL1697782,D07AC14,methylprednisolone aceponate,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROIDS, PLAIN",D07AC,"Corticosteroids, potent (group III)"
METHYLPROMAZINE,CHEMBL829,R06AD01,alimemazine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AD,Phenothiazine derivatives
METHYLPROPYLPROPANEDIOL DINITRATE,CHEMBL3707209,C01DA04,methylpropylpropanediol dinitrate,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DA,Organic nitrates
METHYLPROPYLPROPANEDIOL DINITRATE,CHEMBL3707209,C01DA54,"methylpropylpropanediol dinitrate, combinations",C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DA,Organic nitrates
METHYLROSANILINE,CHEMBL592105,D01AE02,methylrosaniline,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AE,Other antifungals for topical use
METHYLROSANILINE,CHEMBL592105,G01AX09,methylrosaniline,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AX,Other antiinfectives and antiseptics
METHYLTESTOSTERONE,CHEMBL1395,G03BA02,methyltestosterone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03B,ANDROGENS,G03BA,3-oxoandrosten (4) derivatives
METHYLTESTOSTERONE,CHEMBL1395,G03EK01,methyltestosterone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03E,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,G03EK,Androgens and female sex hormones in combination with other drugs
METHYLTHIOURACIL,CHEMBL1330588,H03BA01,methylthiouracil,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BA,Thiouracils
METHYPRYLON,CHEMBL1200790,N05CE02,methyprylon,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CE,Piperidinedione derivatives
METHYSERGIDE,CHEMBL1065,N02CA04,methysergide,N,NERVOUS SYSTEM,N02,ANALGESICS,N02C,ANTIMIGRAINE PREPARATIONS,N02CA,Ergot alkaloids
METICRANE,CHEMBL1318341,C03BA09,meticrane,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
METILDIGOXIN,CHEMBL1697843,C01AA08,metildigoxin,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides
METIPRANOLOL,CHEMBL1291,S01ED04,metipranolol,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED,Beta blocking agents
METIPRANOLOL,CHEMBL1291,S01ED54,"metipranolol, combinations",S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED,Beta blocking agents
METIZOLINE,CHEMBL1370446,R01AA10,metizoline,R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain"
METOCLOPRAMIDE,CHEMBL86,A03FA01,metoclopramide,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03F,PROPULSIVES,A03FA,Propulsives
METOLAZONE,CHEMBL878,C03BA08,metolazone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
METOPIMAZINE,CHEMBL398615,A04AD05,metopimazine,A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics
METOPROLOL,CHEMBL13,C07AB02,metoprolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective"
METRELEPTIN,CHEMBL2107857,A16AA07,metreleptin,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AA,Amino acids and derivatives
METRIZAMIDE,CHEMBL462394,V08AB01,metrizamide,V,VARIOUS,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AB,"Watersoluble, nephrotropic, low osmolar X-ray contrast media"
METRIZOIC ACID,CHEMBL1736,V08AA02,metrizoic acid,V,VARIOUS,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media"
METRONIDAZOLE,CHEMBL137,D06BX01,metronidazole,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BX,Other chemotherapeutics
METRONIDAZOLE,CHEMBL137,P01AB51,"metronidazole, combinations",P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives
METRONIDAZOLE,CHEMBL137,G01AF01,metronidazole,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AF,Imidazole derivatives
METRONIDAZOLE,CHEMBL137,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment
METRONIDAZOLE,CHEMBL137,P01AB01,metronidazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives
METRONIDAZOLE,CHEMBL137,J01XD01,metronidazole,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01X,OTHER ANTIBACTERIALS,J01XD,Imidazole derivatives
METYRAPONE,CHEMBL934,V04CD01,metyrapone,V,VARIOUS,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS,V04CD,Tests for pituitary function
METYROSINE,CHEMBL1200862,C02KB01,metirosine,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02K,OTHER ANTIHYPERTENSIVES,C02KB,Tyrosine hydroxylase inhibitors
MEXAZOLAM,CHEMBL1743261,N05BA25,mexazolam,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivatives
MEXILETINE,CHEMBL558,C01BB02,mexiletine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BB,"Antiarrhythmics, class Ib"
MEZLOCILLIN,CHEMBL1731,J01CA10,mezlocillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum
MIANSERIN,CHEMBL6437,N06AX03,mianserin,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants
MIBEFRADIL,CHEMBL45816,C08CX01,mibefradil,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CX,Other selective calcium channel blockers with mainly vascular effects
MICAFUNGIN,CHEMBL457547,J02AX05,micafungin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J02,ANTIMYCOTICS FOR SYSTEMIC USE,J02A,ANTIMYCOTICS FOR SYSTEMIC USE,J02AX,Other antimycotics for systemic use
MICONAZOLE,CHEMBL91,G01AF04,miconazole,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AF,Imidazole derivatives
MICONAZOLE,CHEMBL91,S02AA13,miconazole,S,SENSORY ORGANS,S02,OTOLOGICALS,S02A,ANTIINFECTIVES,S02AA,Antiinfectives
MICONAZOLE,CHEMBL91,J02AB01,miconazole,J,ANTIINFECTIVES FOR SYSTEMIC USE,J02,ANTIMYCOTICS FOR SYSTEMIC USE,J02A,ANTIMYCOTICS FOR SYSTEMIC USE,J02AB,Imidazole derivatives
MICONAZOLE,CHEMBL91,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment
MICONAZOLE,CHEMBL91,D01AC52,"miconazole, combinations",D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AC,Imidazole and triazole derivatives
MICONAZOLE,CHEMBL91,A07AC01,miconazole,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A,INTESTINAL ANTIINFECTIVES,A07AC,Imidazole derivatives
MICONAZOLE,CHEMBL91,D01AC02,miconazole,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AC,Imidazole and triazole derivatives
MICRONOMICIN,CHEMBL373081,S01AA22,micronomicin,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics
MIDAZOLAM,CHEMBL655,N05CD08,midazolam,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CD,Benzodiazepine derivatives
MIDECAMYCIN,CHEMBL444963,J01FA03,midecamycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01FA,Macrolides
MIDODRINE,CHEMBL1201212,C01CA17,midodrine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents
MIDOSTAURIN,CHEMBL608533,L01EX10,midostaurin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EX,Other protein kinase inhibitors
MIFAMURTIDE,CHEMBL2107354,L03AX15,mifamurtide,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AX,Other immunostimulants
MIFEPRISTONE,CHEMBL1276308,G03XB01,mifepristone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03XB,Progesterone receptor modulators
MIFEPRISTONE,CHEMBL1276308,G03XB51,"mifepristone, combinations",G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03XB,Progesterone receptor modulators
MIGALASTAT,CHEMBL110458,A16AX14,migalastat,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AX,Various alimentary tract and metabolism products
MIGLITOL,CHEMBL1561,A10BF02,miglitol,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BF,Alpha glucosidase inhibitors
MIGLUSTAT,CHEMBL1029,A16AX06,miglustat,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AX,Various alimentary tract and metabolism products
MIKAMYCIN,CHEMBL5314344,J01FG01,pristinamycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01FG,Streptogramins
MILNACIPRAN,CHEMBL259209,N06AX17,milnacipran,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants
MILRINONE,CHEMBL189,C01CE02,milrinone,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CE,Phosphodiesterase inhibitors
MILTEFOSINE,CHEMBL125,P01CX04,miltefosine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01C,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01CX,Other agents against leishmaniasis and trypanosomiasis
MINAPRINE,CHEMBL278819,N06AX07,minaprine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants
