drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc
CERIUM OXALATE,CHEMBL3990854,A04AD02,cerium oxalate,A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics
CERIVASTATIN,CHEMBL1477,C10AA06,cerivastatin,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AA,HMG CoA reductase inhibitors
CERLIPONASE ALFA,CHEMBL3544921,A16AB17,cerliponase alfa,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB,Enzymes
CERTOLIZUMAB PEGOL,CHEMBL1201831,L04AB05,certolizumab pegol,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors
CERULETIDE,CHEMBL1201355,V04CC04,ceruletide,V,VARIOUS,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS,V04CC,Tests for bile duct patency
CETIEDIL,CHEMBL419380,C04AX26,cetiedil,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
CETIRIZINE,CHEMBL1000,R06AE07,cetirizine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AE,Piperazine derivatives
CETIRIZINE,CHEMBL1000,S01GX12,cetirizine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GX,Other antiallergics
CETRIMIDE,CHEMBL5219790,D11AC01,cetrimide,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AC,Medicated shampoos
CETRIMIDE,CHEMBL5219790,D08AJ04,cetrimide,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AJ,Quaternary ammonium compounds
CETRIMONIUM,CHEMBL1183605,R02AA17,cetrimonium,R,RESPIRATORY SYSTEM,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptics
CETRIMONIUM,CHEMBL1183605,D08AJ02,cetrimonium,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AJ,Quaternary ammonium compounds
CETRORELIX,CHEMBL1200490,H01CC02,cetrorelix,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CC,Anti-gonadotropin-releasing hormones
CETUXIMAB,CHEMBL1201577,L01FE01,cetuximab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FE,EGFR (Epidermal Growth Factor Receptor) inhibitors
CETYLPYRIDINIUM,CHEMBL305906,D09AA07,cetylpyridinium,D,DERMATOLOGICALS,D09,MEDICATED DRESSINGS,D09A,MEDICATED DRESSINGS,D09AA,Medicated dressings with antiinfectives
CETYLPYRIDINIUM,CHEMBL305906,B05CA01,cetylpyridinium,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C,IRRIGATING SOLUTIONS,B05CA,Antiinfectives
CETYLPYRIDINIUM,CHEMBL305906,D08AJ03,cetylpyridinium,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AJ,Quaternary ammonium compounds
CETYLPYRIDINIUM,CHEMBL305906,R02AA06,cetylpyridinium,R,RESPIRATORY SYSTEM,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptics
CEVIMELINE,CHEMBL168815,N07AX03,cevimeline,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07A,PARASYMPATHOMIMETICS,N07AX,Other parasympathomimetics
"CHARCOAL, ACTIVATED",CHEMBL2106049,A07BA01,medicinal charcoal,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07B,INTESTINAL ADSORBENTS,A07BA,Charcoal preparations
"CHARCOAL, ACTIVATED",CHEMBL2106049,A07BA51,"medicinal charcoal, combinations",A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07B,INTESTINAL ADSORBENTS,A07BA,Charcoal preparations
CHENODIOL,CHEMBL240597,A05AA01,chenodeoxycholic acid,A,ALIMENTARY TRACT AND METABOLISM,A05,BILE AND LIVER THERAPY,A05A,BILE THERAPY,A05AA,Bile acids and derivatives
CHINIOFON,CHEMBL2104146,P01AX01,chiniofon,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AX,Other agents against amoebiasis and other protozoal diseases
CHLOPHEDIANOL,CHEMBL1201313,R05DB10,clofedanol,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DB,Other cough suppressants
