drug_id	cluster	pc1	pc2
CHEMBL1303	19	0.39086598	-0.14884588
CHEMBL71	19	0.47816318	-0.44659922
CHEMBL908	19	0.55699223	-0.33874342
CHEMBL4297344	15	0.41407713	-0.2373405
CHEMBL10316	19	0.6236771	-0.42236167
CHEMBL2109124	15	0.32701978	-0.298098
CHEMBL1200569	19	0.51515067	-0.58313257
CHEMBL1200775	14	0.29224402	-0.34044087
CHEMBL1200501	19	0.5400482	-0.295274
CHEMBL4466233	15	0.5291121	-0.43582597
CHEMBL3989740	13	0.37777346	-0.32746533
CHEMBL4085457	13	0.54301065	-0.51409584
CHEMBL3545432	15	0.35708356	-0.23641929
CHEMBL3586573	15	0.509148	-0.41675544
CHEMBL2108893	13	0.6176769	-0.073726475
CHEMBL2107762	11	0.3945972	-0.24964377
CHEMBL1286	11	0.43166924	-0.2424226
CHEMBL3707374	19	0.62158	-0.33534932
CHEMBL494089	13	0.45726705	-0.41831142
CHEMBL4298098	15	0.38931423	-0.39704075
CHEMBL473159	11	0.46656018	-0.3554575
CHEMBL76222	13	0.5422005	-0.42600453
CHEMBL440498	13	0.37842086	-0.26429144
CHEMBL4297809	13	0.5690193	-0.19831236
CHEMBL2103884	15	0.46241033	-0.24696623
CHEMBL477	19	0.47894543	-0.27440095
CHEMBL448343	19	0.45925903	-0.4793126
CHEMBL4298037	17	0.68557453	-0.41222045
CHEMBL1254771	6	0.6868678	-0.5772873
CHEMBL3301612	13	0.47445905	-0.05105424
CHEMBL2104765	15	0.5742061	-0.11162785
CHEMBL284348	11	0.28360087	-0.12471476
CHEMBL1910936	19	0.2878814	-0.28249913
CHEMBL1229517	13	0.48340905	-0.1270127
CHEMBL1200485	13	0.3975223	-0.32826138
CHEMBL1200934	17	0.73929673	-0.48607707
CHEMBL1614710	13	0.67821693	-0.25009882
CHEMBL6068330	13	0.50744754	-0.0394004
CHEMBL4802198	17	0.79261774	-0.3594411
CHEMBL2108709	13	0.32524723	-0.24284326
CHEMBL2108318	19	0.6013819	-0.24847662
CHEMBL4650421	13	0.33204055	-0.2783847
CHEMBL4298090	13	0.35986552	-0.32298243
CHEMBL2103836	11	0.37285677	-0.22036807
CHEMBL4297744	15	0.24954939	-0.26023108
CHEMBL1628502	11	0.3388317	-0.4217003
CHEMBL1059	11	0.45807242	-0.3149284
CHEMBL1201605	13	0.4427867	-0.43419477
CHEMBL408513	15	0.4249118	-0.32636032
CHEMBL3264002	13	0.40016326	-0.23633708
CHEMBL3545331	7	0.26518056	-0.29969448
CHEMBL1200434	19	0.53322464	-0.37900573
CHEMBL741	11	0.6210851	-0.37109986
CHEMBL1068	11	0.4056821	-0.42471874
CHEMBL1201023	11	0.3699789	-0.38384363
CHEMBL1889140	11	0.4318514	-0.346625
CHEMBL1767164	19	0.5885071	-0.41574734
CHEMBL3039545	13	0.46835786	-0.32121828
CHEMBL4164059	19	0.6247182	-0.41166243
CHEMBL3989805	19	0.58635116	-0.56925225
CHEMBL3545030	19	0.5328545	-0.2320523
CHEMBL1631540	19	0.55704695	-0.32646263
CHEMBL1201032	19	0.3313433	-0.27885562
CHEMBL22108	17	0.6531184	-0.20427798
CHEMBL2206292	19	0.6702157	-0.2356164
CHEMBL539843	6	0.63589454	-0.5186674
CHEMBL1653	17	0.7795248	-0.13553241
CHEMBL1200532	19	0.48331493	-0.12908763
CHEMBL5315056	19	0.60591865	-0.21306816
CHEMBL3545083	15	0.33507743	-0.3591595
CHEMBL315795	11	0.4809127	-0.32726324
CHEMBL1256	11	0.5144218	-0.40517458
CHEMBL454	11	0.5936499	-0.057767957
CHEMBL3833307	13	0.5935408	-0.39752114
CHEMBL3544945	13	0.55916524	-0.122993946
CHEMBL315985	11	0.3574122	-0.21073557
CHEMBL2107818	15	0.5628861	-0.19725215
CHEMBL481958	15	0.7228057	-0.36228934
CHEMBL3545209	11	0.5405008	-0.32310706
CHEMBL306280	15	0.4439894	-0.05452016
CHEMBL1096885	15	0.51010644	-0.14805537
CHEMBL1234354	13	0.4874261	-0.20024641
CHEMBL4303596	13	0.6470868	-0.42206696
CHEMBL1200437	11	0.60072297	-0.4983377
CHEMBL4650245	13	0.57301897	-0.36048657
CHEMBL290352	11	0.43723494	-0.08751693
CHEMBL1201420	13	0.53301156	-0.3231963
CHEMBL1237099	11	0.40968156	-0.19403568
CHEMBL1201835	13	0.40247878	-0.38776785
CHEMBL4105630	11	0.48825777	-0.25779843
CHEMBL405110	19	0.53224623	-0.37046254
CHEMBL2108672	15	0.42317954	-0.4199024
CHEMBL4650319	13	0.6760606	-0.43281406
CHEMBL681	11	0.52970654	-0.35002512
CHEMBL1200903	11	0.58472466	-0.406001
CHEMBL3301589	15	0.35311618	-0.28756225
CHEMBL2109391	13	0.5016147	-0.52672076
CHEMBL2109390	13	0.52435476	-0.31181753
CHEMBL1200982	11	0.4418404	-0.103412926
CHEMBL4298045	15	0.25480998	-0.30294728
CHEMBL12	11	0.54671013	-0.22820035
CHEMBL3545132	15	0.37084067	-0.42124087
CHEMBL2105643	15	0.39014056	-0.27484906
CHEMBL1742994	15	0.4408632	-0.1374413
CHEMBL2103840	15	0.3482264	-0.2634489
CHEMBL189963	15	0.36748993	-0.04602295
CHEMBL2108718	6	0.636375	-0.46601814
CHEMBL1201607	13	0.44456935	-0.06996727
CHEMBL488436	15	0.29139617	-0.31383651
CHEMBL2109266	15	0.5478027	-0.33079016
CHEMBL2105629	15	0.5372505	-0.25364453
CHEMBL4297441	15	0.3982585	-0.40116647
CHEMBL39541	15	0.3724519	-0.12939441
CHEMBL4442620	15	0.29191852	-0.40683323
CHEMBL2105763	15	0.21574602	-0.2064177
CHEMBL679	19	0.3925118	-0.24884136
CHEMBL499	19	0.5475573	-0.05824697
CHEMBL1700	19	0.6085012	-0.4437707
CHEMBL3989798	19	0.68725324	-0.40154338
CHEMBL4297990	13	0.6296229	-0.51202595
