drug	cluster	pca1	pca2
CANDESARTAN CILEXETIL	6	-1.7733192	1.2432069
CANDESARTAN CILEXETIL\HYDROCHLOROTHIAZIDE	8	5.4157352	0.9472367
CANDESARTAN;FELODIPINE	1	-0.26698452	-1.1793766
CANDESARTAN;HYDROCHLOROTHIAZIDE	18	-0.48892567	0.044684254
CANGRELOR	13	1.144848	-1.1289558
CANIS LUPUS FAMILIARIS DANDER\CANIS LUPUS FAMILIARIS HAIR	7	2.941772	-3.0097008
CANIS LUPUS FAMILIARIS SKIN	7	2.3048856	-1.1301755
CANNABIDIOL	18	-1.185966	0.09485393
CANNABIDIOL;DRONABINOL	15	-3.2075386	-1.2809565
CANNABINOIDS	0	0.15727492	1.9425628
CANNABINOLIC ACID	3	6.669293	-0.2715167
CANNABIS SPP	18	0.507007	0.10447885
CANRENOIC ACID	6	-3.1049683	4.5749063
CANRENONE	17	0.012024195	6.503219
CANTHARIDIN	8	5.5298805	-2.1932163
CAPECITABINE	19	3.6595972	-1.2687725
CAPIVASERTIB	6	-3.1231809	1.0219924
CAPLACIZUMAB	15	-3.8668036	-0.039288905
CAPMATINIB	6	-2.0080566	0.7404651
CAPREOMYCIN	9	-2.1522532	2.1654778
CAPSAICIN	18	-2.2464159	-2.9180608
CAPSICUM SPP	19	2.0492942	-0.7300461
CAPTOPRIL	6	0.034216587	0.34569484
CARBAMAZEPINE	19	3.0502908	-0.7405467
CARBASALATE	14	-2.6162863	-0.25003693
CARBETOCIN	13	-2.3952763	1.4755803
CARBIDOPA	0	-2.2879465	2.457932
CARBIDOPA;ENTACAPONE;LEVODOPA	0	-0.64403594	1.8972515
CARBIDOPA;LEVODOPA	19	3.2502787	-0.28443262
CARBIDOPA\ENTACAPONE\LEVODOPA	1	2.1309981	-1.6250702
CARBIDOPA\LEVODOPA	0	-1.5588223	3.5730832
CARBIMAZOLE	9	-0.46479025	4.9314575
CARBOCISTEINE	15	-3.2823129	1.2844846
CARBOHYDRATES, UNSPECIFIED	11	-1.5147164	-0.57433045
CARBOHYDRATES, UNSPECIFIED;FATTY ACIDS, UNSPECIFIED;MINERALS, UNSPECIFIED;PROTEINS, UNSPECIFIED;VITAMINS, UNSPECIFIED	11	-0.73031884	-0.09684316
CARBOMER	8	5.3547397	-2.8243918
CARBON DIOXIDE	13	2.4503286	-0.13938168
CARBON MONOXIDE	3	4.957798	3.8160892
CARBOPLATIN	19	3.5898125	-0.4850566
CARBOPROST	7	-4.7126217	-0.019306991
CARBOXYMETHYLCELLULOSE SODIUM\GLYCERIN	1	2.5464988	-3.2702055
CARFENTANIL	3	5.8193264	0.7107976
CARFILZOMIB	19	1.6156237	0.87568873
CARGLUMIC ACID	5	-2.338328	3.270228
CARIPRAZINE	0	-0.12632748	0.48818955
CARISOPRODOL	0	-1.4082198	2.001478
CARISOPRODOL;PARACETAMOL	8	6.208811	-1.979742
CARMUSTINE	9	0.58076614	2.090066
CARMUSTINE;CYTARABINE;ETOPOSIDE;MELPHALAN	13	2.2221086	0.58526975
CARTEOLOL	10	-0.3809872	0.2105532
CARTHAMUS SPP	11	-1.6645834	-0.2917245
CARVEDILOL	19	2.0434034	0.25519946
CARVEDILOL PHOSPHATE	1	2.606439	-1.6229511
CASANTHRANOL;DOCUSATE	8	3.6948345	-1.6809962
CASIMERSEN	15	-3.6115022	-0.31589133
CASIRIVIMAB	7	-4.7077694	0.97480565
CASIRIVIMAB;IMDEMIVAB	7	-2.9937394	1.2658925
CASIRIVIMAB;IMDEVIMAB	7	-3.233923	0.57678944
CASIRIVIMAB\IMDEVIMAB	7	-0.9651294	-1.462907
CASPOFUNGIN	9	0.9645612	2.8534124
CASPOFUNGIN ACETATE	9	1.022438	3.7452958
CATEQUENTINIB	13	-0.28777382	1.1267772
CATHINE	3	5.8947864	0.73304236
CATHINONE	3	5.200821	-0.16355962
CEDAZURIDINE;DECITABINE	9	-4.1000757	0.61415184
CEFACLOR	7	-2.8059795	-2.6766057
CEFADROXIL	14	-3.851027	-2.1975107
CEFALEXIN	18	0.20379028	-1.6719774
CEFATRIZINE PROPYLENE GLYCOLATE	2	3.8318193	-2.6223934
CEFAZOLIN	19	0.18054068	1.2681681
CEFAZOLIN SODIUM	8	5.250628	-1.4530083
CEFCAPENE	7	-0.093168505	-1.9348155
CEFDINIR	15	-4.942068	-1.195933
CEFEPIME	9	0.8332713	3.7737627
CEFEPIME HYDROCHLORIDE	8	4.4690123	2.8278794
CEFIDEROCOL	9	-0.4314766	4.0259047
CEFIXIME	16	-2.5345404	0.8328044
CEFMETAZOLE	8	2.6646328	0.007673788
CEFOPERAZONE	7	-3.9905403	-2.5714684
CEFOPERAZONE;SULBACTAM	9	-1.0826255	2.5417361
CEFOTAXIME	9	0.5657011	3.9832644
CEFOTIAM	9	0.19473375	0.014173041
CEFOXITIN	17	-1.5017219	3.8042276
CEFPODOXIME	6	-4.330623	3.04499
CEFPROZIL	14	-4.3851624	-1.9191017
CEFTAROLINE	9	-1.7882662	4.321769
CEFTAZIDIME	9	-0.07182141	2.665832
CEFTIBUTEN	1	3.194614	-1.7384901
CEFTOLOZANE;TAZOBACTAM	9	0.1893185	3.8499444
CEFTRIAXONE	19	2.326485	0.6191381
CEFTRIAXONE SODIUM	9	-2.6302843	3.419304
CEFUROXIME	19	1.401884	-0.3299469
CEFUROXIME AXETIL	7	-3.5726583	-1.0603232
CEFUROXIME SODIUM	7	0.39102408	-1.8828018
CELECOXIB	19	2.9121485	-1.1237488
CELECOXIB\TRAMADOL HYDROCHLORIDE	5	0.8314786	-0.66145456
CELIPROLOL	17	0.46188158	1.4083581
CELLULOSE	12	-1.2420212	-1.4952557
CELLULOSE;GLYCEROL	8	4.649588	-2.649655
CEMIPLIMAB	9	-3.343675	2.6454034
CENEGERMIN	12	-2.9645488	-2.423818
CENOBAMATE	0	-1.6416104	3.3161564
CEPHALEXIN	18	-2.6900206	-0.90472335
CEPHALEXIN MONOHYDRATE	15	-5.3674645	-2.3967476
CEPHALOSPORIN C	2	3.9020686	-2.588844
CEPHALOSPORIN, UNSPECIFIED	2	3.6293674	-2.8583024
CERITINIB	9	-2.0350556	2.4904273
CERITINIB, TRIAL	5	-2.9584424	1.8517767
CERLIPONASE ALFA	5	-0.5681925	0.7568462
CERTOLIZUMAB	19	3.4317493	-1.769639
CERTOLIZUMAB, TRIAL	8	1.5082145	0.003239538
CERTOPARIN	13	0.6745261	1.5195864
CETIRIZINE	19	2.662652	-1.3395088
CETIRIZINE HYDROCHLORIDE	18	-1.021352	-1.994349
CETIRIZINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE	4	-3.779674	-4.254335
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE	4	-4.5316634	-4.8833685
CETIRIZINE;PSEUDOEPHEDRINE	4	-1.1962699	-3.426885
CETRIMIDE	4	-3.3356519	-4.47639
CETRIMIDE;CHLORHEXIDINE	4	-4.470277	-4.6574893
CETRIMONIUM	4	-3.4831889	-4.14394
CETRORELIX	7	-3.0565338	-0.39062157
CETUXIMAB	19	1.1518455	0.37828645
CETYLPYRIDINIUM	19	2.038883	-3.9022133
CETYLPYRIDINIUM CHLORIDE\CHLORHEXIDINE GLUCONATE	4	-5.268447	-3.4914258
CEVIMELINE	13	-1.7615622	-0.1510652
CEVOSTAMAB	8	5.335036	-1.0479431
CHARCOAL, ACTIVATED	17	-0.13564448	1.7368886
CHENODEOXYCHOLIC ACID	5	-1.2928501	3.1183996
CHENOPODIUM ALBUM POLLEN	7	2.3894775	-2.5472026
CHLORAL HYDRATE	10	1.0038078	3.3706753
CHLORAMBUCIL	9	-1.1072893	3.0516045
CHLORAMPHENICOL	11	-2.0585604	-1.9862721
CHLORAMPHENICOL;HYDROCORTISONE;METRONIDAZOLE;NATAMYCIN	11	-1.8449421	0.28966752
CHLORAMPHENICOL;HYDROCORTISONE;METRONIDAZOLE;NYSTATIN	11	-1.5959907	0.633705
CHLORAMPHENICOL\HYDROCORTISONE	11	-1.301118	2.4056249
CHLORDIAZEPOXIDE	0	-1.617175	4.764383
CHLORDIAZEPOXIDE;CLIDINIUM	5	-5.9390664	0.38302377
CHLORDIAZEPOXIDE;CLIDINIUM;DICYCLOVERINE	8	5.7322702	-1.6530957
CHLORHEXIDINE	18	-0.15827942	-2.7341435
CHLORHEXIDINE GLUCONATE	4	-4.324828	-5.0933704
CHLORHEXIDINE GLUCONATE\CLOTRIMAZOLE\ISOPROPYL ALCOHOL	4	-3.0008123	-5.005149
CHLORHEXIDINE GLUCONATE\ISOPROPYL ALCOHOL	4	-3.5451262	-4.7440324
CHLORHEXIDINE;ISOPROPANOL	4	-1.3540585	-4.172394
CHLORHEXIDINE;LIDOCAINE	15	-3.181137	-0.5506907
CHLORHEXIDINE\SODIUM FLUORIDE\TRICLOSAN\ZINC CHLORIDE	4	-5.4241185	-2.3186023
CHLORMADINONE	0	-2.4856284	-0.37617236
CHLORMADINONE ACETATE\ETHINYL ESTRADIOL	8	2.972791	-0.97065854
CHLORMETHINE	12	-3.0745807	-2.8990324
CHLORMEZANONE	4	-3.1062982	0.6489684
CHLOROQUINE	18	-1.2144818	-0.35590804
CHLOROQUINE PHOSPHATE	3	5.1851077	1.3327829
CHLOROTHIAZIDE	1	2.8189304	-1.8437837
CHLOROXYLENOL	3	4.729489	-0.6728785
CHLORPHENAMINE	11	-1.535161	1.5890318
CHLORPHENAMINE;CODEINE;PSEUDOEPHEDRINE	3	3.5809016	1.4419355
CHLORPHENAMINE;DEXTROMETHORPHAN	0	-3.889108	2.747366
CHLORPHENAMINE;HYDROCODONE	0	0.40322784	-0.32603043
CHLORPHENAMINE;IBUPROFEN;PHENYLEPHRINE	15	-4.0860653	0.46975702
CHLORPHENAMINE;IBUPROFEN;PSEUDOEPHEDRINE	1	3.5097935	-1.8990626
CHLORPHENAMINE;PARACETAMOL	0	-3.1152487	0.4091815
CHLORPHENIRAMINE	17	0.83387464	5.4940476
CHLORPHENIRAMINE MALEATE\PSEUDOEPHEDRINE HYDROCHLORIDE	14	-2.732184	-3.6973007
CHLORPHENIRAMINE;HYDROCODONE;PSEUDOEPHEDRINE	3	3.451154	1.0758369
CHLORPROMAZINE	0	0.20743018	2.3429408
CHLORPROMAZINE HYDROCHLORIDE	0	-0.88807505	3.048334
CHLORPROTHIXENE	0	-2.7818217	1.9353542
CHLORTALIDONE	6	-1.2935574	1.4195963
CHLORTHALIDONE	14	-4.1967726	2.6837296
CHLORZOXAZONE	0	-2.3233342	1.3956287
CHLORZOXAZONE;PARACETAMOL	0	-0.10052204	3.3771293
CHOLECALCIFEROL	15	-3.6024313	0.6064218
CHOLESTYRAMINE	15	-5.137574	-1.5446626
CHOLIC ACID	5	-2.6263995	4.350175
CHOLINE	13	0.2893361	1.1233963
CHONDROCYTES	8	6.346153	-1.3941866
CHONDROCYTES;COLLAGEN	4	-3.706735	-3.0024889
CHONDROITIN	0	-2.211325	2.9293013
CHONDROITIN SULFATE (BOVINE)\GLUCOSAMINE SULFATE	10	0.7633917	1.5376524
CHONDROITIN SULFATE SODIUM NOS	8	4.1873617	3.1844015
CHONDROITIN;GLUCOSAMINE	10	0.4758757	1.432594
CHORIONIC GONADOTROPHIN	15	-2.722059	-0.21948656
CHROMIUM	17	3.751524	3.6086009
CICLESONIDE	18	0.942134	-1.728536
CICLOPIROX	15	-5.006348	-0.5252565
CICLOPIROX OLAMINE	1	3.110866	-3.0763543
CICLOSPORIN	8	3.3716063	-1.6913873
CIDOFOVIR	9	0.5272871	3.4549172
CILASTATIN SODIUM\IMIPENEM	8	3.547791	0.50253785
CILASTATIN;IMIPENEM	6	0.17170793	3.6667058
CILASTATIN;IMIPENEM;RELEBACTAM	13	2.4573748	-0.7227264
CILAZAPRIL	14	-3.6642892	1.6219167
CILGAVIMAB;TIXAGEVIMAB	15	-4.618763	1.1078447
CILOSTAZOL	6	-1.4191349	4.514533
CILTACABTAGENE AUTOLEUCEL	9	-3.6688793	2.1878467
CIMETIDINE	6	-2.8012893	1.6122484
CIMICIFUGA SPP	3	5.770188	-0.27153653
CINACALCET	18	-0.03602506	0.5365217
CINACALCET HYDROCHLORIDE	1	3.2639728	-2.0918555
CINCHOCAINE	14	-2.3391485	-2.1754582
CINCHOCAINE;HYDROCORTISONE	14	-2.6531656	-3.4137597
CINNAMALDEHYDE	8	4.1931314	-1.4099941
CINNARIZINE	13	-1.0349246	-2.2645931
CINNARIZINE;DIMENHYDRINATE	0	-3.337767	3.4731
CIPROFLOXACIN	19	3.3745248	-0.9812679
CIPROFLOXACIN HYDROCHLORIDE	18	-2.717402	-0.6969757
CIPROFLOXACIN;DEXAMETHASONE	15	-4.1707225	-2.7883306
CISAPRIDE	5	-1.5561744	2.3986752
CISATRACURIUM	17	0.7712068	4.953385
CISPLATIN	19	3.3456733	0.16838741
CISPLATIN;CYTARABINE;DEXAMETHASONE	13	2.1496446	1.4610052
CISPLATIN\CYTARABINE\ETOPOSIDE\METHYLPREDNISOLONE (ESHAP)	8	6.235092	-1.3546818
CITALOPRAM	19	3.2153883	-0.34844255
CITALOPRAM HYDROBROMIDE	0	-1.8757858	-0.3010432
CITICOLINE	0	0.086240925	4.2579203
CITRIC ACID	11	-1.4124438	-1.2811899
CITRIC ACID MONOHYDRATE\METHYLCELLULOSE	8	3.2571266	-1.6484649
CITRIC ACID MONOHYDRATE\SODIUM BICARBONATE\TARTARIC ACID	13	-0.10725532	-0.99327856
CITRIC ACID;MAGNESIUM;SODIUM PICOSULFATE	11	-1.9420631	0.27723914
CITRUS FIBER	11	-1.9831858	0.01869089
CLADOSPORIUM SPHAEROSPERMUM	7	1.8036667	-2.7755778
CLADRIBINE	19	0.14415006	-0.749804
CLARITHROMYCIN	19	2.807735	-0.65131027
CLASCOTERONE	12	-2.7019594	-3.844422
CLAVULANIC ACID	9	-1.1990901	1.3816445
CLEBOPRIDE	8	6.029156	-1.2783246
CLEMASTINE	7	-1.9441078	1.4177237
CLEMASTINE FUMARATE	7	-0.6742044	-0.6321886
CLEMIZOLE PENICILLIN	7	0.88426924	-4.438015
CLENBUTEROL	13	1.648692	3.156048
CLEVIDIPINE	8	2.705094	0.9932986
CLIDINIUM	8	3.849525	-0.90872777
CLINDAMYCIN	19	2.3994339	-1.1317624
CLINDAMYCIN HYDROCHLORIDE	7	-4.1548247	-3.256978
CLINDAMYCIN PHOSPHATE	7	-4.832273	-0.01581986
CLINDAMYCIN;TRETINOIN	1	2.9166944	-0.637978
CLINDAMYCIN\CLOTRIMAZOLE	8	6.1923904	-2.048687
CLIOQUINOL	4	-2.41561	-3.716506
CLIOQUINOL;FLUMETHASONE	4	-2.2866488	-4.295902
CLIOQUINOL\FLUMETHASONE PIVALATE	4	-3.3151007	-4.295884
CLIOQUINOL\HYDROCORTISONE	4	-0.54587775	-6.141097
CLOBAZAM	19	1.2571373	1.4851308
CLOBETASOL	18	-0.5509534	-2.2790155
CLOBETASOL PROPIONATE	12	-3.5252814	-3.7792466
CLOBETASONE	12	-2.6491075	-4.12681
CLODRONIC ACID	6	-2.0519326	0.07326574
CLOFARABINE	9	0.5630648	3.0673373
CLOFAZIMINE	6	-0.28314707	2.1883004
CLOFIBRATE	16	-3.4302325	-2.244782
CLOMETHIAZOLE	0	-2.407968	2.8294857
CLOMIFENE	0	-3.855671	1.7202903
CLOMIPHENE CITRATE	5	-2.8415055	0.75687414
CLOMIPRAMINE	0	0.67261326	1.8611183
CLOMIPRAMINE HYDROCHLORIDE	3	3.541007	3.1324334
CLONAZEPAM	19	3.5513582	-1.0732807
CLONIDINE	19	1.9825804	-0.08315809
CLONIDINE HYDROCHLORIDE	17	0.20701592	3.3870406
CLOPIDOGREL	19	3.327563	-0.541069
CLOPIDOGREL BISULFATE	6	-0.92141944	1.067913
CLORAZEPATE DIPOTASSIUM	5	-2.4705336	1.8225932
CLORAZEPIC ACID	0	0.3369736	4.0556493
CLORHEXIDINE;ISOPROPANOL	4	-1.4087114	-3.4771006
CLORPRENALINE	13	0.5789532	0.5115393
CLOTIAPINE	0	0.48960677	5.554721
CLOTIAZEPAM	0	-0.39303818	4.3342047
CLOTRIMAZOLE	14	-2.7309499	-2.5131378
CLOTRIMAZOLE;FLUCONAZOLE	12	-3.8367815	-2.5104432
CLOTRIMAZOLE;HYDROCORTISONE	0	1.8318871	1.2966087
CLOTRIMAZOLE\HYDROCORTISONE	0	1.7650307	2.2632568
CLOXACILLIN	9	0.16842768	4.401802
CLOXAZOLAM	15	-4.6069856	0.23979257
CLOZAPINE	19	3.394943	0.074764796
COAL TAR	1	3.5880141	-1.9773215
COBALT	2	3.6597276	-2.5386472
COBAMAMIDE	4	-2.2062542	-2.997717
COBICISTAT	1	0.82234615	1.5314907
COBICISTAT;DARUNAVIR	6	-3.2679584	1.6510056
COBICISTAT;DARUNAVIR;EMTRICITABINE;TENOFOVIR	15	-6.039657	-0.3788478
COBICISTAT;ELVITEGRAVIR;EMTRICITABINE;TENOFOVIR	18	-0.22541328	0.10332932
COBICISTAT\DARUNAVIR ETHANOLATE	13	2.8317182	-0.44249606
COBIMETINIB	6	-2.241837	1.5930461
COCAINE	0	1.6264821	2.3017724
COCAINE HYDROCHLORIDE	3	5.8210964	0.8282168
COCARBOXYLASE	1	3.5294096	-2.089069
COCOA BUTTER\PHENYLEPHRINE HYDROCHLORIDE	4	-3.340492	-2.9478352
CODEINE	19	2.7110546	-1.3984871
CODEINE PHOSPHATE\GUAIFENESIN\PHENIRAMINE MALEATE	4	-3.9590418	-1.1465216
CODEINE SULFATE	4	-2.9417908	-0.8428988
CODEINE;DICLOFENAC	8	1.4746349	-2.4165142
CODEINE;GUAIFENESIN	4	-3.0355442	-0.0113950465
CODEINE;IBUPROFEN	3	3.160532	2.645352
CODEINE;PARACETAMOL	19	1.973004	-0.8513119
CODEINE;PROMETHAZINE	18	-1.6364311	-2.3365588
COLCHICINE	19	1.4260869	0.3428499
COLCHICINE;PROBENECID	17	1.0124866	4.2133074
COLCHICINE\OPIUM\TIEMONIUM METHYLSULFATE	5	-1.190741	2.5986118
COLESEVELAM	6	-3.8914216	-0.4431968
COLESEVELAM HYDROCHLORIDE	13	1.5651913	-0.49952066
COLESTIPOL	15	-2.8978217	-1.796305
COLESTIPOL HYDROCHLORIDE	13	3.0477064	-0.985194
COLESTYRAMINE	18	-2.3770106	-0.16154757
COLISTIMETHATE SODIUM	8	3.7460463	1.8753263
COLISTIN	9	-0.9522861	4.217901
COLLAGENASE	12	-2.207071	-5.3003716
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	15	-3.2784863	-2.3135073
CONESTAT ALFA	15	-5.9515867	-3.0468843
CONTRACEPTIVES, UNSPECIFIED	13	-0.7543235	-0.27606168
CONTROL PLP	10	-0.7657432	0.9334019
COPANLISIB	9	-0.18868624	3.1936548
COPPER	14	-1.2094929	-3.736624
COPPER GLUCONATE\ZINC	1	2.9760923	-3.2143705
COPPER OXODOTREOTIDE CU-64	5	-0.2352354	-0.4372515
COPPER;VITAMIN A;VITAMIN C;VITAMIN E;XANTOFYL;ZINC	6	0.9693841	3.2377644
COPPERTONE KIDS WET + CLEAR CONTINUOUS SPRAY SPF 45	8	6.042842	-2.4418695
COPPERTONE SENSITIVE SKIN LOTION SPF-50	8	5.622233	-2.23604
COPPERTONE SPORT DRY LOTION SPF-30	8	5.760563	-2.3623936
COPPERTONE SPORT LOTION SPF 50	8	4.772452	-1.6017995
COPPERTONE ULTRAGUARD LOTION SPF 50	8	5.483988	-2.192717
COPPERTONE ULTRAGUARD LOTION SPF-15	8	5.5614853	-1.903335
COPPPERTONE SPORT CLEAR CONTINUOUS SPRAY SUNSCREEN SPF-50	8	6.093553	-2.3496883
CORICIDIN HCP MAXIMUM STRENGTH FLU	1	3.2015367	-2.069791
CORIFOLLITROPIN ALFA	8	1.485304	0.66973346
CORTICOSTEROID, UNSPECIFIED	15	-4.3801885	1.0957756
CORTICOTROPIN	18	0.7358956	-1.9197181
CORTISONE	19	1.7586583	-2.188589
CORTISONE ACETATE	4	-3.1105418	-3.7711222
CORTISONE;DIPHENHYDRAMINE;SULFISOMIDINE	4	-4.682295	-3.555498
COSMETICS	12	-1.6514244	-4.0641527
COTININE	3	5.578857	1.5533056
COUGH PREPARATIONS, UNSPECIFIED	15	-4.562738	-2.6146734
COUMADIN TABS 2 MG	8	3.1239412	0.4690343
COVID-19 CONVALESCENT PLASMA	13	3.0426471	-0.5422648
COVID-19 SERUM	13	-0.9327261	0.6756207
COVID-19 VACCINE	19	2.5233681	-1.1202204
COVID-19 VACCINE NOS	15	-4.674246	-2.6753807
CRANBERRY	10	1.769347	3.112798
CREATINE	13	-0.03913576	0.7009913
CREATINE PHOSPHATE	3	2.645927	1.988888
CREATININE	3	1.6486531	-0.56039864
CRISABOROLE	12	-2.8747573	-5.143213
CRIZANLIZUMAB	15	-6.081221	-0.069358945
CRIZOTINIB	19	-0.092625454	0.5205275
CROFELEMER	5	-2.2475362	0.45203522
CROMOGLICIC ACID	15	-5.111762	-3.7737985
CROMOLYN SODIUM	12	-0.6403334	-4.0672464
CROSCARMELLOSE	14	0.2105539	-2.1036165
CUPRIC OXIDE	16	-2.7892063	-2.1182222
CUPRIC OXIDE;VITAMIN B3;VITAMIN B9;ZINC	16	-3.5834246	-2.4932976
CUPRIC OXIDE\FOLIC ACID\NIACINAMIDE\ZINC OXIDE	16	-3.511082	-2.5049262
CURCUMA SPP	3	3.7801547	3.9662528
CURCUMA SPP;HERBALS, UNSPECIFIED	4	0.40605018	-4.8219924
CYAMEMAZINE	0	1.3736933	4.2919555
CYAMOPSIS SPP	15	-5.148202	-0.20221414
CYANOCOBALAMIN	14	-4.2949557	-0.20634656
CYANOCOBALAMIN\SEMAGLUTIDE	5	-4.1787133	1.6390762
CYCLIZINE	6	-1.666848	3.1426506
CYCLOBENZAPRINE	18	-0.025271863	-0.9614276
CYCLOBENZAPRINE HYDROCHLORIDE	10	-2.536729	-0.88141626
CYCLOBENZAPRINE HYDROCHLORIDE\DICLOFENAC POTASSIUM	14	-1.2177644	-2.3755727
CYCLOPENTAMINE	4	-2.115408	-1.1570823
CYCLOPENTOLATE	0	-1.213842	0.23373719
CYCLOPENTOLATE HYDROCHLORIDE	8	3.290636	-3.289193
CYCLOPHOSPHAMIDE	8	4.4416895	-1.4327348
CYCLOPHOSPHAMIDE;DOXORUBICIN;PREDNISONE;RITUXIMAB;VINCRISTINE	13	2.9652655	-0.7441594
CYCLOPHOSPHAMIDE;DOXORUBICIN;PREDNISONE;VINCRISTINE	9	-0.45884317	3.9512403
CYCLOPHOSPHAMIDE\DOXORUBICIN\ETOPOSIDE\PREDNISONE\VINCRISTINE	8	5.5915213	-1.0438286
CYCLOSERINE	9	-3.1895728	3.839846
CYCLOSPORINE	19	0.71401083	-1.4041018
CYNODON DACTYLON POLLEN	7	-0.213746	-3.5593705
CYPROHEPTADINE	0	-2.2861555	1.6781391
CYPROTERONE	0	-1.2496073	0.36279947
CYPROTERONE ACETATE	8	4.3843994	-1.1075847
CYPROTERONE;ETHINYLESTRADIOL	0	-2.421929	-1.5366225
CYTARABINE	19	3.3406885	0.08493223
CYTARABINE;DAUNORUBICIN	9	-1.401659	4.5364923
CYTOXAN_CYCLOPHOSPHAMIDE, MONOHYDRATE 1.00 G_POWDER FOR SOLUTION FOR I	8	3.4360802	0.38157493
DABIGATRAN	19	3.5129514	-0.36181372
DABRAFENIB	19	1.5555867	0.4096216
DABRAFENIB, TRIAL	7	0.76442426	0.25909162
DACARBAZINE	9	-0.29939333	2.6150687
DACLATASVIR	6	-0.8483909	1.3514099
DACLIZUMAB	18	-3.1404214	0.29163513
DACOMITINIB	5	-4.704599	1.8494847
DACTINOMYCIN	9	-0.23508622	3.6969619
DALBAVANCIN	7	-4.0456443	1.2612891
DALFAMPRIDINE	18	-2.9990997	-1.1035379
DALPICICLIB ISETHIONATE	8	5.8333035	-1.4180485
DALTEPARIN	19	0.29608393	0.38377452
DANAPAROID	9	2.9894834	4.2764235
DANAZOL	9	-2.3988168	2.407771
DANICOPAN	8	1.7794098	0.6597326
DANTROLENE	5	-4.765105	1.2232988
DANTROLENE SODIUM	1	2.4291012	-1.3049934
DAPAGLIFLOZIN	19	2.188256	-0.56940216
DAPAGLIFLOZIN;METFORMIN	6	-2.5624354	1.3599687
DAPRODUSTAT	13	1.1807809	0.105952114
DAPSONE	18	-1.6855022	-0.26826912
DAPSONE\FERROUS OXALATE	8	5.2363725	-0.87962824
DAPTOMYCIN	19	0.50297546	2.4860954
DARATUMUMAB	19	2.4589875	0.43275777
DARATUMUMAB;HYALURONIDASE	15	-4.705159	1.7767266
DARBEPOETIN ALFA	19	1.0814795	0.3504109
DARIDOREXANT	18	-3.136384	-0.9598984
DARIFENACIN	0	-3.0572035	0.026070079
DARIFENACIN HYDROBROMIDE	3	3.2258356	0.90822
DAROLUTAMIDE	18	-2.5786092	-0.27148262
DARUNAVIR	19	0.8722505	1.3411866
DARUNAVIR;RITONAVIR	17	-0.23851278	2.663836
DARVOCET /00220901/	17	2.2409542	2.0847719
DARVON /00018802/	17	0.9990223	2.0416462
DASABUVIR	6	0.16452175	1.8704866
DASABUVIR;OMBITASVIR;PARITAPREVIR;RITONAVIR	18	0.12765	-0.476262
DASATINIB	19	1.4005573	-0.14288066
DATOPOTAMAB DERUXTECAN	9	-2.8988702	1.0147915
DAUNORUBICIN	19	1.9812797	2.1555212
DAUNORUBICIN HYDROCHLORIDE	9	0.9809224	2.0948644
DECITABINE	9	-0.89666283	4.2342987
DEFERASIROX	19	1.1041137	-0.036431346
DEFERASIROX, TRIAL	9	-2.4617424	2.599286
DEFERIPRONE	15	-4.233175	0.6355966
DEFEROXAMINE	9	-4.235379	2.2787673
DEFIBROTIDE	9	0.04899444	4.3192534
DEFLAZACORT	15	-4.0956583	-1.0962037
DEGARELIX	6	-2.643985	0.95778054
DELAFLOXACIN	5	-2.6699178	0.2545283
DELAMANID	6	-1.1518583	3.7644842
DELANDISTROGENE MOXEPARVOVEC	5	-2.2136512	1.5511352
DELAVIRDINE	8	4.788393	-0.29855302
DELORAZEPAM	0	-0.6896245	5.145733
DEMCIZUMAB	1	2.010013	-0.8107512
DEMECLOCYCLINE	2	4.0242305	-2.592006
DEMETHYL PODOPHYLLOTOXIN BENZYLIDENE GLUCOSID;PODOPHYLLOTOXIN	7	-0.08233668	-1.0101216
DENOSUMAB	19	3.8592494	-1.35962
DENTAL CARE	18	-1.388871	-2.0025296
DEOXYCHOLIC ACID	12	-2.831374	-3.6773953
DEQUALINIUM	8	4.814615	-0.017013898
DERMATOPHAGOIDES FARINAE\DERMATOPHAGOIDES PTERONYSSINUS	7	0.87374014	-1.6057668
DERMATOPHAGOIDES PTERONYSSINUS	7	2.6545131	-3.6659403
DESFLURANE	17	1.4718809	3.9243205
DESIPRAMINE	17	-1.4021329	4.5722513
DESLORATADINE	18	-0.672795	1.5821595
DESMETHYLDOXEPIN	3	5.4301043	1.726282
DESMETRAMADOL	3	4.74676	1.8176092
DESMOPRESSIN	18	-0.36144647	1.3957236
DESMOPRESSIN ACETATE	1	3.6310487	0.39725268
DESOGESTREL	0	-3.580679	3.0917995
DESOGESTREL;ETHINYLESTRADIOL	4	-1.6612134	-2.72451
DESOGESTREL\ETHINYL ESTRADIOL	13	-0.92865366	0.6938333
DESONIDE	16	-5.056673	-4.090055
DESOXIMETASONE	18	0.25146645	-2.8099635
DESOXIMETASONE;FRAMYCETIN;GRAMICIDIN	4	-3.3066475	-4.6582727
DESPROPIONYLFENTANYL	3	5.359055	1.9672985
DESVENLAFAXINE	18	0.1302785	-0.84671664
DESVENLAFAXINE SUCCINATE	1	-0.8157438	-0.84128344
