drug	cluster	pca1	pca2
AMLODIPINE BESYLATE\BENAZEPRIL HYDROCHLORIDE	1	3.5626416	-1.9893708
AMLODIPINE BESYLATE\PERINDOPRIL TOSYLATE	14	-2.3582122	-3.4356048
AMLODIPINE;ATORVASTATIN	15	-4.673073	-0.9595301
AMLODIPINE;BENAZEPRIL	15	-3.9258404	0.6958864
AMLODIPINE;CANDESARTAN	0	-2.1621504	-0.017534241
AMLODIPINE;HYDROCHLOROTHIAZIDE;OLMESARTAN	6	-3.9878092	1.1618236
AMLODIPINE;HYDROCHLOROTHIAZIDE;VALSARTAN	18	-1.1602789	-0.95545363
AMLODIPINE;INDAPAMIDE;PERINDOPRIL	14	-4.3931046	3.3588586
AMLODIPINE;LISINOPRIL	0	-1.451826	0.38073117
AMLODIPINE;OLMESARTAN	6	-3.2287385	4.055077
AMLODIPINE;PERINDOPRIL	17	0.6324374	5.893499
AMLODIPINE;RAMIPRIL	6	0.9839768	2.1980908
AMLODIPINE;TELMISARTAN	10	-2.029984	2.3868287
AMLODIPINE;VALSARTAN	18	0.4781458	-0.0069975834
AMLODIPINE\INDAPAMIDE	8	4.6633296	1.4261324
AMMONIUM CHLORIDE	11	-1.6079594	-0.97902536
AMMONIUM CHLORIDE\DIPHENHYDRAMINE HYDROCHLORIDE\MENTHOL\SODIUM CITRATE	4	-6.076914	-3.619074
AMMONIUM LACTATE	1	3.7059267	-1.9703679
AMMONIUM;CHLORPHENIRAMINE\SODIUM CITRATE	11	-1.2077229	0.22257897
AMOXAPINE	3	5.9566016	1.402472
AMOXICILLIN	19	2.6984196	-1.2977958
AMOXICILLIN;CLARITHROMYCIN;ESOMEPRAZOLE	14	-3.1117444	-2.9011168
AMOXICILLIN;CLARITHROMYCIN;LANSOPRAZOLE	8	3.3120573	2.360111
AMOXICILLIN;CLARITHROMYCIN;RABEPRAZOLE	8	3.594372	-1.2035466
AMOXICILLIN;CLAVULANIC ACID	19	2.550518	-0.3447028
AMOXICILLIN;METRONIDAZOLE;RABEPRAZOLE	8	6.3215485	-1.7788072
AMOXICILLIN;OMEPRAZOLE;RIFABUTIN	5	-4.1847043	-1.9812628
AMOXICILLIN\CLARITHROMYCIN\OMEPRAZOLE	14	-1.5312562	-3.6671011
AMOXICILLIN\CLAVULANIC ACID	7	-4.2824826	-1.1320516
AMPHETAMINE ASPARTATE MONOHYDRATE\AMPHETAMINE SULFATE\DEXTROAMPHETAMINE SACCHARATE\DEXTROAMPHETAMINE SULFATE	1	3.876934	-1.9011964
AMPHETAMINE ASPARTATE\AMPHETAMINE SULFATE\DEXTROAMPHETAMINE SACCHARATE\DEXTROAMPHETAMINE SULFATE	0	-4.2782097	0.5911983
AMPHETAMINE SULFATE	3	6.603148	2.9182346
AMPHETAMINE SULFATE\DEXTROAMPHETAMINE	3	5.959669	1.325088
AMPHETAMINE\DEXTROAMPHETAMINE	1	-0.44095227	-0.4846028
AMPHOTERICIN B	19	2.1802258	1.9376183
AMPHOTERICIN B;TETRACYCLINE	8	5.0067945	3.4350567
AMPICILLIN	6	-0.2054293	0.97616243
AMPICILLIN SODIUM	7	-2.4228964	-3.1248744
AMPICILLIN TRIHYDRATE	2	4.3694267	-2.4315748
AMPICILLIN;SULBACTAM	0	-1.297875	3.6918201
AMPRENAVIR	9	1.1097791	2.333005
AMRUBICIN	1	2.4229932	-0.40294012
AMSACRINE	9	0.14150706	3.8817012
AMYL NITRITE	8	6.462207	-1.856319
AMYLASE;MULTIENZYMES	15	-3.027996	-1.3567654
ANAGRELIDE	6	-2.3428156	4.2942324
ANAGRELIDE HYDROCHLORIDE	8	3.0243645	0.11228796
ANAGRELIDE, TRIAL	5	-1.1728355	0.39561868
ANAKINRA	19	1.2353543	-0.81242436
ANALGESICS, UNSPECIFIED	15	-4.5382247	-1.3293525
ANAMORELIN	8	4.04045	0.114266016
ANAS PLATYRHYNCHOS FEATHER\ANSER ANSER FEATHER\GALLUS GALLUS FEATHER	7	1.7285014	-2.1213944
ANASTROZOLE	19	1.6890224	-0.80959594
ANDEXANET ALFA	13	2.4277177	2.7278795
ANDROSTANOLONE	8	6.177966	-1.9727327
ANESTHETICS, UNSPECIFIED	1	3.4422724	-1.9424444
ANETHOLE	14	1.0248481	1.15403
ANETHOLE TRITHIONE	3	5.726491	1.8790891
ANGELICA SPP;ATRACTYLODES SPP;BUPLEURUM SPP;CNIDIUM SPP;GLYCYRRHIZA SPP;PORIA SPP;UNCARIA SPP	13	2.9881577	-0.6658726
ANGIOTENSIN CONVERTING ENZYME INHIBITORS, UNSPECIFIED	3	5.5231028	0.7095678
ANGIOTENSIN II	13	1.4743621	0.35361683
ANHYDROUS DEXTROSE\CALCIUM CHLORIDE\MAGNESIUM CHLORIDE\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE	8	4.346974	1.3466076
ANIDULAFUNGIN	9	-0.096393004	3.4137793
ANIFROLUMAB	15	-6.032567	-1.9237878
ANTHOXANTHUM SPP;DACTYLIS SPP;LOLIUM SPP;PHLEUM SPP;POA SPP	7	-3.3149695	-2.0265245
ANTI-D IMMUNOGLOBULIN	4	-3.396124	-1.6450814
ANTIBIOTICS, UNSPECIFIED	15	-4.73246	-1.7005911
ANTIDEPRESSANTS, UNSPECIFIED	3	4.4601583	3.2537766
ANTIHEMORRHOIDS, UNSPECIFIED	4	-2.308338	-4.1272664
