drug_name	pt	ror_female	ror_male	log_ror_ratio	a_female	a_male
METHYLPREDNISOLONE SODIUM SUCCINATE	Obesity	38.08426997414526	0.8669836597697108	3.7825364845531393	453	11
FOLIC ACID	Glossodynia	69.15714421360155	1.5760558235789304	3.7814559556434895	6690	43
USTEKINUMAB	Duodenal ulcer perforation	179.63673140228394	4.119620164949315	3.7751756866493333	2335	10
CHLORHEXIDINE GLUCONATE	Sleep disorder	59.49048933968505	1.374090226242047	3.768024598257808	1384	10
MYCOPHENOLATE MOFETIL	Prescribed underdose	9.856393535054158	0.22956792446225074	3.7596766605849052	450	10
CETIRIZINE HYDROCHLORIDE	Contraindicated product administered	37.62807522407838	0.8768838193592828	3.759131223719845	5231	33
GOLIMUMAB	Injury	15.48024411006555	0.3614635824705726	3.757158619933004	2219	14
CANDESARTAN	Taste disorder	30.76257034345012	0.7203489494050617	3.754318234803282	544	10
SULFAMETHOXAZOLE	Swelling	74.23184625464182	1.7453824916692424	3.75021952833329	1836	19
SECUKINUMAB	Liver injury	28.512039140621933	0.6707315493625856	3.749712721592192	2226	38
FOLIC ACID	Sleep disorder due to general medical condition, insomnia type	55.98419694525758	1.3206172746016198	3.746970193937517	1984	10
CHLORHEXIDINE	Infusion related reaction	125.8174261651598	2.973359007629855	3.7451395647088432	1690	14
RITUXIMAB	Peripheral venous disease	81.79455224046096	1.9344439765396257	3.7443907083004215	1182	14
SULFASALAZINE	Irritable bowel syndrome	57.638683371041296	1.3742120844157661	3.7363133912329145	2923	10
GOLIMUMAB	Wheezing	11.266171881018455	0.2707098293754653	3.7285123690369013	1813	11
ALFUZOSIN	Dementia	52.49710850616171	1.2704126729920167	3.7214163049547944	24	15
DIPYRIDAMOLE	Constipation	32.38543877841514	0.7842801931588764	3.720697834606162	483	10
RITUXIMAB	Wound	53.58373543422058	1.3017995736131782	3.7174979840173425	5553	88
SECUKINUMAB	Lip dry	41.47049470476604	1.0080866169763936	3.7169281079099235	1407	15
RAMIPRIL	Muscle injury	51.0762550395661	1.243812183021383	3.715138708244737	1111	11
