drug_name	n_signals	n_female_higher	n_male_higher	mean_log_ratio	max_log_ratio	min_log_ratio	female_pct
FLUOROURACIL	239	144	95	0.15853979227608903	2.015668478512024	-3.8572973700173385	60.3
NIVOLUMAB	238	159	79	0.2989640141027489	1.7836890158746659	-1.6574685663910724	66.8
CITALOPRAM	237	134	103	0.08396415168692255	2.7009555645148335	-2.881660678443437	56.5
ALPRAZOLAM	237	178	59	0.5000338258610004	2.5928011508546502	-1.8071574389666651	75.1
DENOSUMAB	234	54	180	-0.6176900141536936	1.9871674124789647	-5.346257577321847	23.1
VEDOLIZUMAB	233	163	70	0.39570726702128733	3.004470210707698	-1.8182834992601298	70.0
AMIODARONE	228	133	95	0.12254010515063798	3.266490448458771	-2.78324971435721	58.3
DOXYCYCLINE	223	131	92	0.46240001921180124	3.2341712210480456	-2.5039173159380486	58.7
FLUTICASONE	221	74	147	-0.37836920260152607	2.4126145195681428	-2.690661963900627	33.5
DIPHENHYDRAMINE	220	170	50	0.7714551578248031	2.5816343863757174	-2.1399395912715944	77.3
WARFARIN	220	125	95	0.03239463101608861	2.7661279719964056	-2.3432916004229005	56.8
CISPLATIN	219	167	52	0.4888955366687423	1.8806915691036965	-1.5710545567242338	76.3
CALCIUM	219	88	131	-0.25804704704056153	3.3741169528882207	-4.2056532861363864	40.2
VALSARTAN	219	108	111	-0.008461746319163627	2.062083360096587	-2.2027954657367355	49.3
SOMATROPIN	218	137	81	0.1737176285027822	1.8177220878950318	-2.12710098104054	62.8
ESCITALOPRAM	217	61	156	-0.518138727055339	1.5942739280021616	-3.6241377612020553	28.1
CARBIDOPA;LEVODOPA	217	134	83	0.10129694874735336	2.166311222036084	-6.447123659548959	61.8
ISOTRETINOIN	217	20	197	-0.7598423331994697	1.4356113620501667	-3.624357147099871	9.2
APREMILAST	214	143	71	0.7935461468581326	3.9708246605864597	-2.1099342449482554	66.8
AMOXICILLIN	212	91	121	-0.1255909939651179	2.3603133994338896	-2.0320853171530078	42.9
OCTREOTIDE	211	111	100	0.04211702288008817	1.7455575789298523	-2.237830021088347	52.6
ALLOPURINOL	210	123	87	0.12772958549412267	2.9437796595978414	-2.804799278824265	58.6
METRONIDAZOLE	209	50	159	-0.6263302067223834	2.2684099156954733	-3.2054685737964927	23.9
BORTEZOMIB	209	157	52	0.5021378175137902	2.2844937124657534	-1.6076976854717275	75.1
FLUOXETINE	204	74	130	-0.2914134674325452	1.77550903800747	-2.34277430170878	36.3
TOPIRAMATE	200	96	104	0.05777390215794007	2.930914069054039	-2.7535144804948404	48.0
IRON	198	57	141	-0.6743083689180343	2.2514542001077076	-3.937068521698315	28.8
CANDESARTAN	198	104	94	0.18861827048899923	3.218650054787261	-2.8214038289666483	52.5
HYDROCODONE;PARACETAMOL	197	149	48	0.4147653821246542	1.621681055312083	-2.963185807249659	75.6
ALEMTUZUMAB	195	144	51	0.41723373431914806	2.0884836340073996	-1.7899164086809298	73.8
MIRTAZAPINE	193	110	83	0.12071267477160935	3.152070721732743	-2.049916939698008	57.0
VANCOMYCIN	191	146	45	0.48874867534379646	2.4455942175508345	-1.8826972178575327	76.4
CODEINE	190	144	46	0.8320399804637116	2.7645930082569077	-3.2410779703968657	75.8
DULOXETINE	189	85	104	-0.1575401432676608	1.8776152747159323	-2.806165188725237	45.0
AMITRIPTYLINE	189	102	87	0.08749739857808224	2.629770052673325	-2.4486835493823453	54.0
AZITHROMYCIN	189	77	112	-0.08490625222240777	2.4484742878159365	-3.1533434007337036	40.7
MESALAZINE	188	101	87	0.20571792669207445	3.0397591520538767	-2.775033132289015	53.7
CORTISONE	188	86	102	-0.23388007479423892	3.918416278449903	-3.977155071053563	45.7
METHOTREXATE SODIUM	186	16	170	-0.7377643102534356	1.3085670631793436	-1.801384529435732	8.6
PAROXETINE	186	90	96	-0.028459601353228416	2.2758584847937753	-1.9238453072644581	48.4
IBRUTINIB	186	120	66	0.2457756252398331	2.7419531339553824	-1.5439565123737358	64.5
FLUDARABINE	184	155	29	0.7032456207740737	3.266895338513884	-2.205516955870026	84.2
UPADACITINIB	181	44	137	-0.41709966533361764	1.2791550378109127	-1.5016706748361548	24.3
RIBAVIRIN	181	118	63	0.2091582113409631	1.3809100398958876	-3.5393642618959316	65.2
EMTRICITABINE;TENOFOVIR	181	86	95	0.04493989684753397	2.5496165745646535	-1.8961191972973412	47.5
CARBAMAZEPINE	180	70	110	-0.17731311165628816	3.3997690867971446	-2.361406352427674	38.9
DABIGATRAN	176	140	36	0.4630212848459518	2.395970515371636	-1.2570026588359418	79.5
CLARITHROMYCIN	175	65	110	-0.24101439913247877	2.435419871064155	-2.792969381004838	37.1
MOXIFLOXACIN	175	103	72	0.2483898299370124	3.1624045737545603	-3.887231855751287	58.9
FLUTICASONE;VILANTEROL	175	33	142	-0.7227570318470353	1.5301533398741138	-2.931639591919023	18.9
FOLINIC ACID	175	114	61	0.23187127009467234	1.740645910274743	-3.7812132947303985	65.1
BUPROPION	174	94	80	0.08156141475490408	2.6574272938686674	-3.051322336655407	54.0
GEMCITABINE	173	133	40	0.5178777943622063	1.9574638568721872	-1.3792487817148826	76.9
HYDROCHLOROTHIAZIDE	171	70	101	-0.16748997138475238	2.661321265184321	-2.5682397460794233	40.9
TRIAMCINOLONE	170	102	68	0.7006070335917893	3.570771759849137	-3.479686288956522	60.0
INTERFERON BETA-1A	170	22	148	-0.6031996920190307	1.2197617060836392	-2.4743487247168625	12.9
ANTITHYMOCYTE IMMUNOGLOBULIN	169	133	36	0.6098523582261663	3.656228644723353	-1.562463578183416	78.7
DILTIAZEM	169	113	56	0.5072146182634624	3.414046337096921	-3.0097264416445775	66.9
BACLOFEN	168	83	85	-0.1264297861746298	2.2355329757042464	-4.061585175564142	49.4
VENETOCLAX	168	121	47	0.41064834085657376	1.5286104981805615	-1.1309672533973838	72.0
CEFTRIAXONE	167	107	60	0.13459163908045188	2.872264234944467	-3.8935619951784783	64.1
TREPROSTINIL	165	53	112	-0.31640930519803906	1.3061525579947106	-1.84520209696741	32.1
