adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Flushing	96	32	64	-0.20746615356089956	96	33.3
Hospitalisation	96	64	32	0.2944224733121538	96	66.7
Influenza like illness	96	37	59	-0.10458201614469505	96	38.5
Liver function test increased	96	53	43	0.3462016623790964	96	55.2
Cardiogenic shock	95	52	43	-0.153666852861313	95	54.7
Oxygen saturation decreased	95	55	40	0.08980647673112777	95	57.9
Disease recurrence	95	28	67	-0.4105234382389374	95	29.5
Osteoarthritis	95	54	41	0.4345406231359272	95	56.8
White blood cell count increased	94	77	17	0.7197113277380153	94	81.9
Infusion related reaction	94	63	31	1.2519532155750368	94	67.0
Hepatic failure	93	69	24	0.42521183933653217	93	74.2
Hepatotoxicity	93	63	30	0.3945197400642737	93	67.7
Renal disorder	92	63	29	0.3002017756661196	92	68.5
Encephalopathy	92	76	16	0.6199535778648921	92	82.6
Impaired healing	92	42	50	0.5262657604212649	92	45.7
Suicidal ideation	92	38	54	-0.10593265299370408	92	41.3
Obesity	91	64	27	1.0652910940236835	91	70.3
Abdominal pain lower	91	2	89	-0.9846730578095907	91	2.2
Hepatic cytolysis	90	47	43	0.030614159823070322	90	52.2
Oropharyngeal pain	89	24	65	-0.4570143647017224	89	27.0
Eczema	89	32	57	-0.3621973761640415	89	36.0
Ulcer	89	32	57	-0.4415762725794084	89	36.0
Nightmare	89	18	71	-0.9807254571549398	89	20.2
Injury	89	47	42	0.6303353870719729	89	52.8
Arrhythmia	88	49	39	0.05739151726176912	88	55.7
Fluid retention	88	68	20	0.7785828576978705	88	77.3
Acute respiratory failure	88	69	19	0.43860750741716215	88	78.4
Speech disorder	88	32	56	-0.2992297269156477	88	36.4
Obstructive airways disorder	88	26	62	-0.6589819108918062	88	29.5
Shock	88	62	26	0.31853339450179696	88	70.5
Sleep apnoea syndrome	87	49	38	0.3098257023894326	87	56.3
Cellulitis	87	41	46	-0.12271837982764788	87	47.1
Dysgeusia	87	38	49	-0.25761477832929497	87	43.7
Chronic kidney disease	87	71	16	0.6054316238163955	87	81.6
Depressed mood	87	32	55	-0.22823053054242307	87	36.8
Cerebral haemorrhage	86	76	10	0.6076532492238976	86	88.4
Incorrect dose administered	86	35	51	-0.334438198840531	86	40.7
Illness	86	27	59	-0.3207984684970568	86	31.4
Cerebral infarction	85	72	13	0.6139154386748951	85	84.7
Disorientation	85	55	30	0.2753606192186615	85	64.7
Psychotic disorder	84	58	26	0.3220142579408531	84	69.0
Lethargy	84	49	35	0.12634163175149707	84	58.3
Road traffic accident	84	63	21	0.9758803699372471	84	75.0
Mental status changes	84	67	17	0.4320556468355003	84	79.8
Epilepsy	83	58	25	0.9120658881890935	83	69.9
Hyperglycaemia	83	58	25	0.4364471194683697	83	69.9
Ventricular tachycardia	83	63	20	0.5200420798122124	83	75.9
Skin discolouration	83	31	52	-0.21196795362359114	83	37.3
Irritability	83	15	68	-0.5188489154923996	83	18.1
Liver function test abnormal	82	45	37	0.14336060516696109	82	54.9
White blood cell count decreased	82	24	58	-0.3605167918483777	82	29.3
Maternal exposure during pregnancy	82	31	51	-0.41578510836783833	82	37.8
Respiratory distress	81	39	42	-0.04822232385129718	81	48.1
Body temperature increased	81	43	38	0.17020603459938494	81	53.1
Sleep disorder due to a general medical condition	81	31	50	-0.2882997544608492	81	38.3
Herpes zoster	81	22	59	-0.4724973060062305	81	27.2
Full blood count abnormal	80	24	56	-0.6691396317885296	80	30.0
Movement disorder	80	33	47	-0.19798499742998277	80	41.2
Emotional disorder	79	65	14	0.5503323782031606	79	82.3
Heart rate decreased	79	42	37	0.05105122885732083	79	53.2
Pancreatitis acute	79	49	30	0.21978261717838998	79	62.0
Pericarditis	79	38	41	0.8241276657267705	79	48.1
Neuralgia	79	9	70	-1.0363102656892342	79	11.4
Respiratory arrest	79	54	25	0.2501913771281478	79	68.4
Hypercholesterolaemia	79	43	36	0.5703098676235576	79	54.4
Agranulocytosis	77	54	23	0.3834880748948595	77	70.1
Crohn's disease	77	57	20	0.7023428723879702	77	74.0
Aspiration	77	61	16	0.7038034213492169	77	79.2
Acute myocardial infarction	76	62	14	0.5754587191929498	76	81.6
Bacterial infection	76	16	60	-0.8559917735694933	76	21.1
Transient ischaemic attack	76	35	41	-0.20101502002726107	76	46.1
Accidental overdose	76	38	38	-0.1500620749948494	76	50.0
Injection site pain	76	25	51	-0.3298086528937104	76	32.9
Circulatory collapse	76	51	25	0.3087762855221378	76	67.1
Jaundice	75	54	21	0.37830019727744746	75	72.0
Pericardial effusion	75	40	35	0.05439894798421983	75	53.3
Colitis ulcerative	75	51	24	0.6044023601850614	75	68.0
Nephrolithiasis	74	29	45	-0.3795188814841357	74	39.2
Restlessness	74	48	26	0.22627856346196962	74	64.9
Low birth weight baby	74	35	39	-0.2816844522729142	74	47.3
Renal failure acute	74	65	9	0.6682937812753045	74	87.8
Blood bilirubin increased	73	52	21	0.5159067564672696	73	71.2
Rash pruritic	73	49	24	0.3437645176340626	73	67.1
Dementia	73	51	22	0.34748735638686573	73	69.9
Drug eruption	73	50	23	0.3483876569350439	73	68.5
Hypoacusis	73	40	33	-0.018022303658628086	73	54.8
Skin burning sensation	73	4	69	-0.8357976791011967	73	5.5
Neutrophil count decreased	72	39	33	0.102661162030583	72	54.2
Sedation	72	37	35	-0.09178932283981561	72	51.4
Orthostatic hypotension	72	54	18	0.8131747037767793	72	75.0
Nervousness	72	10	62	-0.5771815704202993	72	13.9
Eye irritation	71	10	61	-0.5624343475591448	71	14.1
Altered state of consciousness	71	55	16	0.4021499125190201	71	77.5
Systemic lupus erythematosus	71	32	39	-0.31143089637002835	71	45.1
Skin lesion	71	34	37	-0.022024127570586957	71	47.9
Anaphylactic shock	71	29	42	-0.2295786987371615	71	40.8
Gamma-glutamyltransferase increased	71	44	27	0.2494570788638859	71	62.0
Nervous system disorder	71	30	41	-0.14453443183527642	71	42.3
Stevens-Johnson syndrome	71	58	13	0.5447149386263085	71	81.7
Leukocytosis	70	36	34	-0.021693132925412792	70	51.4
Swollen tongue	70	25	45	-0.3342428675634508	70	35.7
