adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Thrombosis in device	5	4	1	0.4844029527619188	5	80.0
Blood creatinine abnormal	5	4	1	0.6637682550161459	5	80.0
Bone demineralisation	5	5	0	0.9026804758042231	5	100.0
Exposure via father	5	3	2	0.6752659145659294	5	60.0
Uhthoff's phenomenon	5	0	5	-0.7803733309021055	5	0.0
Arthropod sting	5	0	5	-0.6551792546668468	5	0.0
Glycosuria	5	5	0	1.208520159980549	5	100.0
Abnormal sensation in eye	5	1	4	-0.5900334599720403	5	20.0
Dysmorphism	5	3	2	0.24590469774977727	5	60.0
Carbon dioxide increased	5	0	5	-0.7310767411269578	5	0.0
Hodgkin's disease refractory	5	5	0	1.0258607010094085	5	100.0
Anticoagulation drug level above therapeutic	5	4	1	0.8516484505195894	5	80.0
Vascular graft	5	4	1	0.3901306038646476	5	80.0
Cardiac pacemaker insertion	5	2	3	-0.11885448622695372	5	40.0
Ear congestion	5	2	3	-0.00795014833803782	5	40.0
Application site dryness	5	4	1	0.4169953899520421	5	80.0
Anticonvulsant drug level above therapeutic	5	0	5	-0.8249484764271431	5	0.0
Emergency care	5	2	3	-0.20439330185660953	5	40.0
Cholecystitis infective	5	1	4	-0.4218496289612935	5	20.0
Human polyomavirus infection	5	5	0	0.9124141333613396	5	100.0
Barrett's oesophagus	5	3	2	0.07866545471999795	5	60.0
Cardiovascular insufficiency	5	2	3	-0.2078550351434842	5	40.0
Glomerulonephritis rapidly progressive	5	3	2	0.05668231428908297	5	60.0
T-cell lymphoma	5	5	0	0.8336857725005684	5	100.0
Trigger finger	5	1	4	-0.46541007969659953	5	20.0
Frustration	5	0	5	-0.8467195218376468	5	0.0
Visceral congestion	5	3	2	0.5653455978300412	5	60.0
Violence-related symptom	5	4	1	0.8232885718565368	5	80.0
Abdominal hernia	5	1	4	-0.7390803135046206	5	20.0
Antinuclear antibody positive	5	3	2	0.13947922766725385	5	60.0
Glomerulonephritis membranous	5	5	0	0.8246343493769519	5	100.0
Food craving	5	0	5	-0.8813267256153174	5	0.0
Blood thyroid stimulating hormone decreased	5	0	5	-0.8848471606702306	5	0.0
Clear cell renal cell carcinoma	5	5	0	1.0931354396952027	5	100.0
Smooth muscle cell neoplasm	5	4	1	0.47146165414339347	5	80.0
Conduction disorder	5	4	1	0.6239396686712733	5	80.0
Complications of transplanted kidney	5	4	1	0.5001084241291315	5	80.0
Allodynia	5	0	5	-0.9946064350386793	5	0.0
Drug withdrawal convulsions	5	3	2	0.12591745488749528	5	60.0
Bladder neoplasm	5	3	2	0.252327886840115	5	60.0
Feeling guilty	5	0	5	-0.9189384751570786	5	0.0
Hereditary angioedema	5	0	5	-0.8103431226554815	5	0.0
Strongyloidiasis	5	4	1	0.6257976059797057	5	80.0
Gastric perforation	5	1	4	-0.6321341806511185	5	20.0
Protein total abnormal	5	5	0	0.9828213134649934	5	100.0
Cleft palate	5	1	4	-0.3864916339751705	5	20.0
Glycosylated haemoglobin decreased	5	2	3	-0.04867495669576285	5	40.0
Foetal distress syndrome	5	1	4	-0.9335801139485526	5	20.0
Streptococcal sepsis	5	3	2	0.48993090630560265	5	60.0
Vasodilatation	4	1	3	-0.41624408399165624	4	25.0
Paresis	4	2	2	0.10618044082132219	4	50.0
Eosinophilic bronchitis	4	1	3	-1.7706457280626475	4	25.0
Autoimmune pancreatitis	4	4	0	0.679888772184567	4	100.0
Parkinson's disease psychosis	4	4	0	1.792081053011647	4	100.0
Keratopathy	4	3	1	0.38875895084129075	4	75.0
Labelled drug-drug interaction issue	4	1	3	-0.4204334753775273	4	25.0
Bacillus infection	4	3	1	0.6743077632759458	4	75.0
Endodontic procedure	4	0	4	-0.6801886908175876	4	0.0
Pustule	4	0	4	-0.8312017467165576	4	0.0
Pyoderma gangrenosum	4	0	4	-0.7450381711263843	4	0.0
B-cell type acute leukaemia	4	3	1	0.41503919495736874	4	75.0
Axillary pain	4	1	3	-0.6612081020447329	4	25.0
Swollen joint count increased	4	4	0	1.0910058510225737	4	100.0
Encephalitis viral	4	4	0	1.0524379257624559	4	100.0
Patient dissatisfaction with treatment	4	0	4	-1.146288897674863	4	0.0
Eosinophil count abnormal	4	2	2	0.15645743491153674	4	50.0
Large for dates baby	4	2	2	0.19130421794390384	4	50.0
Central nervous system infection	4	2	2	0.11667658056666222	4	50.0
Symmetrical drug-related intertriginous and flexural exanthema	4	2	2	-0.02019016139795282	4	50.0
Symptom masked	4	4	0	0.7074529025354457	4	100.0
Bacterial test positive	4	2	2	0.16586849934394604	4	50.0
Endotracheal intubation	4	3	1	0.19403290054141964	4	75.0
Parvovirus B19 infection	4	3	1	0.5192365679711963	4	75.0
Seborrhoea	4	0	4	-0.8613458351044285	4	0.0
Application site inflammation	4	2	2	-0.14435524264436828	4	50.0
Faeces hard	4	2	2	0.14433757783738288	4	50.0
Subclavian vein thrombosis	4	1	3	-0.43158882233334706	4	25.0
Fear of death	4	0	4	-0.9404742993136167	4	0.0
Intercepted medication error	4	3	1	0.09614687405290184	4	75.0
Arteriospasm coronary	4	2	2	0.12051592796291954	4	50.0
Fear of disease	4	0	4	-1.4593330930981658	4	0.0
Arterial haemorrhage	4	4	0	1.0083808061314001	4	100.0
Phaeohyphomycosis	4	4	0	0.7598182819515319	4	100.0
Stridor	4	1	3	-0.17220490708687286	4	25.0
Intellectual disability	4	4	0	0.9726972368058981	4	100.0
Arachnoiditis	4	1	3	-0.41359548626981435	4	25.0
Pharyngeal paraesthesia	4	0	4	-1.2535419230419975	4	0.0
Application site haemorrhage	4	2	2	-0.21789114946565702	4	50.0
Epstein Barr virus positive mucocutaneous ulcer	4	1	3	-0.6888303609416029	4	25.0
Food interaction	4	4	0	0.6719101513123737	4	100.0
Foot operation	4	2	2	0.09332542346058323	4	50.0
Injection site papule	4	0	4	-0.9096783344614034	4	0.0
Serum sickness	4	2	2	0.10357960554830573	4	50.0
Application site discolouration	4	0	4	-1.2563914007303318	4	0.0
Injection site necrosis	4	1	3	-0.4098911926207559	4	25.0
Foreign body	4	3	1	0.4781161639630094	4	75.0
Injection site infection	4	0	4	-0.7520384371833986	4	0.0
Plasmablastic lymphoma	4	3	1	0.5126704529862456	4	75.0
Platelet disorder	4	2	2	-0.14530635783299525	4	50.0
Aortic dissection	4	4	0	0.7730668835124698	4	100.0
Antipsychotic drug level decreased	4	4	0	1.2797272277910308	4	100.0
Subcutaneous haematoma	4	4	0	0.7740646837992844	4	100.0
Venous thrombosis limb	4	1	3	-0.5647446291316407	4	25.0
Faecal calprotectin increased	4	1	3	-0.3762900636538929	4	25.0
Intervertebral disc space narrowing	4	0	4	-1.7338199284783498	4	0.0
Epstein-Barr virus associated lymphoma	4	2	2	0.02717289754141472	4	50.0
Erythrodermic psoriasis	4	1	3	-0.4966452618437971	4	25.0
Escherichia test positive	4	3	1	0.31355844358489815	4	75.0
Vena cava thrombosis	4	0	4	-0.8105595074373795	4	0.0
Jarisch-Herxheimer reaction	4	3	1	0.3548888539304347	4	75.0
JC virus test positive	4	0	4	-0.9423224574718132	4	0.0
JC polyomavirus test positive	4	0	4	-0.8980322886429095	4	0.0
Excessive eye blinking	4	0	4	-0.9539768283324268	4	0.0
Aura	4	0	4	-0.8334866539497212	4	0.0
Expired drug administered	4	1	3	-0.36535952514867587	4	25.0
Iritis	4	0	4	-0.8824072182301536	4	0.0
Investigation abnormal	4	4	0	0.8046592715906247	4	100.0
Intussusception	4	4	0	0.9626709452564612	4	100.0
Intrusive thoughts	4	0	4	-1.152143423916741	4	0.0
Beta haemolytic streptococcal infection	4	0	4	-0.672520296247669	4	0.0
Atrophy	4	1	3	-0.3470527216185602	4	25.0
Suffocation feeling	4	0	4	-1.2109481772003252	4	0.0
Peripheral artery thrombosis	4	2	2	0.08958433155953568	4	50.0
Atrial tachycardia	4	0	4	-0.961304693699595	4	0.0
Eye contusion	4	0	4	-0.8361796852092359	4	0.0
Eye injury	4	2	2	0.31322642283224067	4	50.0
Aspirin-exacerbated respiratory disease	4	2	2	-0.06566894348292973	4	50.0
Eyelid irritation	4	0	4	-0.9662912607961196	4	0.0
Perirectal abscess	4	3	1	0.3072650102531258	4	75.0
Peritoneal dialysis complication	4	4	0	0.8798434783378847	4	100.0
Electrocardiogram ST segment depression	4	4	0	0.7764722401804706	4	100.0
Drug effect increased	4	0	4	-0.6269740986881716	4	0.0
Paranasal sinus discomfort	4	1	3	-0.1923469718247694	4	25.0
Microcytic anaemia	4	2	2	0.0260657447289232	4	50.0
Rehabilitation therapy	4	3	1	0.38168813462596923	4	75.0
Mucosal erosion	4	3	1	0.44860312583774375	4	75.0
Colonoscopy	4	0	4	-0.8068263860057313	4	0.0
Torticollis	4	1	3	-0.6175032849161148	4	25.0
Nodular regenerative hyperplasia	4	1	3	-0.6316590943972444	4	25.0
Non-cardiac chest pain	4	2	2	-0.049692502611307754	4	50.0
Complications of transplanted heart	4	4	0	0.8927308939774505	4	100.0
Tooth discolouration	4	0	4	-1.1019210696228796	4	0.0
Mitochondrial toxicity	4	2	2	-0.06132754107961824	4	50.0
Nosocomial infection	4	1	3	-0.23741093988278633	4	25.0
Bronchiolitis obliterans syndrome	4	2	2	-0.2188763614762087	4	50.0
Resting tremor	4	3	1	0.5376900263513131	4	75.0
Obsessive thoughts	4	0	4	-0.6102268494894334	4	0.0
Total lung capacity increased	4	4	0	0.7326141038366618	4	100.0
Corneal oedema	4	1	3	-0.3714404876281907	4	25.0
Breast mass	4	1	3	-0.9124165074476726	4	25.0
Resuscitation	4	1	3	-0.3455134318610583	4	25.0
Costochondritis	4	0	4	-1.3342339252954016	4	0.0
Thyroid mass	4	0	4	-1.4786740970623833	4	0.0
Breakthrough pain	4	2	2	-0.004124874522450639	4	50.0
Thyroid hormones increased	4	2	2	-0.1717579233862513	4	50.0
Red blood cell count increased	4	3	1	0.39564555869939266	4	75.0
Cutaneous T-cell lymphoma	4	4	0	0.7524928747333979	4	100.0
Thyroid function test abnormal	4	0	4	-0.7512164987641337	4	0.0
Brain midline shift	4	4	0	0.9383514893954175	4	100.0
Unmasking of previously unidentified disease	4	2	2	0.006161123483894193	4	50.0
CSF HIV escape syndrome	4	4	0	1.525315393144969	4	100.0
Colectomy	4	1	3	-0.5438834187375255	4	25.0
Cystitis viral	4	4	0	0.6738934780304039	4	100.0
Mycobacterium marinum infection	4	1	3	-0.03791924971235727	4	25.0
Renal failure chronic	4	2	2	0.1763818737240578	4	50.0
Cerebellar syndrome	4	3	1	0.3191983277814018	4	75.0
Narcotic bowel syndrome	4	3	1	0.6061984436462396	4	75.0
Nephrogenic anaemia	4	3	1	0.5590640679078143	4	75.0
Carotid artery stenosis	4	2	2	0.07795808339783217	4	50.0
Transitional cell carcinoma	4	4	0	0.8024514473678284	4	100.0
Change in seizure presentation	4	4	0	0.6664858222103502	4	100.0
Carotid arteriosclerosis	4	0	4	-0.8427352728113533	4	0.0
Myocardial fibrosis	4	4	0	1.0927173681840228	4	100.0
Cholecystitis chronic	4	0	4	-2.147907766822761	4	0.0
Myelitis transverse	4	2	2	-0.07996690835988207	4	50.0
Renal cancer metastatic	4	4	0	1.0196023302528725	4	100.0
Neurogenic bladder	4	0	4	-0.9638463390196139	4	0.0
Cogwheel rigidity	4	4	0	0.9226687373566793	4	100.0
Mycobacterium chelonae infection	4	2	2	-0.028610304323859748	4	50.0
Mycobacterium abscessus infection	4	3	1	0.5817570503025907	4	75.0
Tuberculin test positive	4	3	1	0.24785169490106118	4	75.0
Tracheobronchitis	4	2	2	-0.09051636024978332	4	50.0
Tuberculosis gastrointestinal	4	1	3	-0.41442187700695343	4	25.0
Chronic myelomonocytic leukaemia	4	4	0	1.3067940900777026	4	100.0
Campylobacter gastroenteritis	4	3	1	0.20075220332878055	4	75.0
Muscle contracture	4	0	4	-0.6877692446805975	4	0.0
Cleft lip and palate	4	3	1	0.23042075739539813	4	75.0
Toxic leukoencephalopathy	4	3	1	0.4468187013374636	4	75.0
Coarctation of the aorta	4	2	2	0.17958287783839844	4	50.0
Coccidioidomycosis	4	3	1	0.39484584608467943	4	75.0
Oesophageal disorder	4	1	3	-0.40013597930948414	4	25.0
Cystoid macular oedema	4	0	4	-0.9025314535743894	4	0.0
Varicella	4	2	2	0.023925309052255095	4	50.0
Blast cell crisis	4	4	0	1.0173005151891257	4	100.0
Loss of therapeutic response	4	0	4	-0.9631052775379012	4	0.0
Loose tooth	4	0	4	-0.7800379346575066	4	0.0
Disseminated mycobacterium avium complex infection	4	3	1	0.6499962341209874	4	75.0
Oxygen saturation abnormal	4	1	3	-0.5009378648994409	4	25.0
Drug abuser	4	1	3	-0.39066079733386216	4	25.0
Oxygen therapy	4	1	3	-0.3533659058242581	4	25.0
Drug administered at inappropriate site	4	1	3	-0.3763229658193367	4	25.0
Drug detoxification	4	3	1	0.40021717243590976	4	75.0
Lipoma	4	0	4	-0.9094557318777295	4	0.0
Drug dose omission by device	4	2	2	-0.02997010469808764	4	50.0
Palliative care	4	3	1	0.6171779025451032	4	75.0
Drug screen negative	4	4	0	0.7367657415958743	4	100.0
Pancreatic carcinoma stage IV	4	2	2	0.023003978270881464	4	50.0
Lung diffusion test decreased	4	2	2	-0.061421941769072064	4	50.0
Duodenal perforation	4	3	1	0.6334957891701312	4	75.0
Duodenal ulcer haemorrhage	4	3	1	0.3956350850331526	4	75.0
VIIth nerve paralysis	4	0	4	-0.6685579949253326	4	0.0
Lichen planus	4	1	3	-0.619619003355644	4	25.0
Dyschezia	4	3	1	0.2639187081142369	4	75.0
Pancreatitis chronic	4	1	3	-0.3466366347439948	4	25.0
Scedosporium infection	4	3	1	0.8210291593256804	4	75.0
Lentigo	4	1	3	-0.5403866406119774	4	25.0
Legionella infection	4	3	1	0.6161759953527621	4	75.0
Leg amputation	4	4	0	0.7527842619759963	4	100.0
Ear swelling	4	0	4	-0.8389438042964946	4	0.0
Bile duct obstruction	4	2	2	-0.05871444382604815	4	50.0
Blood pressure systolic abnormal	4	1	3	-0.6259773246256338	4	25.0
Blood sodium increased	4	2	2	-0.10551275845860186	4	50.0
Megacolon	4	3	1	0.2643431937465834	4	75.0
Dental care	4	0	4	-0.880060991972598	4	0.0
Cytomegalovirus gastritis	4	4	0	0.893506979094183	4	100.0
Cytomegalovirus hepatitis	4	3	1	0.3747178255412817	4	75.0
Cytomegalovirus oesophagitis	4	4	0	0.7394747486955633	4	100.0
Upper respiratory tract inflammation	4	3	1	0.7226945796527371	4	75.0
Ureaplasma infection	4	1	3	-0.4529642213088756	4	25.0
Reversible cerebral vasoconstriction syndrome	4	0	4	-0.9553196944020179	4	0.0
Dacryostenosis acquired	4	1	3	-0.9247043132471404	4	25.0
Rhesus incompatibility	4	0	4	-0.7416942021816535	4	0.0
Dactylitis	4	0	4	-1.1321128795572328	4	0.0
Opportunistic infection	4	1	3	-0.3426262818852851	4	25.0
Maternal exposure before pregnancy	4	0	4	-1.5716449535676231	4	0.0
Mastication disorder	4	1	3	-0.5192048087767864	4	25.0
Rectal cancer	4	2	2	-0.050119879429182224	4	50.0
Diabetic foot	4	4	0	0.7811828890096563	4	100.0
Bone cancer	4	1	3	-0.2574864706949835	4	25.0
Rhinalgia	4	0	4	-0.9536136141180316	4	0.0
Device adhesion issue	4	1	3	-0.30907136444573213	4	25.0
Oral pruritus	4	1	3	-0.5274663600089491	4	25.0
Device delivery system issue	4	3	1	0.46483324915829716	4	75.0
Bloody peritoneal effluent	4	4	0	0.7353489057200108	4	100.0
Rebound psychosis	4	4	0	0.8734172701195413	4	100.0
Lymphoma transformation	4	4	0	0.94059756909588	4	100.0
Device misuse	4	0	4	-1.3750723795768196	4	0.0
Richter's syndrome	4	4	0	1.1896569722132326	4	100.0
Orthostatic intolerance	4	2	2	0.21337638496294103	4	50.0
Osteitis	4	0	4	-0.9621384258640273	4	0.0
Antipsychotic drug level below therapeutic	4	0	4	-1.4163075739769613	4	0.0
Neck surgery	4	0	4	-0.7474044693384182	4	0.0
Spinal epidural haematoma	4	4	0	0.8593740583716223	4	100.0
Hernia repair	4	1	3	-0.7548668968059442	4	25.0
Idiopathic intracranial hypertension	4	1	3	-0.9275431360977997	4	25.0
Vitritis	4	2	2	0.015327555932495324	4	50.0
Polydactyly	4	4	0	1.2612567986262122	4	100.0
Herpes ophthalmic	4	0	4	-0.8893003698791704	4	0.0
Infertility	4	1	3	0.06150301065656605	4	25.0
Idiopathic pneumonia syndrome	4	4	0	1.3214555754659745	4	100.0
Hyperthermia malignant	4	1	3	-0.1273820041726086	4	25.0
Alveolitis	4	1	3	-0.4825667235649076	4	25.0
Wrong technique in device usage process	4	2	2	-0.11695840101850646	4	50.0
Vitreous haemorrhage	4	3	1	0.4115411214466047	4	75.0
Steatorrhoea	4	0	4	-0.90905626996856	4	0.0
Gastritis haemorrhagic	4	2	2	-0.021884215786646538	4	50.0
Ileal stenosis	4	3	1	0.1836942855377976	4	75.0
Immunosuppressant drug level increased	4	3	1	0.3746101689524074	4	75.0
Hip surgery	4	0	4	-0.8122274581943021	4	0.0
Ankle operation	4	0	4	-0.757435372235822	4	0.0
Gastric ulcer haemorrhage	4	3	1	0.428856247056674	4	75.0
Infusion related hypersensitivity reaction	4	2	2	0.04556145069434381	4	50.0
Gastric polyps	4	2	2	-0.06677938270621636	4	50.0
Vitreous detachment	4	0	4	-0.682157771745003	4	0.0
Pneumothorax spontaneous	4	3	1	0.4439454410595046	4	75.0
Adrenocortical insufficiency acute	4	2	2	0.08711494726986296	4	50.0
Pregnancy	4	0	4	-3.320054786994468	4	0.0
Immunisation	4	1	3	-0.4829276818702386	4	25.0
Hostility	4	4	0	0.999194893959784	4	100.0
Polyhydramnios	4	0	4	-2.567875075674137	4	0.0
Skin weeping	4	4	0	1.1793240201406985	4	100.0
Adrenocorticotropic hormone deficiency	4	4	0	0.7903429222621909	4	100.0
Hangover	4	0	4	-0.9732419652465527	4	0.0
Incision site pain	4	0	4	-1.5904534676704554	4	0.0
Spontaneous haemorrhage	4	4	0	2.2126118932481473	4	100.0
Incorrect dosage administered	4	3	1	0.5396513604544992	4	75.0
Hepatic pain	4	1	3	-0.45998745090379506	4	25.0
Spondyloarthropathy	4	1	3	-0.7226268522614933	4	25.0
Pulmonary arterial pressure increased	4	3	1	0.7372379266822274	4	75.0
Post-acute COVID-19 syndrome	4	0	4	-0.9643322148100943	4	0.0
Post herpetic neuralgia	4	2	2	-0.13317392627040764	4	50.0
Walking disability	4	2	2	-0.20118501568974273	4	50.0
Gaze palsy	4	1	3	-0.7669963722029552	4	25.0
Hepatitis B DNA increased	4	4	0	1.1386623800489892	4	100.0
Hypocoagulable state	4	4	0	0.8409274198256891	4	100.0
Glioblastoma	4	1	3	-0.5258987355842413	4	25.0
Acute abdomen	4	3	1	0.19451845270764961	4	75.0
Poor peripheral circulation	4	2	2	-0.03854572292162051	4	50.0
Hepatitis C RNA increased	4	4	0	1.3569190172467895	4	100.0
Gastrointestinal ulcer	4	2	2	-0.04852298270832456	4	50.0
Product counterfeit	4	2	2	0.012685686002056995	4	50.0
Glioblastoma multiforme	4	2	2	0.1605387552041021	4	50.0
Heart valve replacement	4	2	2	-0.03586337229896899	4	50.0
Implant site infection	4	1	3	-0.9942044321755554	4	25.0
Social problem	4	3	1	0.3842744967341618	4	75.0
Hepatitis toxic	4	2	2	-0.14531318823874362	4	50.0
Implant site extravasation	4	2	2	0.1864431363185038	4	50.0
Adjustment disorder	4	2	2	-0.2540848820076729	4	50.0
Housebound	4	0	4	-0.9076855830989675	4	0.0
Haemorrhagic transformation stroke	4	4	0	0.6967669968736941	4	100.0
Pneumonia pseudomonal	4	3	1	0.39669102739257694	4	75.0
West Nile viral infection	4	4	0	0.8631660745397912	4	100.0
Abdominal neoplasm	4	0	4	-0.8199848039460117	4	0.0
Antipsychotic drug level above therapeutic	4	3	1	0.2911710942682286	4	75.0
Hydrops foetalis	4	1	3	-0.6086265702548961	4	25.0
Stenosis	4	1	3	-0.3863100067147859	4	25.0
Hyperaemia	4	1	3	-0.3619509980906418	4	25.0
Gastric infection	4	0	4	-0.8180158440088214	4	0.0
Pneumonia cryptococcal	4	3	1	0.33550683680027316	4	75.0
Immune-mediated nephritis	4	4	0	1.108090042048091	4	100.0
Stereotypy	4	4	0	0.9521390549691368	4	100.0
Pneumonia pneumococcal	4	3	1	0.40400703809585714	4	75.0
Propofol infusion syndrome	4	4	0	1.9829187806123987	4	100.0
Pseudomonas test positive	4	4	0	0.7101538669115279	4	100.0
Pleurothotonus	4	4	0	1.195267930755282	4	100.0
Procedural complication	4	2	2	0.0874857802443954	4	50.0
H1N1 influenza	4	0	4	-0.9376729084680799	4	0.0
Immune-mediated hypothyroidism	4	4	0	1.2046515109073912	4	100.0
Procalcitonin increased	4	3	1	0.5725009015036122	4	75.0
Whipple's disease	4	2	2	-0.21330535051642951	4	50.0
Infusion site infection	4	0	4	-0.723247820061298	4	0.0
Prothrombin time prolonged	4	4	0	0.7481551342585113	4	100.0
Haemorrhage subcutaneous	4	4	0	0.6506482583937307	4	100.0
Product use in unapproved therapeutic environment	4	4	0	1.2472036856057187	4	100.0
Hyperparathyroidism secondary	4	1	3	-0.1145861210248062	4	25.0
Hyporeflexia	3	2	1	0.33930446014150256	3	66.7
Product distribution issue	3	1	2	-0.13923995258579125	3	33.3
Off label use of device	3	0	3	-1.2787904987777723	3	0.0
Bone marrow transplant	3	3	0	0.9809970906925098	3	100.0
Product dispensing issue	3	0	3	-0.7583384460253747	3	0.0
Immune-mediated dermatitis	3	3	0	1.0230389967622504	3	100.0
Hypopyon	3	2	1	0.00955051737106046	3	66.7
Medical device site discomfort	3	0	3	-2.781104482697254	3	0.0
Disseminated varicella zoster virus infection	3	2	1	0.38345043548105123	3	66.7
Medical device removal	3	0	3	-1.3278919185496594	3	0.0
Device infusion issue	3	0	3	-0.862625243110925	3	0.0
Retinitis	3	2	1	0.9076957356488548	3	66.7
Terminal ileitis	3	0	3	-0.9163991158813706	3	0.0
Device placement issue	3	0	3	-2.3954107614258757	3	0.0
Disseminated cytomegaloviral infection	3	3	0	0.9950555902244395	3	100.0
Product deposit	3	2	1	0.4333838196815883	3	66.7
Medical device discomfort	3	0	3	-3.1382093954143913	3	0.0
Dislocation of vertebra	3	3	0	0.8782235076673474	3	100.0
Adenoviral hepatitis	3	3	0	1.0724382566705615	3	100.0
Lymphocyte count increased	3	1	2	-0.28523464536737236	3	33.3
Blood growth hormone increased	3	1	2	-0.38485963605931045	3	33.3
Product contamination physical	3	0	3	-0.6656977459407182	3	0.0
Lymph node tuberculosis	3	0	3	-0.7487983406311546	3	0.0
Hemianaesthesia	3	0	3	-0.6806273689452946	3	0.0
Oxygen consumption increased	3	1	2	0.24969345429255255	3	33.3
Discharge	3	0	3	-0.7468203164741124	3	0.0
Cutaneous lupus erythematosus	3	0	3	-1.039223439517769	3	0.0
Mental disability	3	3	0	0.7080646934293545	3	100.0
Growth of eyelashes	3	1	2	-0.3163390822853744	3	33.3
Oedema mouth	3	0	3	-0.7397252957710907	3	0.0
Brain neoplasm malignant	3	2	1	0.33170605320148955	3	66.7
Meningoencephalitis viral	3	2	1	0.5138416466525206	3	66.7
Cystic fibrosis	3	0	3	-0.7770339163257508	3	0.0
Rectal ulcer	3	3	0	0.7522300529193656	3	100.0
Acute sinusitis	3	0	3	-0.6989739004130335	3	0.0
Lymphangiosis carcinomatosa	3	2	1	0.3783685364845148	3	66.7
Oesophageal fistula	3	3	0	0.8840466795476142	3	100.0
Orthostatic hypertension	3	3	0	1.9357511034635893	3	100.0
Henoch-Schonlein purpura	3	2	1	0.20237245992968286	3	66.7
Lymphocele	3	2	1	0.2546281048082455	3	66.7
Double stranded DNA antibody positive	3	0	3	-0.831053491088057	3	0.0
Adult T-cell lymphoma/leukaemia	3	3	0	0.7601429388151918	3	100.0
Immune-mediated encephalitis	3	3	0	1.0125183100613946	3	100.0
Lymphocyte adoptive therapy	3	3	0	1.0911709868611659	3	100.0
Hemivertebra	3	3	0	1.0245645268242694	3	100.0
Oesophageal spasm	3	0	3	-1.070066069240355	3	0.0
Retinal vasculitis	3	1	2	-0.2270803346572817	3	33.3
Hypothalamo-pituitary disorder	3	3	0	0.9155823746244067	3	100.0
Ophthalmic herpes zoster	3	0	3	-0.786599785042602	3	0.0
Diabetic ketosis	3	3	0	0.6644109851958936	3	100.0
Heart valve incompetence	3	0	3	-0.5878945376313677	3	0.0
Blood thyroid stimulating hormone abnormal	3	0	3	-1.2252369152597202	3	0.0
Ileocaecal resection	3	1	2	-0.03728011708485601	3	33.3
Malignant ascites	3	2	1	0.18480559232972915	3	66.7
Hair disorder	3	0	3	-1.6786418614429646	3	0.0
Right ventricular dilatation	3	1	2	-0.31728081957930626	3	33.3
Haemorrhoidal haemorrhage	3	1	2	0.1880778866826576	3	33.3
Diarrhoea infectious	3	1	2	-0.6459311937190174	3	33.3
Device battery issue	3	1	2	-0.18003386850792116	3	33.3
Device damage	3	1	2	-0.16538189001057457	3	33.3
Lung diffusion disorder	3	0	3	-0.77172305547934	3	0.0
Pseudolymphoma	3	0	3	-0.9041814141080252	3	0.0
Oromandibular dystonia	3	3	0	0.933463818203681	3	100.0
Breakthrough COVID-19	3	3	0	0.8304686100939711	3	100.0
White matter lesion	3	1	2	0.05098059999644652	3	33.3
Ileal ulcer	3	3	0	0.781503423958731	3	100.0
Therapeutic product cross-reactivity	3	1	2	-0.20944851348669088	3	33.3
Orgasm abnormal	3	2	1	0.29323760118536296	3	66.7
Rhinocerebral mucormycosis	3	3	0	1.3297981698994856	3	100.0
Haemoperitoneum	3	1	2	-0.25365957537739997	3	33.3
Device information output issue	3	2	1	0.5311839233530264	3	66.7
Diabetic nephropathy	3	3	0	0.61557445001969	3	100.0
Body temperature fluctuation	3	0	3	-0.8651953865258947	3	0.0
Lymphocytosis	3	2	1	0.13720917432934376	3	66.7
Haemophilus infection	3	2	1	0.33570050933021717	3	66.7
Urinary bladder haemorrhage	3	3	0	1.0528583686104016	3	100.0
Opiates positive	3	3	0	1.0415458665782018	3	100.0
Age-related macular degeneration	3	1	2	-0.15179793995158639	3	33.3
Mean cell haemoglobin concentration decreased	3	1	2	-0.1866948700042926	3	33.3
Dilated cardiomyopathy	3	3	0	1.7121998649298629	3	100.0
Spina bifida	3	2	1	0.13314714473879943	3	66.7
Maternal exposure timing unspecified	3	0	3	-2.0160891160067824	3	0.0
Reaction to excipient	3	0	3	-0.9703001951359765	3	0.0
Immune-mediated adrenal insufficiency	3	3	0	1.4593200565218776	3	100.0
Maternal exposure during breast feeding	3	0	3	-2.163843881803427	3	0.0
Administration site extravasation	3	2	1	0.21862354848091328	3	66.7
Blood potassium abnormal	3	1	2	-0.10578547963210212	3	33.3
Optic neuropathy	3	1	2	-0.10480007076593363	3	33.3
Dementia with Lewy bodies	3	3	0	0.8029469727599791	3	100.0
Hypovitaminosis	3	0	3	-0.7722870555910041	3	0.0
Mantle cell lymphoma	3	2	1	0.15591389910365208	3	66.7
Administration site pain	3	0	3	-0.7524492595072783	3	0.0
Agraphia	3	0	3	-0.8983427954748602	3	0.0
Dieulafoy's vascular malformation	3	3	0	0.7240123990373729	3	100.0
Malignant pleural effusion	3	2	1	0.3665349944176044	3	66.7
Bone abscess	3	2	1	0.26618420106530677	3	66.7
Lower respiratory tract infection bacterial	3	1	2	-0.3961175232294818	3	33.3
Injection site atrophy	3	1	2	-0.9552933973925728	3	33.3
Hypoparathyroidism	3	0	3	-0.7417359926276502	3	0.0
Wrist deformity	3	0	3	-1.1041598146002904	3	0.0
Sleep talking	3	2	1	0.30922994857261915	3	66.7
Myeloid leukaemia	3	3	0	1.4700936938512623	3	100.0
Product used for unknown indication	3	1	2	-1.0172390359461507	3	33.3
