pt	n_drugs	n_signals	mean_bias	median_bias	n_strong	n_f_biased	n_m_biased	max_bias
Pituitary tumour benign	8	8	-0.24967720076819172	0.08521984298890506	8	4	4	2.2606788279744534
Pituitary tumour recurrent	1	1	-1.276241993729868	-1.276241993729868	1	0	1	1.276241993729868
Plantar fasciitis	30	30	-1.3865778942423597	-1.2979108675828708	30	3	27	4.754335927403694
Plasma cell leukaemia	12	12	0.8212246228243282	0.9414662661957254	12	11	1	1.3550353361114262
Plasma cell myeloma	104	104	0.3508868529500194	0.5989511453628585	104	76	28	1.3063388703725083
Plasma cell myeloma in remission	1	1	0.6147585154879739	0.6147585154879739	1	1	0	0.6147585154879739
Plasma cell myeloma recurrent	17	17	0.6182448287831632	0.6178115626637041	17	15	2	1.5836450595380256
Plasma cell myeloma refractory	12	12	0.7603631767771125	0.7579146354341254	12	11	1	1.8491536680089746
Plasmablastic lymphoma	9	9	0.2931233676942549	0.6400828528139911	9	6	3	1.0344729242563324
Plasmacytoma	13	13	0.25616748509190307	0.5754580862056317	13	9	4	1.1772314051990251
Plasmacytosis	1	1	0.5326526806249469	0.5326526806249469	1	1	0	0.5326526806249469
Plasmapheresis	1	1	0.5209397866188745	0.5209397866188745	1	1	0	0.5209397866188745
Platelet count abnormal	22	22	0.022010469692869128	0.018274230599784058	22	11	11	0.9958126558605652
Platelet count decreased	200	200	0.030368011111573532	0.5144519857934045	200	107	93	1.9055741989031747
Platelet count increased	63	63	0.20794312750095068	0.5395941487559819	63	38	25	1.5957129531376548
Platelet disorder	17	17	-0.26863391246268603	-0.5557964660777951	17	6	11	1.376140255192513
Platelet dysfunction	2	2	1.0177589980873827	1.0177589980873827	2	2	0	1.4144697076339436
Platelet transfusion	14	14	0.2645551277874942	0.5396233468695918	14	10	4	1.1699252156030118
Pleocytosis	5	5	1.0430247814655245	0.9917999898910552	5	5	0	1.5256828838088181
Pleural effusion	212	212	0.28409056004440714	0.5905172785020882	212	143	69	2.276265814320349
Pleural fibrosis	7	7	0.5759057713839792	0.9451489692995081	7	5	2	1.6924272975908166
Pleural mesothelioma malignant	1	1	-0.5668897568370265	-0.5668897568370265	1	0	1	0.5668897568370265
Pleural thickening	1	1	1.3564951536230878	1.3564951536230878	1	1	0	1.3564951536230878
Pleurisy	28	28	-0.06416656865149571	0.011860843609354743	28	14	14	1.2995066379902391
Pleuritic pain	54	54	0.06738477093465033	0.5125218466783946	54	30	24	1.8178013379523927
Pleuroperitoneal communication	1	1	0.7686303293528103	0.7686303293528103	1	1	0	0.7686303293528103
Pleurothotonus	10	10	0.4786397886223915	0.6609891623969073	10	8	2	1.5898695257418713
Plicated tongue	1	1	-0.7088629492261878	-0.7088629492261878	1	0	1	0.7088629492261878
Pneumatosis intestinalis	33	33	0.8161596196782435	1.1462564425905342	33	27	6	2.9100878990705223
Pneumococcal infection	2	2	1.0314949155758677	1.0314949155758677	2	2	0	1.267806522813493
Pneumococcal sepsis	4	4	0.5546030669449854	0.6934781544244608	4	3	1	1.4059091160372157
Pneumocystis jirovecii infection	9	9	0.6033044795414584	0.7723359543059136	9	8	1	1.0604731974608554
Pneumocystis jirovecii pneumonia	88	88	0.3910838023076899	0.6402482762010864	88	66	22	1.414432875173841
Pneumomediastinum	11	11	0.4640855272880149	0.6525990534716946	11	9	2	1.1938235567501962
Pneumonia	413	413	0.3271111534925803	0.6181311508921902	413	260	153	2.542804433845063
