drug_name	n_aes	n_signals	mean_bias	n_strong	n_f_biased	n_m_biased	max_bias
FELBAMATE	5	5	-0.16877450226985152	5	2	3	1.042500888739174
FELIS CATUS HAIR	3	3	-1.030997125848914	3	0	3	1.490314580075104
FELODIPINE	111	111	-0.5737119815760745	111	27	84	2.934906739994153
FEMIBION SCHWANGERSCHAFT 1	1	1	-1.0765511737304405	1	0	1	1.0765511737304405
FENFLURAMINE	23	23	0.02796274338437941	23	12	11	1.2460164557679114
FENFLURAMINE HYDROCHLORIDE	4	4	0.12679848054426177	4	2	2	1.0910998484352135
FENOFIBRATE	171	171	0.21430952270200343	171	110	61	1.8742965379987644
FENOFIBRIC ACID	20	20	-0.16420735905587616	20	8	12	1.0873601391162369
FENOTEROL	10	10	-0.6864365582871248	10	1	9	1.628625761785197
FENOTEROL HYDROBROMIDE	22	22	-0.4786277712139022	22	6	16	1.2221660414647237
FENOTEROL HYDROBROMIDE\IPRATROPIUM BROMIDE	23	23	-0.2849887059671887	23	8	15	1.6850226841859486
FENTANYL	446	446	0.46937080711952717	446	352	94	2.5339702647066416
FENTANYL CITRATE	97	97	0.414313526375566	97	70	27	2.553408636293713
FENTANYL TRANSDERMAL SYSTEM	2	2	0.009911253515994145	2	1	1	0.8577420724770002
FERRIC CARBOXYMALTOSE	45	45	-0.06130445575758768	45	21	24	1.889133233874519
FERRIC CITRATE ANHYDROUS	4	4	0.8392410673078556	4	4	0	1.138934026540025
FERRIC DERISOMALTOSE	9	9	-1.1072781028414427	9	0	9	2.4358695729907422
FERRIC HYDROXIDE	1	1	0.8918068006440345	1	1	0	0.8918068006440345
FERRIC OXYHYDROXIDE	12	12	0.47816775812783213	12	10	2	0.9279193128272332
FERRIC POLYSACCHARIDE COMPLEX	24	24	-0.6905353949694825	24	5	19	1.8225458557661018
FERRIC PYROPHOSPHATE CITRATE	1	1	0.5440544623420375	1	1	0	0.5440544623420375
FERROUS CITRATE	13	13	0.02207009246585073	13	7	6	1.0527017780670809
FERROUS CITRATE\SODIUM	2	2	1.0598624600145368	2	2	0	1.1826816592096894
