protein	propagated_score	direct_score	degree	n_drugs	gene_symbol
PROTEIN:ENSP00000347046	331.18918918918916	317.0	111	4	3.1.4.17
PROTEIN:ENSP00000332296	321.84722222222223	301.0	144	5	5915
PROTEIN:ENSP00000345708	320.5966666666667	296.0	150	7	3767
PROTEIN:ENSP00000359285	320.302752293578	200.0	109	2	1137
PROTEIN:ENSP00000397026	319.0833333333333	200.0	162	1	2898
PROTEIN:ENSP00000380247	318.76724137931035	234.0	58	16	3269
PROTEIN:ENSP00000388510	314.8306451612903	301.0	124	5	5916
PROTEIN:ENSP00000379111	313.78969957081546	289.0	233	1	3566
PROTEIN:ENSP00000254066	312.9017341040462	301.0	346	5	5914
PROTEIN:ENSP00000257290	312.69255319148937	301.0	470	9	5156
PROTEIN:ENSP00000428324	312.2	0.0	20	0	79805
PROTEIN:ENSP00000435648	311.60096153846155	200.0	104	1	2900
PROTEIN:ENSP00000291294	308.3529411764706	256.0	51	3	5739
PROTEIN:ENSP00000282397	304.8741379310345	287.0	290	6	2.7.10.1
PROTEIN:ENSP00000282499	301.625786163522	225.0	159	2	2893
PROTEIN:ENSP00000261937	299.739010989011	288.0	182	7	2.7.10.1
PROTEIN:ENSP00000358142	293.2204301075269	285.0	93	2	9900
PROTEIN:ENSP00000296526	293.03146853146853	225.0	286	2	2891
PROTEIN:ENSP00000264331	291.504132231405	282.0	242	3	5.99.1.3
PROTEIN:ENSP00000261707	287.62841530054646	194.0	183	13	5-HTT
PROTEIN:ENSP00000327687	285.7415730337079	200.0	89	1	2897
PROTEIN:ENSP00000428994	282.99285714285713	225.0	350	2	2890
PROTEIN:ENSP00000483403	282.0804195804196	258.0	143	3	2690
PROTEIN:ENSP00000231454	275.65119363395223	257.0	377	2	3567
PROTEIN:ENSP00000371253	273.5809090909091	266.0	550	2	2.1.2.2
PROTEIN:ENSP00000368727	270.72701149425285	252.0	174	2	1.17.1.4
PROTEIN:ENSP00000402152	267.4139784946237	254.0	93	5	6559
PROTEIN:ENSP00000261799	267.23296703296705	251.0	455	8	5159
PROTEIN:ENSP00000359353	266.34444444444443	0.0	45	0	2564
PROTEIN:ENSP00000381775	265.7849162011173	234.0	358	1	8600
PROTEIN:ENSP00000259455	265.1927374301676	168.0	179	1	9568
PROTEIN:ENSP00000342235	256.28175895765474	229.0	307	11	2066
PROTEIN:ENSP00000322788	253.14204545454544	232.0	264	2	3.4.24.7
PROTEIN:ENSP00000347942	252.75650557620818	242.0	269	12	5979
PROTEIN:ENSP00000260302	250.3936170212766	232.0	188	2	4322
PROTEIN:ENSP00000260227	249.75	232.0	230	2	3.4.24.23
PROTEIN:ENSP00000236826	249.47272727272727	232.0	110	2	3.4.24.34
PROTEIN:ENSP00000370989	247.95529197080293	232.0	548	3	29126
PROTEIN:ENSP00000361423	247.40038314176246	238.0	522	6	25
PROTEIN:ENSP00000483570	247.2694805194805	231.0	462	6	2.7.10.1
PROTEIN:ENSP00000275493	240.85297969875572	228.0	1527	10	1956
PROTEIN:ENSP00000285379	238.62755102040816	229.0	98	4	4.2.1.1
PROTEIN:ENSP00000267101	235.44805194805195	228.0	308	10	2065
PROTEIN:ENSP00000361599	230.68965517241378	0.0	29	0	374969
PROTEIN:ENSP00000454468	224.97619047619048	0.0	42	0	340393
PROTEIN:ENSP00000300900	223.45454545454547	215.0	99	2	4.2.1.1
PROTEIN:ENSP00000373700	221.5685618729097	212.0	299	10	238
PROTEIN:ENSP00000363330	217.21290322580646	195.0	155	1	1043
