drug	n_signals	n_ae	n_trials	signal_rate
DRUG:ALEMTUZUMAB	195	983	0	0.19837232960325535
DRUG:MIRTAZAPINE	193	1185	0	0.16286919831223629
DRUG:VANCOMYCIN	191	915	0	0.2087431693989071
DRUG:CODEINE	190	960	0	0.19791666666666666
DRUG:DULOXETINE	189	1464	0	0.1290983606557377
DRUG:AMITRIPTYLINE	189	960	0	0.196875
DRUG:AZITHROMYCIN	189	893	0	0.2116461366181411
DRUG:MESALAZINE	188	811	0	0.2318125770653514
DRUG:CORTISONE	188	730	0	0.25753424657534246
DRUG:METHOTREXATE SODIUM	186	1015	0	0.1832512315270936
DRUG:PAROXETINE	186	974	0	0.19096509240246407
DRUG:IBRUTINIB	186	1394	0	0.133428981348637
DRUG:FLUDARABINE	184	817	0	0.2252141982864137
DRUG:UPADACITINIB	181	1367	0	0.1324067300658376
DRUG:RIBAVIRIN	181	1132	0	0.1598939929328622
DRUG:EMTRICITABINE;TENOFOVIR	181	810	0	0.2234567901234568
DRUG:CARBAMAZEPINE	180	1082	0	0.16635859519408502
DRUG:DABIGATRAN	176	981	0	0.17940876656472987
DRUG:CLARITHROMYCIN	175	918	0	0.1906318082788671
DRUG:MOXIFLOXACIN	175	850	0	0.20588235294117646
DRUG:FLUTICASONE;VILANTEROL	175	719	0	0.24339360222531292
DRUG:FOLINIC ACID	175	896	1	0.1953125
DRUG:BUPROPION	174	953	0	0.1825813221406086
DRUG:GEMCITABINE	173	850	0	0.20352941176470588
DRUG:HYDROCHLOROTHIAZIDE	171	996	0	0.1716867469879518
DRUG:TRIAMCINOLONE	170	673	0	0.2526002971768202
DRUG:INTERFERON BETA-1A	170	1685	0	0.10089020771513353
DRUG:ANTITHYMOCYTE IMMUNOGLOBULIN	169	764	0	0.2212041884816754
DRUG:DILTIAZEM	169	755	0	0.223841059602649
DRUG:BACLOFEN	168	915	0	0.18360655737704917
DRUG:VENETOCLAX	168	987	0	0.1702127659574468
DRUG:CEFTRIAXONE	167	759	0	0.22002635046113306
DRUG:TREPROSTINIL	165	1408	0	0.1171875
DRUG:LENVATINIB	165	733	0	0.22510231923601637
DRUG:AMOXICILLIN;CLAVULANIC ACID	162	967	0	0.16752843846949328
DRUG:SPIRONOLACTONE	162	910	0	0.17802197802197803
DRUG:ZOPICLONE	161	854	0	0.1885245901639344
DRUG:OXYBATE SODIUM	161	1385	0	0.11624548736462094
DRUG:PALIPERIDONE	161	711	0	0.22644163150492264
DRUG:IPILIMUMAB	161	795	0	0.20251572327044026
DRUG:FINGOLIMOD	159	1525	0	0.10426229508196722
DRUG:HALOPERIDOL	158	757	0	0.20871862615587847
DRUG:SACUBITRIL;VALSARTAN	157	1208	0	0.12996688741721854
DRUG:IMATINIB	155	1003	0	0.15453639082751744
DRUG:SITAGLIPTIN	154	861	0	0.17886178861788618
DRUG:DAPAGLIFLOZIN	154	809	0	0.1903584672435105
DRUG:SEMAGLUTIDE	152	1018	0	0.14931237721021612
DRUG:SODIUM CHLORIDE	152	655	0	0.23206106870229007
DRUG:ATEZOLIZUMAB	152	679	0	0.22385861561119294
DRUG:TRAZODONE	151	794	0	0.190176322418136
DRUG:COVID-19 VACCINE	148	1039	0	0.1424446583253128
DRUG:METHYLPHENIDATE	147	775	0	0.1896774193548387
DRUG:ZOLPIDEM	146	813	0	0.1795817958179582
DRUG:VORICONAZOLE	145	615	0	0.23577235772357724
DRUG:HEPARIN	144	645	0	0.22325581395348837
DRUG:LITHIUM	143	693	0	0.20634920634920634
DRUG:CODEINE;PARACETAMOL	141	674	0	0.20919881305637983
DRUG:NATALIZUMAB	141	1551	0	0.09090909090909091
DRUG:FUMARIC ACID	139	1395	0	0.0996415770609319
DRUG:FLUCONAZOLE	138	764	0	0.1806282722513089
DRUG:ASPIRIN	137	792	0	0.17297979797979798
DRUG:RISANKIZUMAB	137	1175	0	0.11659574468085106
DRUG:MAGNESIUM	136	711	0	0.19127988748241911
DRUG:OCRELIZUMAB	136	1228	0	0.11074918566775244
DRUG:ATENOLOL	136	713	0	0.19074333800841514
DRUG:TICAGRELOR	136	707	0	0.19236209335219237
DRUG:ECULIZUMAB	136	965	0	0.14093264248704662
DRUG:PIPERACILLIN;TAZOBACTAM	136	724	0	0.1878453038674033
DRUG:MELPHALAN	134	606	0	0.22112211221122113
DRUG:POTASSIUM	134	677	0	0.19793205317577547
DRUG:IRINOTECAN	134	722	0	0.18559556786703602
DRUG:PEMETREXED	133	721	0	0.18446601941747573
DRUG:NILOTINIB	132	811	0	0.16276202219482122
DRUG:EVOLOCUMAB	131	931	0	0.14070891514500536
DRUG:ACICLOVIR	131	736	0	0.17798913043478262
DRUG:LOSARTAN	130	831	0	0.15643802647412755
DRUG:BETAMETHASONE	130	638	0	0.20376175548589343
DRUG:IPRATROPIUM	129	557	0	0.23159784560143626
DRUG:POMALIDOMIDE	128	927	0	0.13807982740021574
DRUG:PROPOFOL	128	652	0	0.19631901840490798
DRUG:RUXOLITINIB	127	765	0	0.16601307189542483
DRUG:AMBRISENTAN	125	1234	0	0.1012965964343598
DRUG:EPINEPHRINE	125	503	0	0.2485089463220676
DRUG:MINOXIDIL	125	362	0	0.3453038674033149
DRUG:LINEZOLID	124	621	0	0.1996779388083736
DRUG:BOTULINUM TOXIN	124	969	0	0.12796697626418987
DRUG:PROPRANOLOL	123	709	0	0.17348377997179126
DRUG:PEGINTERFERON ALFA-2A	123	785	0	0.15668789808917197
DRUG:PERINDOPRIL	123	683	0	0.1800878477306003
DRUG:CICLESONIDE	123	558	0	0.22043010752688172
DRUG:PEGASPARGASE	122	429	0	0.28438228438228436
DRUG:GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	122	797	0	0.15307402760351319
DRUG:SUNITINIB	122	805	0	0.1515527950310559
DRUG:LAMIVUDINE	120	626	0	0.19169329073482427
DRUG:MOMETASONE	119	608	0	0.19572368421052633
DRUG:MEROPENEM	119	608	0	0.19572368421052633
DRUG:FORMOTEROL;MOMETASONE	118	461	0	0.2559652928416486
DRUG:LIDOCAINE	118	769	0	0.15344603381014305
DRUG:NICOTINE	117	573	0	0.20418848167539266
DRUG:MACROGOL	117	651	0	0.17972350230414746
DRUG:TORASEMIDE	116	645	0	0.17984496124031008
DRUG:GLATIRAMER	114	848	0	0.13443396226415094
